geneId	baseMean_ICP4	log2FoldChange_ICP4	lfcSE_ICP4	stat_ICP4	pvalue_ICP4	padj_ICP4	gene_ICP4	baseMean_n208	log2FoldChange_n208	lfcSE_n208	stat_n208	pvalue_n208	padj_n208	gene_n208	baseMean_n6	log2FoldChange_n6	lfcSE_n6	stat_n6	pvalue_n6	padj_n6	gene_n6	baseMean_RR_LL	log2FoldChange_RR_LL	lfcSE_RR_LL	stat_RR_LL	pvalue_RR_LL	padj_RR_LL	gene_RR_LL	DE_ICP4	DE_n208	DE_n6	DE_RR_LL	seqnames_4h	start_4h	end_4h	width_4h	strand_4h	V4_4h	V5_4h	V6_4h	V7_4h	V8_4h	V9_4h	V10_4h	annotation_4h	geneChr_4h	geneStart_4h	geneEnd_4h	geneLength_4h	geneStrand_4h	transcriptId_4h	distanceToTSS_4h	external_gene_name_4h	seqnames_6h	start_6h	end_6h	width_6h	strand_6h	V4_6h	V5_6h	V6_6h	V7_6h	V8_6h	V9_6h	V10_6h	annotation_6h	geneChr_6h	geneStart_6h	geneEnd_6h	geneLength_6h	geneStrand_6h	transcriptId_6h	distanceToTSS_6h	external_gene_name_6h
ENSG00000054282	1358.49303021409	0.839535096440034	0.21315241233333	3.93866101373115	8.19375990264309e-05	0.00112487306349667	SDCCAG8	1173.62769061967	0.716603610005946	0.20126543539637	3.5604901984023	0.000370163128909785	0.0027816736298751	SDCCAG8	1946.93874992197	1.10586105751445	0.196445481570008	5.62935349124002	1.80886344221218e-08	3.35703774128201e-07	SDCCAG8	776.495590067862	1.18922828071236	0.163469429492817	7.27492769995025	3.46606035366145e-13	1.07498081299903e-11	SDCCAG8	FALSE	FALSE	FALSE	FALSE	1	243480553	243480901	349	*	KOS_4h_peak_143	285	.	14.56676	34.77649	28.54584	124	Intron (ENST00000366541/ENSG00000054282, intron 16 of 17)	1	243487815	243500089	12275	1	ENST00000497459	-6914	SDCCAG8	1	243480638	243480704	67	*	KOS_6h_peak_5	64	.	7.75829	12.58843	6.40492	36	Intron (ENST00000366541/ENSG00000054282, intron 16 of 17)	1	243487815	243500089	12275	1	ENST00000497459	-7111	SDCCAG8
ENSG00000054282	1358.49303021409	0.839535096440034	0.21315241233333	3.93866101373115	8.19375990264309e-05	0.00112487306349667	SDCCAG8	1173.62769061967	0.716603610005946	0.20126543539637	3.5604901984023	0.000370163128909785	0.0027816736298751	SDCCAG8	1946.93874992197	1.10586105751445	0.196445481570008	5.62935349124002	1.80886344221218e-08	3.35703774128201e-07	SDCCAG8	776.495590067862	1.18922828071236	0.163469429492817	7.27492769995025	3.46606035366145e-13	1.07498081299903e-11	SDCCAG8	FALSE	FALSE	FALSE	FALSE	1	243480247	243480484	238	*	KOS_4h_peak_142	63	.	7.27877	11.19592	6.37488	27	Intron (ENST00000366541/ENSG00000054282, intron 16 of 17)	1	243487815	243500089	12275	1	ENST00000497459	-7331	SDCCAG8	1	243480638	243480704	67	*	KOS_6h_peak_5	64	.	7.75829	12.58843	6.40492	36	Intron (ENST00000366541/ENSG00000054282, intron 16 of 17)	1	243487815	243500089	12275	1	ENST00000497459	-7111	SDCCAG8
ENSG00000074211	107.033618681548	8.93901832710858	1.72725670893522	5.17526913102518	2.27582687223007e-07	8.43351787207535e-06	PPP2R2C	9.12839945568556	5.88275329075959	1.41360895614457	4.1615138792018	3.1614477966998e-05	0.000342211568882746	PPP2R2C	112.867490367791	8.84290710833557	1.26960762771621	6.96507087330779	3.28238464548638e-12	1.19154450396387e-10	PPP2R2C	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	4	6511348	6512823	1476	*	KOS_4h_peak_1100	324	.	15.72622	38.85535	32.42144	398	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	10724	PPP2R2C	4	6511738	6511829	92	*	KOS_6h_peak_31	23	.	4.98267	7.75515	2.34349	13	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	11718	PPP2R2C
ENSG00000074211	107.033618681548	8.93901832710858	1.72725670893522	5.17526913102518	2.27582687223007e-07	8.43351787207535e-06	PPP2R2C	9.12839945568556	5.88275329075959	1.41360895614457	4.1615138792018	3.1614477966998e-05	0.000342211568882746	PPP2R2C	112.867490367791	8.84290710833557	1.26960762771621	6.96507087330779	3.28238464548638e-12	1.19154450396387e-10	PPP2R2C	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	TRUE	NA	4	6511348	6512823	1476	*	KOS_4h_peak_1100	324	.	15.72622	38.85535	32.42144	398	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	10724	PPP2R2C	4	6512518	6512642	125	*	KOS_6h_peak_32	42	.	6.64996	10.13567	4.25842	4	Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)	4	6347926	6523547	175622	2	ENST00000314348	10905	PPP2R2C
ENSG00000100207	2015.6300205601	-0.202317071922211	0.129044934570041	-1.56780328182816	0.116927048777114	0.252632297731319	TCF20	2275.51850759882	-0.0198130787977009	0.16784140069117	-0.11804643381258	0.906030866200078	0.948280746471221	TCF20	2713.71526618934	-0.172838511264848	0.220075443766919	-0.785360276032888	0.432242364441958	0.589892073469922	TCF20	1152.43715782053	-0.172663059823969	0.15624423680783	-1.10508434327938	0.269123044117851	0.400735165979263	TCF20	FALSE	FALSE	FALSE	FALSE	22	42323845	42324233	389	*	KOS_4h_peak_1010	538	.	17.17481	61.58615	53.84314	223	Intron (ENST00000515426/ENSG00000100207, intron 1 of 1)	22	42211513	42318239	106727	2	ENST00000675876	-5606	TCF20	22	42323866	42324217	352	*	KOS_6h_peak_28	33	.	3.19121	9.04402	3.35315	244	Intron (ENST00000515426/ENSG00000100207, intron 1 of 1)	22	42211513	42318239	106727	2	ENST00000675876	-5627	TCF20
ENSG00000109654	906.802625384624	0.0324045045810415	0.266173220608237	0.121742166649948	0.903103217434696	0.94664926546683	TRIM2	909.300838995062	-0.0252132615254661	0.23640720587641	-0.106651831664755	0.915065197322064	0.953771026739369	TRIM2	1447.55867817892	0.464038380677067	0.326444474676065	1.42149252529864	0.155173625049587	0.288433109670234	TRIM2	541.405874016763	0.279468367921105	0.22039108750377	1.26805657654521	0.204777747075734	0.327136777359379	TRIM2	FALSE	FALSE	FALSE	FALSE	4	153129352	153129995	644	*	KOS_4h_peak_1130	437	.	12.59435	51.06225	43.79116	149	Distal Intergenic	4	153152163	153339311	187149	1	ENST00000676423	-22168	TRIM2	4	153129468	153129540	73	*	KOS_6h_peak_33	30	.	4.1811	8.67389	3.07723	19	Distal Intergenic	4	153152163	153339311	187149	1	ENST00000676423	-22623	TRIM2
ENSG00000130720	1513.54771623599	2.86181994587783	0.26614145966944	10.7530031188389	5.73629781991079e-27	5.9732069198731e-24	FIBCD1	1004.37038068943	2.62524270963738	0.238325085685288	11.0153855692055	3.22154330610344e-28	7.59672534802545e-26	FIBCD1	1734.10452442721	2.84307853080732	0.236914937559345	12.0004190537592	3.53502037565626e-33	7.7388088917683e-31	FIBCD1	654.499711837837	2.95704938242306	0.225819857688323	13.0947269770419	3.52941156327941e-39	1.75336888389099e-36	FIBCD1	TRUE	TRUE	TRUE	TRUE	9	130958609	130959028	420	*	KOS_4h_peak_1450	181	.	6.78627	23.7713	18.15943	137	Distal Intergenic	9	130938017	130939286	1270	2	ENST00000463475	-19323	FIBCD1	9	130958652	130958823	172	*	KOS_6h_peak_43	31	.	4.50441	8.76288	3.13862	158	Distal Intergenic	9	130938017	130939286	1270	2	ENST00000463475	-19366	FIBCD1
ENSG00000131591	449.03111522385	-0.259875706326733	0.234205336695067	-1.10960625404146	0.267168735125531	0.441942500216386	C1orf159	505.657479278681	-0.105258843657871	0.2455258934132	-0.428707710598689	0.668135948623892	0.794074697445097	C1orf159	571.317210691915	-0.379876344825089	0.26478656649567	-1.43465112242128	0.151386538899769	0.283431957898215	C1orf159	243.167877081937	-0.434508487531828	0.263546231699176	-1.64869929928574	0.099209253790584	0.186368340396795	C1orf159	FALSE	FALSE	FALSE	FALSE	1	1108028	1108622	595	*	KOS_4h_peak_2	198	.	7.10191	25.61605	19.88663	380	Promoter (1-2kb)	1	1082700	1106127	23428	2	ENST00000379319	-1901	C1orf159	1	1108871	1108981	111	*	KOS_6h_peak_2	31	.	4.50441	8.76288	3.13862	75	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2744	C1orf159
ENSG00000131591	449.03111522385	-0.259875706326733	0.234205336695067	-1.10960625404146	0.267168735125531	0.441942500216386	C1orf159	505.657479278681	-0.105258843657871	0.2455258934132	-0.428707710598689	0.668135948623892	0.794074697445097	C1orf159	571.317210691915	-0.379876344825089	0.26478656649567	-1.43465112242128	0.151386538899769	0.283431957898215	C1orf159	243.167877081937	-0.434508487531828	0.263546231699176	-1.64869929928574	0.099209253790584	0.186368340396795	C1orf159	FALSE	FALSE	FALSE	FALSE	1	1108806	1109169	364	*	KOS_4h_peak_3	326	.	15.85206	39.07087	32.63005	260	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2679	C1orf159	1	1108336	1108425	90	*	KOS_6h_peak_1	19	.	4.39424	7.35457	1.99955	57	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2209	C1orf159
ENSG00000131591	449.03111522385	-0.259875706326733	0.234205336695067	-1.10960625404146	0.267168735125531	0.441942500216386	C1orf159	505.657479278681	-0.105258843657871	0.2455258934132	-0.428707710598689	0.668135948623892	0.794074697445097	C1orf159	571.317210691915	-0.379876344825089	0.26478656649567	-1.43465112242128	0.151386538899769	0.283431957898215	C1orf159	243.167877081937	-0.434508487531828	0.263546231699176	-1.64869929928574	0.099209253790584	0.186368340396795	C1orf159	FALSE	FALSE	FALSE	FALSE	1	1108028	1108622	595	*	KOS_4h_peak_2	198	.	7.10191	25.61605	19.88663	380	Promoter (1-2kb)	1	1082700	1106127	23428	2	ENST00000379319	-1901	C1orf159	1	1108336	1108425	90	*	KOS_6h_peak_1	19	.	4.39424	7.35457	1.99955	57	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2209	C1orf159
