"DE_ICP4_not_n208"	"DE_ICP4_not_n6"	"DE_ICP4_not_RR_LL"	"DE_ICP4_not_n208_n6"	"DE_ICP4_RR_LL_not_n208_n6"
"DLX5"	TRUE	FALSE	TRUE	FALSE	FALSE
"NPTX2"	TRUE	FALSE	TRUE	FALSE	FALSE
"SLC6A4"	TRUE	FALSE	TRUE	FALSE	FALSE
"SGCA"	TRUE	FALSE	FALSE	FALSE	FALSE
"SLC16A6"	TRUE	TRUE	FALSE	TRUE	TRUE
"NKX3-2"	TRUE	FALSE	TRUE	FALSE	FALSE
"IL10RA"	TRUE	FALSE	TRUE	FALSE	FALSE
"UPK2"	TRUE	FALSE	TRUE	FALSE	FALSE
"SELPLG"	TRUE	FALSE	FALSE	FALSE	FALSE
"IL23A"	TRUE	FALSE	TRUE	FALSE	FALSE
"PRR4"	TRUE	TRUE	FALSE	TRUE	TRUE
"GPRC5D"	TRUE	TRUE	FALSE	TRUE	TRUE
"MGP"	TRUE	FALSE	TRUE	FALSE	FALSE
"MAK"	TRUE	FALSE	FALSE	FALSE	FALSE
"ULBP1"	TRUE	FALSE	TRUE	FALSE	FALSE
"ADGRG6"	TRUE	FALSE	FALSE	FALSE	FALSE
"PDE8B"	TRUE	TRUE	TRUE	TRUE	FALSE
"BCHE"	TRUE	FALSE	TRUE	FALSE	FALSE
"EFCC1"	TRUE	FALSE	TRUE	FALSE	FALSE
"FNDC4"	TRUE	FALSE	FALSE	FALSE	FALSE
"IGFBP2"	TRUE	FALSE	TRUE	FALSE	FALSE
"IL1RL1"	TRUE	FALSE	TRUE	FALSE	FALSE
"ELAPOR1"	TRUE	FALSE	TRUE	FALSE	FALSE
"OPRD1"	TRUE	FALSE	TRUE	FALSE	FALSE
"MYCL"	TRUE	FALSE	TRUE	FALSE	FALSE
"GBP3"	TRUE	FALSE	FALSE	FALSE	FALSE
"SLC8A2"	TRUE	FALSE	TRUE	FALSE	FALSE
"NR4A3"	TRUE	FALSE	TRUE	FALSE	FALSE
"HELLS"	TRUE	FALSE	FALSE	FALSE	FALSE
"PLXDC2"	TRUE	FALSE	FALSE	FALSE	FALSE
"ABCC11"	TRUE	FALSE	TRUE	FALSE	FALSE
"CSTA"	TRUE	TRUE	TRUE	TRUE	FALSE
"FMOD"	TRUE	FALSE	TRUE	FALSE	FALSE
"PHF24"	TRUE	FALSE	TRUE	FALSE	FALSE
"CNTFR"	TRUE	FALSE	TRUE	FALSE	FALSE
"NCKAP1L"	TRUE	TRUE	TRUE	TRUE	FALSE
"KCNJ2"	TRUE	FALSE	FALSE	FALSE	FALSE
"PMEPA1"	TRUE	TRUE	FALSE	TRUE	TRUE
"CHST8"	TRUE	FALSE	TRUE	FALSE	FALSE
"ZNF391"	TRUE	FALSE	FALSE	FALSE	FALSE
"H2BC11"	TRUE	FALSE	TRUE	FALSE	FALSE
"TREM1"	TRUE	FALSE	TRUE	FALSE	FALSE
"CDKN1A"	TRUE	FALSE	FALSE	FALSE	FALSE
"SOX9"	TRUE	FALSE	TRUE	FALSE	FALSE
"OPRL1"	TRUE	FALSE	TRUE	FALSE	FALSE
"TNFSF9"	TRUE	FALSE	FALSE	FALSE	FALSE
"EVI2A"	TRUE	FALSE	FALSE	FALSE	FALSE
"AIF1L"	TRUE	FALSE	TRUE	FALSE	FALSE
"FBXL16"	TRUE	FALSE	FALSE	FALSE	FALSE
"IL17B"	TRUE	FALSE	TRUE	FALSE	FALSE
"TUBA4A"	TRUE	FALSE	TRUE	FALSE	FALSE
"KDR"	TRUE	FALSE	TRUE	FALSE	FALSE
"PODXL"	TRUE	FALSE	FALSE	FALSE	FALSE
"HOXD3"	TRUE	TRUE	TRUE	TRUE	FALSE
"E2F8"	TRUE	FALSE	FALSE	FALSE	FALSE
"CDH15"	TRUE	FALSE	FALSE	FALSE	FALSE
"APOE"	TRUE	TRUE	TRUE	TRUE	FALSE
"UNC13A"	TRUE	FALSE	FALSE	FALSE	FALSE
"GDF15"	TRUE	FALSE	FALSE	FALSE	FALSE
"CYP2E1"	TRUE	FALSE	TRUE	FALSE	FALSE
"DUSP26"	TRUE	FALSE	TRUE	FALSE	FALSE
"TTC9"	TRUE	FALSE	FALSE	FALSE	FALSE
"VAV3"	TRUE	FALSE	FALSE	FALSE	FALSE
"RSAD2"	TRUE	FALSE	FALSE	FALSE	FALSE
"CABLES1"	TRUE	FALSE	TRUE	FALSE	FALSE
"GARIN1B"	TRUE	FALSE	TRUE	FALSE	FALSE
"AGT"	TRUE	TRUE	TRUE	TRUE	FALSE
"PCDH8"	TRUE	FALSE	TRUE	FALSE	FALSE
"SLCO2B1"	TRUE	FALSE	TRUE	FALSE	FALSE
"CYP19A1"	TRUE	FALSE	TRUE	FALSE	FALSE
"SEMA7A"	TRUE	FALSE	FALSE	FALSE	FALSE
"TRPC3"	TRUE	FALSE	FALSE	FALSE	FALSE
"FAM222A"	TRUE	FALSE	TRUE	FALSE	FALSE
"DUOXA1"	TRUE	FALSE	TRUE	FALSE	FALSE
"GCNT3"	TRUE	FALSE	TRUE	FALSE	FALSE
"RHCG"	TRUE	FALSE	TRUE	FALSE	FALSE
"DET1"	TRUE	FALSE	FALSE	FALSE	FALSE
"CLEC18B"	TRUE	FALSE	TRUE	FALSE	FALSE
"ABCA8"	TRUE	FALSE	TRUE	FALSE	FALSE
"IGSF3"	TRUE	FALSE	FALSE	FALSE	FALSE
"ADCY10"	TRUE	FALSE	TRUE	FALSE	FALSE
"SEMA6C"	TRUE	FALSE	TRUE	FALSE	FALSE
"CNIH3"	TRUE	FALSE	FALSE	FALSE	FALSE
"WNT9A"	TRUE	FALSE	FALSE	FALSE	FALSE
"GPR17"	TRUE	FALSE	FALSE	FALSE	FALSE
"HES6"	TRUE	FALSE	TRUE	FALSE	FALSE
"SLC10A6"	TRUE	FALSE	TRUE	FALSE	FALSE
"ROPN1L"	TRUE	FALSE	TRUE	FALSE	FALSE
"CXCL14"	TRUE	FALSE	TRUE	FALSE	FALSE
"TENM2"	TRUE	FALSE	FALSE	FALSE	FALSE
"SCUBE3"	TRUE	FALSE	FALSE	FALSE	FALSE
"CYP39A1"	TRUE	TRUE	TRUE	TRUE	FALSE
"SLC22A3"	TRUE	FALSE	FALSE	FALSE	FALSE
"LPAR4"	TRUE	FALSE	FALSE	FALSE	FALSE
"GPC3"	TRUE	FALSE	TRUE	FALSE	FALSE
"ZNF185"	TRUE	FALSE	FALSE	FALSE	FALSE
"ATP6V0D2"	TRUE	FALSE	TRUE	FALSE	FALSE
"HTR7"	TRUE	FALSE	TRUE	FALSE	FALSE
"INA"	TRUE	FALSE	FALSE	FALSE	FALSE
"FAM124A"	TRUE	FALSE	TRUE	FALSE	FALSE
"HNMT"	TRUE	FALSE	FALSE	FALSE	FALSE
"SPATA4"	TRUE	TRUE	FALSE	TRUE	TRUE
"GPR158"	TRUE	FALSE	TRUE	FALSE	FALSE
"KCNK13"	TRUE	FALSE	TRUE	FALSE	FALSE
"BCL2L11"	TRUE	FALSE	TRUE	FALSE	FALSE
"BMP6"	TRUE	FALSE	FALSE	FALSE	FALSE
"ADGRF4"	TRUE	FALSE	TRUE	FALSE	FALSE
"SEMA3D"	TRUE	FALSE	FALSE	FALSE	FALSE
"RETREG1"	TRUE	FALSE	TRUE	FALSE	FALSE
"C10orf90"	TRUE	FALSE	TRUE	FALSE	FALSE
"SLFN13"	TRUE	FALSE	FALSE	FALSE	FALSE
"TTN"	TRUE	FALSE	TRUE	FALSE	FALSE
"PPARGC1B"	TRUE	FALSE	FALSE	FALSE	FALSE
"ADCY8"	TRUE	FALSE	TRUE	FALSE	FALSE
"GRIP1"	TRUE	TRUE	FALSE	TRUE	TRUE
"PCDH1"	TRUE	FALSE	FALSE	FALSE	FALSE
"FBXO43"	TRUE	FALSE	FALSE	FALSE	FALSE
"EXTL1"	TRUE	FALSE	FALSE	FALSE	FALSE
"SLC30A2"	TRUE	FALSE	TRUE	FALSE	FALSE
"TRIM63"	TRUE	FALSE	TRUE	FALSE	FALSE
"LRRC43"	TRUE	FALSE	TRUE	FALSE	FALSE
"H2BC5"	TRUE	FALSE	TRUE	FALSE	FALSE
"EDA"	TRUE	FALSE	TRUE	FALSE	FALSE
"STC1"	TRUE	FALSE	FALSE	FALSE	FALSE
"C1R"	TRUE	FALSE	FALSE	FALSE	FALSE
"TCHH"	TRUE	FALSE	TRUE	FALSE	FALSE
"SPON2"	TRUE	FALSE	FALSE	FALSE	FALSE
"ICOSLG"	TRUE	FALSE	TRUE	FALSE	FALSE
"TLCD1"	TRUE	FALSE	TRUE	FALSE	FALSE
"COX7A1"	TRUE	FALSE	FALSE	FALSE	FALSE
"KLHL21"	TRUE	FALSE	TRUE	FALSE	FALSE
"DRAXIN"	TRUE	FALSE	TRUE	FALSE	FALSE
"WNT4"	TRUE	FALSE	TRUE	FALSE	FALSE
"LRRIQ3"	TRUE	TRUE	TRUE	TRUE	FALSE
"DNAI3"	TRUE	FALSE	TRUE	FALSE	FALSE
"MSX1"	TRUE	FALSE	TRUE	FALSE	FALSE
"LCE3D"	TRUE	FALSE	TRUE	FALSE	FALSE
"SERPINI1"	TRUE	FALSE	FALSE	FALSE	FALSE
"CDS1"	TRUE	FALSE	TRUE	FALSE	FALSE
"KLF15"	TRUE	FALSE	TRUE	FALSE	FALSE
"PITX2"	TRUE	FALSE	FALSE	FALSE	FALSE
"SLC45A2"	TRUE	FALSE	TRUE	FALSE	FALSE
"ZNF474"	TRUE	FALSE	TRUE	FALSE	FALSE
"PI16"	TRUE	FALSE	TRUE	FALSE	FALSE
"KIF6"	TRUE	FALSE	TRUE	FALSE	FALSE
"CHMP4C"	TRUE	FALSE	TRUE	FALSE	FALSE
"PCDH19"	TRUE	FALSE	FALSE	FALSE	FALSE
"RET"	TRUE	FALSE	FALSE	FALSE	FALSE
"ABTB2"	TRUE	FALSE	TRUE	FALSE	FALSE
"MMP10"	TRUE	FALSE	FALSE	FALSE	FALSE
"LDHD"	TRUE	FALSE	TRUE	FALSE	FALSE
"PTGDR"	TRUE	FALSE	TRUE	FALSE	FALSE
"MFSD2A"	TRUE	FALSE	TRUE	FALSE	FALSE
"GBX2"	TRUE	FALSE	TRUE	FALSE	FALSE
"EFNA1"	TRUE	FALSE	TRUE	FALSE	FALSE
"ADRB2"	TRUE	FALSE	TRUE	FALSE	FALSE
"NPR1"	TRUE	FALSE	TRUE	FALSE	FALSE
"TMEM266"	TRUE	TRUE	TRUE	TRUE	FALSE
"WNT10B"	TRUE	FALSE	FALSE	FALSE	FALSE
"SPDYE5"	TRUE	FALSE	TRUE	FALSE	FALSE
"GPRC5C"	TRUE	FALSE	TRUE	FALSE	FALSE
"LONRF2"	TRUE	FALSE	TRUE	FALSE	FALSE
"IRX2"	TRUE	FALSE	TRUE	FALSE	FALSE
"GPR27"	TRUE	FALSE	TRUE	FALSE	FALSE
"FPR1"	TRUE	FALSE	FALSE	FALSE	FALSE
"JUNB"	TRUE	FALSE	TRUE	FALSE	FALSE
"KSR2"	TRUE	FALSE	TRUE	FALSE	FALSE
"GATM"	TRUE	FALSE	TRUE	FALSE	FALSE
"SCG2"	TRUE	FALSE	TRUE	FALSE	FALSE
"IL16"	TRUE	TRUE	FALSE	TRUE	TRUE
"THEMIS"	TRUE	FALSE	TRUE	FALSE	FALSE
"FADS6"	TRUE	FALSE	TRUE	FALSE	FALSE
"CYP7B1"	TRUE	FALSE	TRUE	FALSE	FALSE
"CES3"	TRUE	FALSE	TRUE	FALSE	FALSE
"PLAC8L1"	TRUE	TRUE	FALSE	TRUE	TRUE
"STOX2"	TRUE	FALSE	TRUE	FALSE	FALSE
"TNFRSF10D"	TRUE	FALSE	FALSE	FALSE	FALSE
"HSPB7"	TRUE	FALSE	FALSE	FALSE	FALSE
"TIGD3"	TRUE	FALSE	TRUE	FALSE	FALSE
"PLK3"	TRUE	FALSE	TRUE	FALSE	FALSE
"CHRNA9"	TRUE	FALSE	FALSE	FALSE	FALSE
"GALNTL6"	TRUE	FALSE	TRUE	FALSE	FALSE
"LINGO2"	TRUE	FALSE	TRUE	FALSE	FALSE
"TTC9B"	TRUE	TRUE	TRUE	TRUE	FALSE
"BRSK2"	TRUE	FALSE	TRUE	FALSE	FALSE
"ADGRE1"	TRUE	TRUE	TRUE	TRUE	FALSE
"CATSPERD"	TRUE	FALSE	TRUE	FALSE	FALSE
"CHST1"	TRUE	FALSE	TRUE	FALSE	FALSE
"LONRF3"	TRUE	FALSE	TRUE	FALSE	FALSE
"ZBTB44-DT"	TRUE	TRUE	TRUE	TRUE	FALSE
"HSD11B2"	TRUE	FALSE	TRUE	FALSE	FALSE
"DMRTA1"	TRUE	FALSE	TRUE	FALSE	FALSE
"ACER2"	TRUE	FALSE	TRUE	FALSE	FALSE
"FZD8"	TRUE	FALSE	FALSE	FALSE	FALSE
"CRACR2B"	TRUE	FALSE	TRUE	FALSE	FALSE
"ANXA2R"	TRUE	FALSE	TRUE	FALSE	FALSE
"ADAMTSL1"	TRUE	FALSE	FALSE	FALSE	FALSE
"SLITRK1"	TRUE	FALSE	FALSE	FALSE	FALSE
"KCNG2"	TRUE	TRUE	TRUE	TRUE	FALSE
"NEUROG2"	TRUE	FALSE	TRUE	FALSE	FALSE
"KCTD12"	TRUE	FALSE	TRUE	FALSE	FALSE
"SMIM10L2A"	TRUE	FALSE	TRUE	FALSE	FALSE
"HES7"	TRUE	FALSE	FALSE	FALSE	FALSE
"LBX2"	TRUE	FALSE	FALSE	FALSE	FALSE
"MRGPRX3"	TRUE	FALSE	TRUE	FALSE	FALSE
"ABCA13"	TRUE	FALSE	FALSE	FALSE	FALSE
"CHRM4"	TRUE	FALSE	TRUE	FALSE	FALSE
"H2AC25"	TRUE	FALSE	TRUE	FALSE	FALSE
"GALR2"	TRUE	FALSE	TRUE	FALSE	FALSE
"MAFA"	TRUE	FALSE	TRUE	FALSE	FALSE
"RIMBP3C"	TRUE	TRUE	TRUE	TRUE	FALSE
"MEX3B"	TRUE	FALSE	TRUE	FALSE	FALSE
"OLFML1"	TRUE	FALSE	TRUE	FALSE	FALSE
"ADRA2C"	TRUE	FALSE	TRUE	FALSE	FALSE
"PCDH9"	TRUE	FALSE	TRUE	FALSE	FALSE
"MAP7D2"	TRUE	FALSE	TRUE	FALSE	FALSE
"POU3F2"	TRUE	FALSE	TRUE	FALSE	FALSE
"OR51M1"	TRUE	FALSE	TRUE	FALSE	FALSE
"SDR42E1"	TRUE	TRUE	TRUE	TRUE	FALSE
"MUC6"	TRUE	TRUE	TRUE	TRUE	FALSE
"SMYD3"	TRUE	FALSE	FALSE	FALSE	FALSE
"IFNLR1"	TRUE	FALSE	TRUE	FALSE	FALSE
"SHC4"	TRUE	FALSE	FALSE	FALSE	FALSE
"EVI2B"	TRUE	FALSE	FALSE	FALSE	FALSE
"LCE3A"	TRUE	FALSE	TRUE	FALSE	FALSE
"PLK5"	TRUE	FALSE	TRUE	FALSE	FALSE
"LCE1E"	TRUE	TRUE	TRUE	TRUE	FALSE
"RGS9BP"	TRUE	FALSE	TRUE	FALSE	FALSE
"CARMIL3"	TRUE	FALSE	TRUE	FALSE	FALSE
"MPPED1"	TRUE	FALSE	TRUE	FALSE	FALSE
"CHCHD2P9"	TRUE	FALSE	TRUE	FALSE	FALSE
"LCE2C"	TRUE	FALSE	TRUE	FALSE	FALSE
"H1-2"	TRUE	FALSE	FALSE	FALSE	FALSE
"SLC38A3"	TRUE	FALSE	TRUE	FALSE	FALSE
"KRTAP1-1"	TRUE	TRUE	FALSE	TRUE	TRUE
"NANOS1"	TRUE	FALSE	TRUE	FALSE	FALSE
"IGFL3"	TRUE	FALSE	TRUE	FALSE	FALSE
"FZD9"	TRUE	FALSE	TRUE	FALSE	FALSE
"INSYN2A"	TRUE	FALSE	TRUE	FALSE	FALSE
"SP6"	TRUE	FALSE	TRUE	FALSE	FALSE
"CLDN4"	TRUE	FALSE	FALSE	FALSE	FALSE
"RASSF10"	TRUE	FALSE	TRUE	FALSE	FALSE
"ZNF79"	TRUE	FALSE	TRUE	FALSE	FALSE
"NTNG2"	TRUE	FALSE	TRUE	FALSE	FALSE
"MMP1"	TRUE	FALSE	FALSE	FALSE	FALSE
"ADH1B"	TRUE	FALSE	TRUE	FALSE	FALSE
"H2AC13"	TRUE	FALSE	TRUE	FALSE	FALSE
"PIWIL2"	TRUE	FALSE	FALSE	FALSE	FALSE
"ZNF833P"	TRUE	TRUE	TRUE	TRUE	FALSE
"PDGFA"	TRUE	TRUE	TRUE	TRUE	FALSE
"CARINH"	TRUE	FALSE	FALSE	FALSE	FALSE
"COL4A6"	TRUE	FALSE	TRUE	FALSE	FALSE
"CYYR1-AS1"	TRUE	FALSE	TRUE	FALSE	FALSE
"TMEM229B"	TRUE	FALSE	TRUE	FALSE	FALSE
"NTRK1"	TRUE	FALSE	TRUE	FALSE	FALSE
"ARC"	TRUE	FALSE	FALSE	FALSE	FALSE
"ZNF534"	TRUE	TRUE	TRUE	TRUE	FALSE
"DLL1"	TRUE	FALSE	TRUE	FALSE	FALSE
"RNU6-11P"	TRUE	TRUE	TRUE	TRUE	FALSE
"SPRN"	TRUE	FALSE	FALSE	FALSE	FALSE
"KPRP"	TRUE	FALSE	TRUE	FALSE	FALSE
"PNLIPRP3"	TRUE	FALSE	TRUE	FALSE	FALSE
"LRRC73"	TRUE	FALSE	TRUE	FALSE	FALSE
"LINC02731"	TRUE	FALSE	TRUE	FALSE	FALSE
"HSPA1B"	TRUE	FALSE	TRUE	FALSE	FALSE
"HSPA1A"	TRUE	FALSE	TRUE	FALSE	FALSE
"CFAP95"	TRUE	FALSE	TRUE	FALSE	FALSE
"MALRD1"	TRUE	FALSE	TRUE	FALSE	FALSE
"PCDHA2"	TRUE	FALSE	TRUE	FALSE	FALSE
"HCP5"	TRUE	FALSE	TRUE	FALSE	FALSE
"RNU6-1"	TRUE	TRUE	FALSE	TRUE	TRUE
"RNU6-42P"	TRUE	TRUE	TRUE	TRUE	FALSE
"RNU6-3P"	TRUE	TRUE	FALSE	TRUE	TRUE
"RNU6-9"	TRUE	TRUE	TRUE	TRUE	FALSE
"MIR25"	TRUE	FALSE	FALSE	FALSE	FALSE
"MIR193A"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000207751"	TRUE	FALSE	TRUE	FALSE	FALSE
"ATP6V1G2"	TRUE	FALSE	TRUE	FALSE	FALSE
"DDX47"	TRUE	FALSE	FALSE	FALSE	FALSE
"TUBBP2"	TRUE	FALSE	TRUE	FALSE	FALSE
"FOXO1B"	TRUE	FALSE	TRUE	FALSE	FALSE
"CPEB1"	TRUE	TRUE	FALSE	TRUE	TRUE
"DCDC2C"	TRUE	FALSE	TRUE	FALSE	FALSE
"UBE2QL1"	TRUE	FALSE	TRUE	FALSE	FALSE
"ATAD3C"	TRUE	FALSE	TRUE	FALSE	FALSE
"H4C10P"	TRUE	FALSE	TRUE	FALSE	FALSE
"RBM38-AS1"	TRUE	FALSE	TRUE	FALSE	FALSE
"TFB2MP1"	TRUE	TRUE	TRUE	TRUE	FALSE
"SNORD99"	TRUE	TRUE	FALSE	TRUE	TRUE
"EBF2"	TRUE	FALSE	TRUE	FALSE	FALSE
"NPTXR"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000222031"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000223374"	TRUE	TRUE	TRUE	TRUE	FALSE
"LGALS8-AS1"	TRUE	TRUE	TRUE	TRUE	FALSE
"PPIAP53"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000224114"	TRUE	TRUE	FALSE	TRUE	TRUE
"ENSG00000224138"	TRUE	TRUE	FALSE	TRUE	TRUE
"HAGLR"	TRUE	TRUE	TRUE	TRUE	FALSE
"LINC01133"	TRUE	FALSE	TRUE	FALSE	FALSE
"PINCR"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000224409"	TRUE	FALSE	TRUE	FALSE	FALSE
"MIR3659HG"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000224635"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000225913"	TRUE	TRUE	TRUE	TRUE	FALSE
"LINC01776"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000227482"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000227619"	TRUE	TRUE	FALSE	TRUE	TRUE
"ENSG00000227782"	TRUE	FALSE	FALSE	FALSE	FALSE
"SNAP25-AS1"	TRUE	TRUE	TRUE	TRUE	FALSE
"GRASLND"	TRUE	FALSE	TRUE	FALSE	FALSE
"PGK1P1"	TRUE	TRUE	FALSE	TRUE	TRUE
"RRAGC-DT"	TRUE	FALSE	FALSE	FALSE	FALSE
"LINC01013"	TRUE	FALSE	FALSE	FALSE	FALSE
"CCDC26"	TRUE	FALSE	TRUE	FALSE	FALSE
"ITGB1-DT"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000229848"	TRUE	TRUE	FALSE	TRUE	TRUE
"ENSG00000230499"	TRUE	TRUE	TRUE	TRUE	FALSE
"MKX-AS1"	TRUE	TRUE	TRUE	TRUE	FALSE
"CEACAMP9"	TRUE	FALSE	TRUE	FALSE	FALSE
"DLEU2"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000231628"	TRUE	TRUE	FALSE	TRUE	TRUE
"ENSG00000231731"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000232692"	TRUE	FALSE	TRUE	FALSE	FALSE
"LINC03033"	TRUE	TRUE	TRUE	TRUE	FALSE
"NEMP2-DT"	TRUE	FALSE	FALSE	FALSE	FALSE
"LINC01237"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000233818"	TRUE	FALSE	TRUE	FALSE	FALSE
"H2BC15"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000233967"	TRUE	TRUE	FALSE	TRUE	TRUE
"SNX18P7"	TRUE	FALSE	TRUE	FALSE	FALSE
"ATP5PDP4"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000235782"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000235859"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000236230"	TRUE	FALSE	TRUE	FALSE	FALSE
"NDUFA6-DT"	TRUE	FALSE	TRUE	FALSE	FALSE
"SHISA9"	TRUE	FALSE	TRUE	FALSE	FALSE
"LINC03089"	TRUE	FALSE	TRUE	FALSE	FALSE
"LINC02245"	TRUE	FALSE	TRUE	FALSE	FALSE
"LINC02918"	TRUE	FALSE	TRUE	FALSE	FALSE
"LINC01352"	TRUE	FALSE	FALSE	FALSE	FALSE
"ST3GAL6-AS1"	TRUE	FALSE	TRUE	FALSE	FALSE
"RPL7P38"	TRUE	FALSE	TRUE	FALSE	FALSE
"PSMB9"	TRUE	FALSE	FALSE	FALSE	FALSE
"RPL7AP10"	TRUE	FALSE	TRUE	FALSE	FALSE
"PCDHGC5"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000241269"	TRUE	FALSE	TRUE	FALSE	FALSE
"SNHG3"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000244459"	TRUE	FALSE	FALSE	FALSE	FALSE
"ODCP"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000245768"	TRUE	FALSE	TRUE	FALSE	FALSE
"CEBPA"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000246090"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000247970"	TRUE	FALSE	TRUE	FALSE	FALSE
"METTL5P2"	TRUE	TRUE	TRUE	TRUE	FALSE
"ENSG00000248560"	TRUE	FALSE	TRUE	FALSE	FALSE
"LINC01060"	TRUE	TRUE	FALSE	TRUE	TRUE
"SPMAP2L"	TRUE	FALSE	TRUE	FALSE	FALSE
"GJD2-DT"	TRUE	FALSE	TRUE	FALSE	FALSE
"PURPL"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000250697"	TRUE	TRUE	FALSE	TRUE	TRUE
"LINC02600"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000251188"	TRUE	FALSE	FALSE	FALSE	FALSE
"ENSG00000253102"	TRUE	FALSE	TRUE	FALSE	FALSE
"ENSG00000253357"	TRUE	FALSE	FALSE	FALSE	FALSE
