"source"	"pathway"	"pval"	"padj"	"log2err"	"ES"	"NES"	"size"	"leadingEdge"
"hallmark"	"HALLMARK_ADIPOGENESIS"	0.0112001453798118	0.0243481421300257	0.380730400722792	0.538535041032411	1.44730392199849	189	"PTGER3, PFKFB3, ANGPTL4, GADD45A, HSPB8, SORBS1, MGST3, TOB1, SOWAHC, DNAJB9, CMBL, DGAT1, ACOX1, RETSAT, MCCC1, ACLY, UBC, DNAJC15, CD36, PIM3, REEP6, CD151, RNF11, ATP1B3, RIOK3, SCARB1, REEP5, SLC25A1, SCP2, BCL6, STOM, PHYH, ENPP2, ABCA1, PDCD4, YWHAG, ITGA7, PGM1, RMDN3, PLIN2, SLC27A1, GPX4, POR, LIPE, NKIRAS1, CCNG2, CHCHD10, GRPEL1, ME1"
"hallmark"	"HALLMARK_ALLOGRAFT_REJECTION"	0.28	0.378378378378378	0.241339976815091	-0.341093804006143	-1.09256098403241	139	"CCL2, WARS1, TLR3, GBP2, CSF1, TAP2, GCNT1, TRAF2, CDKN2A, BRCA1, HLA-A, ETS1, IFNAR2, CCND2, IL15, BCL3, CCL7"
"hallmark"	"HALLMARK_ANDROGEN_RESPONSE"	0.0177118977109204	0.0354237954218408	0.352487857583619	0.580279116097849	1.46914083434916	94	"SAT1, NDRG1, HSD17B14, DNAJB9, MAF, PMEPA1, TSC22D1, CCND1, SGK1, MERTK, HOMER2, IDI1, ALDH1A3, NCOA4, NKX3-1, MAP7, FKBP5, B4GALT1, PLPP1, NGLY1, TMEM50A, PGM3, TMPRSS2, RAB4A, ELL2, IQGAP2, ADAMTS1, INSIG1, BMPR1B, GPD1L, AKAP12"
"hallmark"	"HALLMARK_ANGIOGENESIS"	0.000469467881085865	0.00167667100387809	0.49849310876659	0.833587846339915	1.82325361970647	30	"SPP1, MSX1, TNFRSF21, THBD, JAG1, POSTN, JAG2, STC1, APP, PDGFA"
"hallmark"	"HALLMARK_APICAL_JUNCTION"	0.469410456062291	0.533420972798058	0.053457214108991	0.376783103736393	1.00466618583235	181	"ADAM23, NFASC, FSCN1, FLNC, ICAM5, WNK4, PPP2R2C, CLDN4, PCDH1, CLDN5, CALB2, BAIAP2, TGFBI, LAMC2, NECTIN4, ITGA2, CLDN14, INPPL1, MMP2, SLC30A3, COL17A1, MAPK13, FYB1, CERCAM, LAMB3, B4GALT1, TRAF1, ITGA3, CDH15, VWF, ITGA10, JAM3"
"hallmark"	"HALLMARK_APICAL_SURFACE"	0.220815752461322	0.30668854508517	0.105920292736253	0.534116001572237	1.21721176158231	40	"MDGA1, NTNG1, APP, LYN, SLC2A4, SRPX, DCBLD2, GATA3, RHCG, B4GALT1, ATP6V0A4, LYPD3, PLAUR, CX3CL1, SLC34A3, SULF2, ADAM10, THY1, TMEM8B, EFNA5, GSTM3"
"hallmark"	"HALLMARK_APOPTOSIS"	0.000131476054842326	0.000547816895176359	0.518848077743792	0.648918499635706	1.71671828606338	152	"EGR3, BCL2L11, ATF3, BTG2, HMOX1, GADD45A, SAT1, RHOB, CLU, SMAD7, CDKN1A, CYLD, GADD45B, PMAIP1, GCH1, JUN, CTH, IL1A, IER3, FDXR, CCND1, BMP2, RETSAT, DDIT3, SLC20A1, APP, BCL10, GSN, CD14, FEZ1, PEA15, MMP2, IL6, TGFB2, SQSTM1, PPP2R5B, NEDD9, GPX1, CCNA1, SC5D, BCAP31, SOD2, PDCD4"
"hallmark"	"HALLMARK_BILE_ACID_METABOLISM"	0.293975903614458	0.380021715526602	0.080419996876154	0.445901166492073	1.12670516053101	93	"ABCA3, BMP6, FDXR, RETSAT, PEX7, IDI1, ABCA8, PFKM, PNPLA8, OPTN, ALDH9A1, SCP2, HACL1, PHYH, ABCA1, NR3C2, NEDD4, AQP9, LIPE, SOAT2, CROT, ABCA2, PRDX5, AKR1D1, PEX1, TFCP2L1, HSD3B7, AMACR, ABCD1"
"hallmark"	"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	0.00583164722004456	0.0138848743334394	0.407017918923954	0.665906465332118	1.61187361068893	70	"ATF3, TM7SF2, CLU, ERRFI1, PNRC1, JAG1, LGMN, PDK3, NFIL3, TP53INP1, ALDOC, GSTM2, IDI1, ANXA5, CHKA, SC5D, ACSS2, LSS, ABCA2, HSD17B7, DHCR7, AVPR1A, CD9, PLAUR, STX5, NSDHL, MVD, CPEB2, ETHE1, LGALS3, ACAT2, S100A11"
"hallmark"	"HALLMARK_COAGULATION"	0.0956316410861865	0.144896425888161	0.154190966581424	0.506924167848459	1.29433885875779	110	"MMP15, SERPINB2, F2RL2, CLU, TFPI2, HTRA1, THBD, MMP1, CTSB, MAFF, MMP14, CTSK, FURIN, F8, LGMN, MMP10, PROS1, MMP3, SERPINE1, C8G, GSN, DPP4, MMP11, DUSP14, ITGA2, MMP2, ARF4, P2RY1, CTSO, ISCU, MMP8, LTA4H, F10, LAMP2, CPQ, DUSP6"
"hallmark"	"HALLMARK_COMPLEMENT"	0.0277741189986108	0.0495966410689478	0.352487857583619	0.523630236426212	1.39783944848559	171	"HSPA1A, DUSP5, MMP15, SERPINB2, CDK5R1, CLU, TFPI2, CD59, CTSB, MAFF, MMP14, F8, LGMN, PLA2G4A, PCLO, MMP12, SERPINE1, CD36, GNG2, LYN, DPP4, DOCK4, CA2, TNFAIP3, IL6, GATA3, LAP3, ANXA5, CTSD, CBLB, CTSO, FDX1, GRB2, MMP8, LTA4H, CEBPB, F10, LAMP2, CPQ, DUSP6, CD55, KYNU, ITGAM, DGKG, CD46, LIPA, PLEK, CDA, PRCP, PRSS3, ADRA2B, VCPIP1, FYN, IRF7, ACTN2, CCL5, ME1, HPCAL4"
"hallmark"	"HALLMARK_DNA_REPAIR"	0.885875706214689	0.922787193973635	0.0240035948793451	0.287142942314654	0.757868632775902	148	"GTF2B, PNP, RALA, RRM2B, POLR2A, AK3, ELL, SEC61A1, NME3, XPC, NUDT9, STX3, SUPT5H, TAF13, DDB2, CCNO, BCAP31, NT5C3A, SDCBP, CETN2, MPC2, GUK1, ADA, PDE4B, GPX4, CDA"
