"source"	"ID"	"Description"	"Genes"	"GeneRatio"	"BgRatio"	"pvalue"	"geneID"	"Count"	"Total"	"OddsRatio"	"fdr"
"GOBP ACIDIC AMINO ACID TRANSPORT"	"go_bp"	"GOBP_ACIDIC_AMINO_ACID_TRANSPORT"	"GOBP_ACIDIC_AMINO_ACID_TRANSPORT"	"SLC7A11/SNCA/SLC1A4/ADORA1/P2RX7/SLC6A6/PRKG1/GRM1/NTSR1/SLC1A1/SLC7A14/ITGB1/STXBP1/CLN8/SLC1A7/APBA1/SLC1A2/PRAF2/RAB3GAP1/SLC17A7/ABAT/GRM2/NTRK2/KCNJ8/ARL6IP1/SLC25A18/TRPV1/SLC25A13/PER2/GJA1/VPS54/SLC12A2/PSEN1/NF1/SLC38A6/ARL6IP5/GABBR1/GIPC1/NHERF1/SLC25A22/GNAT2/DTNBP1/SLC1A3/SLC25A12/SLC38A2/SLC6A13/ATP1A2/AVPR1A/HRH3/TNF/KMO/GRM7/SLC32A1/ADORA2A/SLC17A8"	"1/112"	"54/22255"	0.242869728907384	"NTSR1"	1	55	3.67972883597884	0.551259623857378
"GOBP ACID SECRETION"	"go_bp"	"GOBP_ACID_SECRETION"	"GOBP_ACID_SECRETION"	"PTGER3/HIP1R/SGK1/P2RX7/TRPC4/SV2A/HTR1B/NTSR1/ABCB4/APBA1/DRD2/ABAT/GHRL/SLC26A6/NF1/PRKAA1/CES1/GABBR1/NHERF1/CHRM5/SLC51A/TNF/KCNQ1/SLC26A7/SLC22A16/HRH2/CACNB4"	"1/112"	"26/22283"	0.127589410618855	"NTSR1"	1	27	7.65212912087912	0.516996248033809
"GOBP ACTIN FILAMENT ORGANIZATION"	"go_bp"	"GOBP_ACTIN_FILAMENT_ORGANIZATION"	"GOBP_ACTIN_FILAMENT_ORGANIZATION"	"KANK4/ARHGAP28/PAK3/F2RL1/SMAD3/RHPN2/RGCC/CRACD/WASHC1/RHOU/WASHC2C/DAAM2/SHTN1/DPYSL3/WASHC2A/SPTBN2/HIP1R/RHOJ/WASF3/TWF1/FAT1/XIRP2/LCP1/TTN/RHOQ/ESPNL/ARHGEF10/CARMIL2/ABL1/GRB2/ZBED3/RND3/SPIRE1/SHANK1/TAGLN3/CXCL12/EZR/BCL2/FCHSD1/INPPL1/SYNPO2L/ABI1/CGNL1/ITGB5/RHOB/SPTBN1/PPARGC1B/NRP1/ARPIN/PSTPIP2/MICAL2/PROX1/FCHSD2/CORO2B/CARMIL1/STMN1/IQGAP2/NEB/RAC2/GMFB/DIAPH2/SLC9A1/SNX9/CCL26/ALMS1/MYO1D/SCIN/FHDC1/JMY/BIN1/SRC/MSRB2/MYADM/CNN1/CDC42EP4/IQGAP3/ABI2/PICK1/ARHGEF5/SORBS3/BAIAP2/GPR65/RGS4/WHAMM/CORO1B/NEBL/S100A10/TPM1/MTPN/ITGB1/ARFIP2/CCDC88A/TMOD2/TACSTD2/CTNNA2/ESPN/FLNA/CNN2/WIPF1/MYO1C/AVIL/MTSS1/CAPZA2/MYO19/CYFIP2/MYO7A/ALDOA/HSP90B1/GSN/TMSB4X/SPTBN4/CORO1A/RHOBTB1/SPTB/BAIAP2L1/ARHGEF2/AP1AR/SFRP1/PLEKHG2/SPATC1L/MAD2L2/TRPV4/MTOR/ADD2/MYO6/PTK2B/PLS3/PDXP/TENM1/ACTN2/LPAR1/KANK3/MIR138-1/CTTN/DNAI3/WASL/RNH1/HIP1/CORO7/SDC4/ARPC3/C9orf72/MEGF9/BRAF/MICAL1/WASHC3/ARHGAP6/KIRREL1/BRK1/RHOT2/RHOD/ESAM/TTC17/WASHC5/PLEK/ITGB1BP1/SHANK3/SSH3/SYNPO2/PXN/RICTOR/RAC1/MYO5A/NAA80/TAGLN2/PDLIM1/DBN1/SLIT2/SORBS1/MKKS/DIAPH3/PPP1R9B/SAMD14/ARPC5L/PDCD10/ARHGEF18/ARHGAP18/FERMT2/PRKCI/TMOD4/MYOC/CAPG/PIK3CA/PPFIA1/WASF2/PAK2/TMOD1/LIMCH1/TGFB3/CAP1/TTC8/TWF2/S1PR1/MARCKSL1/HAX1/NCKAP1/ARAP1/PREX1/PRKN/FMN1/MAGEL2/ADD3/ROCK1/MET/FSCN2/SH3BP1/EPS8/TESK1/TACR1/ARPC4/TMSB15A/SHROOM4/SHROOM2/ROCK2/ARF6/ARFIP1/PFN4/ARPC1A/FAM171A1/ANG/ELMO1/ZEB2/LIMK1/VILL/ARPC5/CFL1/ARF1/RND1/PHLDB2/PTGER4/SSH2/SPIRE2/MYO1E/SWAP70/MICALL2/SHROOM3/GHRL/INPP5K/PFN1/MSRB1/MLST8/NEDD9/CLASP2/PHACTR1/XIRP1/FHOD1/PRKCD/GDPD2/ARRB1/CORO6/SSH1/RAPGEF3/MYO5C/CDC42EP3/ABITRAM/VASP/MYO1H/ARPC1B/SEMA5A/GMFG/PAWR/CORO1C/CAPZB/BAIAP2L2/F11R/WNT11/GAS2L3/CD47/KANK2/TRIM27/SHROOM1/RHOT1/TMEFF2/ACTC1/PPP1R9A/CAPZA1/RHOA/TRIOBP/PYCARD/FLII/KANK1/SH3D21/RND2/SH3KBP1/CCR7/ARFGEF1/PLEKHH2/ELMO2/DLG1/CD2AP/CALD1/ACTG1/ELN/CNN3/TMSB10/GAS7/PFN2/BCAR1/TJP1/KCTD13/CFL2/MYO15A/SYNPO/TCAP/MARCKS/DIAPH1/ACTR2/CCN2/MYO1B/CUL3/SPTAN1/NF2/RUFY3/TMSB15C/NCK2/COTL1/ADD1/ARHGAP12/RAC3/PLS1/EVL/DMTN/ELMO3/EPHA1/FSCN1/RFLNB/JAK2/EMP2/FMN2/TNFAIP1/CDC42EP1/ACTR3/PLEC/MYO7B/GBA2/ARPC2/CYFIP1/TGFBR1/CDC42/PPM1F/CAP2/NOSTRIN/RHOG/WNT4/WDR1/FHOD3/FAM107A/ACTN1/DSTN/CYRIB/SVIL/ARHGAP17/PPM1E/PRKCE/LIMA1/ENAH/BBS4/FER/BIN3/DLC1/TPM3/WAS/MICAL3/NCK1/GAS2L1/PAK1/TMSB15B/RDX/LATS1/C15orf62/LIMD2/IQGAP1/CLASP1/ZYX/TPM2/SPTBN5/CDC42EP5/RHPN1/RHOBTB2/TPM4/HCLS1/WASF1/RHOC/PIK3R1/ASAP3/TSC1/MYO1F/ACTL8/WASHC4/ARHGEF10L/TLE6/TMSB4Y/SRF/RASA1/LMOD1/INF2/BAG4/TMOD3/RHOF/ARHGAP35/KPTN/GAS2/AIF1L/RHOV/CARMIL3/RFLNA/ACTA1/CX3CL1/TF/NCKAP1L/APOA1/PACSIN1/PLA2G1B/CATIP/FSCN3/USH1C/ARHGAP25/CSF3/CAV3/CYRIA/WIPF3/MYO1A/MYO5B/FRMD7/ERMN/SERPINF2"	"1/112"	"425/21884"	0.886170151986507	"NCKAP1L"	1	426	0.459747899159664	0.899754478510952
"GOBP ACTIN POLYMERIZATION OR DEPOLYMERIZATION"	"go_bp"	"GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION"	"GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION"	"KANK4/ARHGAP28/PAK3/F2RL1/CRACD/WASHC2C/DAAM2/SPTBN2/HIP1R/WASF3/TWF1/CARMIL2/ABL1/GRB2/SPIRE1/CXCL12/FCHSD1/ABI1/SPTBN1/PSTPIP2/MICAL2/FCHSD2/CARMIL1/DIAPH2/SNX9/CCL26/SCIN/FHDC1/BIN1/MSRB2/MYADM/CDC42EP4/ABI2/BAIAP2/MTPN/TMOD2/WIPF1/AVIL/CAPZA2/CYFIP2/GSN/TMSB4X/SPTBN4/CORO1A/SPTB/BAIAP2L1/PLEKHG2/SPATC1L/MTOR/ADD2/PTK2B/PDXP/TENM1/ACTN2/KANK3/CTTN/WASL/CORO7/ARPC3/MEGF9/MICAL1/WASHC3/ARHGAP6/KIRREL1/BRK1/ESAM/TTC17/WASHC5/PLEK/SSH3/RICTOR/RAC1/NAA80/SLIT2/MKKS/DIAPH3/PPP1R9B/ARPC5L/ARHGAP18/TMOD4/CAPG/PIK3CA/TMOD1/TWF2/HAX1/NCKAP1/PREX1/FMN1/ADD3/SH3BP1/EPS8/ARPC4/TMSB15A/ARF6/PFN4/ANG/VILL/ARPC5/CFL1/SSH2/SPIRE2/SWAP70/MICALL2/GHRL/PFN1/MSRB1/MLST8/PRKCD/SSH1/CDC42EP3/ABITRAM/VASP/SEMA5A/CAPZB/BAIAP2L2/KANK2/CAPZA1/TRIOBP/PYCARD/FLII/KANK1/CCR7/ARFGEF1/PLEKHH2/DLG1/ELN/TMSB10/GAS7/PFN2/CFL2/DIAPH1/SPTAN1/TMSB15C/NCK2/COTL1/ADD1/EVL/DMTN/JAK2/CDC42EP1/GBA2/ARPC2/CYFIP1/WDR1/FHOD3/FAM107A/DSTN/CYRIB/SVIL/PRKCE/LIMA1/ENAH/BBS4/FER/WAS/MICAL3/NCK1/TMSB15B/RDX/LATS1/C15orf62/SPTBN5/CDC42EP5/HCLS1/WASF1/TMSB4Y/RASA1/LMOD1/INF2/BAG4/TMOD3/ARHGAP35/NCKAP1L/CATIP/CSF3/CYRIA"	"1/112"	"175/22134"	0.590462101462157	"NCKAP1L"	1	176	1.12928571428571	0.733965966912684
"GOBP ACTIVATION OF IMMUNE RESPONSE"	"go_bp"	"GOBP_ACTIVATION_OF_IMMUNE_RESPONSE"	"GOBP_ACTIVATION_OF_IMMUNE_RESPONSE"	"A2M/COLEC12/SVEP1/CLU/PAK3/NFATC2/F2RL1/RGCC/PLPP4/PRKDC/CD59/TLR3/CASP1/LPXN/CYLD/HSPA1A/MICB/LYN/C5/CTSS/PTPN22/LY96/NLRP1/CARD8/BTN3A2/MATR3/CD36/DUSP3/PDE4B/CYBA/MAP2K6/ABL1/GRB2/BTN3A1/CBLB/GBP2/PSPC1/NFKB1/EZR/LGR4/HSPA1B/BCL2/SLC15A3/IRAK2/MEF2C/C8G/TNIP1/NOD1/CD276/NAGLU/NAGK/PDPK1/TNIP3/NLRP10/ELF1/TNFAIP3/RIOK3/NMI/ATAT1/ADA/SLC39A6/DUSP22/SIN3A/RPS6KA3/COLEC11/IRF4/PELI1/CFH/C4A/COLEC10/ALPK1/EIF2B4/TSPAN6/SRC/MASP1/INPP5D/PQBP1/MARK4/CD79B/PLCL2/TRAC/CASP6/RABGEF1/RAB11FIP2/RTN4/MASP2/GRAMD4/GATA3/NINJ1/IRF3/C1RL/BTN2A1/GPR108/IRAK4/TRAF3/KCNN4/HMSD/TRAF6/NR1H3/BTN3A3/XRCC6/IFI35/OAS1/OAS3/SUSD4/TICAM1/FLOT1/FBXL2/RIPK2/CMKLR1/DDX60/NFKBIA/PRKD1/MAPKAPK3/TYRO3/CD55/THY1/SIRT2/TNFRSF21/IL1B/TRIM3/SLC15A4/LRCH4/VAV3/PPP2CA/CD160/RSAD2/DENND1B/ARRB2/RIGI/C3/PJA2/BIRC2/PDE4D/ECSIT/FYB1/BRAF/RPS3/CFB/IPO5/LGALS3/NOP53/SHB/TOMM70/RFTN1/ZDHHC5/MAPK8/NR4A3/BCL10/C1S/USP15/VAV2/PYHIN1/TLR1/TXK/FCHO1/RAB7B/TLR6/CD81/PTPRC/CD46/PIK3CA/DAB2IP/BTN1A1/CPTP/TRIM5/PAK2/GPATCH3/FYN/PHB2/SPG21/ZNRF1/PRKD2/STOML2/KCNJ8/TRIL/PRKCH/HLA-A/NONO/PTPRJ/RNF31/NLRP3/PLA2G6/LGALS9/NCR3LG1/ZNFX1/ZDHHC12/CLPB/RBCK1/IRAK3/CFHR1/PIK3CD/AP3B1/DGKZ/NFKBID/ERBIN/BTN2A3P/CREBBP/PLSCR1/NPLOC4/C9/TEC/PTPRS/TLR4/LIMK1/LAT2/MYD88/HEXIM1/SLC39A10/MAVS/STK11/THEMIS/NECTIN2/GBP1/ZCCHC3/FOXP1/YES1/PLD2/STING1/IRF1/MAP3K7/CSNK1A1/PRKCD/SEC14L1/IFIH1/HRAS/SCARA3/STMP1/NLRC3/KHDRBS1/XIAP/RAB29/IRAK1/SFPQ/ANKRD17/IFI16/LACC1/TNIP2/PTPN6/PAWR/CR1L/UNC93B1/HSPA8/OASL/BAG6/CD47/PTPN2/LIPA/SLC15A2/C3AR1/GCSAM/BLK/IKBKG/HSPD1/TBK1/XRCC5/BRCC3/PTK2/PSEN1/FCER1G/FGR/PYCARD/LRRC14/CMTM3/SERPING1/MALT1/CCR7/ESR1/PHPT1/TIFA/EIF2AK2/PUM1/CD22/CFD/UBQLN1/C1QBP/MAPK1/C5AR1/BCAR1/CD14/UBE2N/CD226/SOS1/THEMIS2/NFKBIZ/TRIM11/WNK1/EIF2B5/DHX33/GPLD1/NR1D1/NEK7/LAPTM5/LRRC19/CD40/C4B/C1R/TARBP2/CGAS/NAIP/BAX/OTULIN/UFD1/TMEM126A/TIRAP/LAT/HLA-DPB1/ITCH/RELA/SARM1/TKFC/CACNB3/FOXP3/PLEKHA1/FOSL1/LIME1/TICAM2/DDX3X/NFKBIL1/SPPL3/EIF2B1/RC3H2/RNF125/PRKCE/TLR5/CSK/HMGB1/FOSL2/WDFY1/RNF135/BIRC3/PLCG1/CACTIN/APPL1/IRF7/EIF2B2/PHB1/IKBKB/EP300/PAK1/PRNP/LSM14A/BANK1/MAPKAPK2/CRKL/OTUD4/DHX58/TRIM25/EIF2B3/HSP90AA1/ZC3H12A/SH2B2/EPG5/CHUK/APPL2/TRBC2/FLOT2/CAV1/PIK3R1/MFHAS1/ERMAP/PUM2/BTN2A2/GPS2/GFI1/RBM14/ZAP70/RC3H1/C2/NLRX1/NLRP6/FPR1/BLNK/ICOSLG/TRIM31/VAV1/TNF/PRKCB/GBP5/CEACAM1/C8B/C1QB/SLC46A2/C7/NCKAP1L/KLRD1/CD38/PIK3AP1/TLR7/SMPDL3B/HLA-DRB1/MEFV/C5AR2/CR2/CD247/IRGM/FCN3/BPIFB1/FYB2/S100A14/CACNB4/NLRC4/HAVCR2/CD79A/INAVA/USP50/NFAM1/LTF/BTK/CFP/NR1H4/TRIM15/CARD11"	"1/112"	"412/21897"	0.878290090270892	"NCKAP1L"	1	413	0.474536234396671	0.896493280608064
"GOBP ACTIVATION OF JANUS KINASE ACTIVITY"	"go_bp"	"GOBP_ACTIVATION_OF_JANUS_KINASE_ACTIVITY"	"GOBP_ACTIVATION_OF_JANUS_KINASE_ACTIVITY"	"IL23R/AGT/CCL5/PRLR/IL6R/PTK2B/IL23A/PIBF1/JAK2/IL12B"	"1/112"	"9/22300"	0.0492788917091596	"AGT"	1	10	22.1230158730159	0.51442749277187
"GOBP ACTIVATION OF PROTEIN KINASE ACTIVITY"	"go_bp"	"GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY"	"GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY"	"PPIA/TLR3/ABL1/TNFSF15/STRADA/IL23R/AGT/FGF1/ANGPT1/CLSPN/ADRB2/PDPK1/CARD10/IL18/RIPK3/CCL5/STRADB/COPS8/MARK2/TNFRSF10B/PINK1/CCDC88A/TRAF6/GAS6/ADRA2A/PRRC1/NTF3/PRLR/OSBPL8/IL6R/WNT5A/TAOK2/TNFRSF10A/PTK2B/TPX2/NTRK3/CHI3L1/ITGB1BP1/TGFB2/CARD14/KIF14/TLR6/VEGFA/IL23A/PHB2/ECT2/PILRB/TRAF2/CAMKK2/TXN/BORA/PIBF1/TOM1L1/ANG/STK11/MAP3K7/PRKCD/IRAK1/PARK7/ADRA2C/ITGB3/NRG1/INSR/MALT1/AXIN1/JAK2/EMP2/ZFP91/TIRAP/TGFBR2/SLC11A1/PHB1/ADCY8/ADRA2B/CHRNA3/CALCA/LEP/IL12B"	"1/112"	"77/22232"	0.326164935781222	"AGT"	1	78	2.57792207792208	0.604840830265297
"GOBP ACYLGLYCEROL HOMEOSTASIS"	"go_bp"	"GOBP_ACYLGLYCEROL_HOMEOSTASIS"	"GOBP_ACYLGLYCEROL_HOMEOSTASIS"	"SLC25A27/ANGPTL4/ADORA1/RORA/IL18/APOE/NR1H3/GIP/SESN2/SIRT1/MTLN/SCARB1/CETP/DGAT2/PNPLA8/GCKR/C1QTNF3/XBP1/ANGPTL3/MED13/LIPC/FUNDC2/FITM2/MLXIPL/APOA1/ANGPTL8/PLA2G12B/NR1H4"	"1/112"	"27/22282"	0.131991393052437	"APOE"	1	28	7.36838624338624	0.516996248033809
"GOBP ADAPTIVE IMMUNE RESPONSE"	"go_bp"	"GOBP_ADAPTIVE_IMMUNE_RESPONSE"	"GOBP_ADAPTIVE_IMMUNE_RESPONSE"	"ERAP2/TNFSF18/IL6/IL13RA2/SVEP1/SMAD7/CLU/HLA-H/IL7R/LOXL3/IL21R/TNFSF4/PLA2G4A/CTSC/BCL3/CADM1/MICB/LYN/C5/CTSS/TRPM4/JUNB/RORA/MCOLN1/HLA-DPA1/P2RX7/BTN3A2/PAXIP1/ADCY7/BTN3A1/ULBP2/RAP1GAP2/TNFRSF13C/TAP2/IL23R/CTSH/PVR/MEF2C/ULBP3/PRKCZ/IL4R/C8G/JAM3/UNG/DUSP10/SOCS3/STAT6/NLRP10/TNFAIP3/NFKB2/IL33/EBI3/ADA/CD274/RNF19B/DUSP22/IL18/TNFRSF14/IRF4/NSD2/C4A/RIPK3/HLA-C/B2M/RELB/CD74/RAB27A/SIPA1/INPP5D/CD79B/TRAC/MARCHF8/SCART1/THOC1/EXO1/ZBTB7B/CD7/MASP2/MR1/GATA3/FCGR1A/C1RL/HLA-E/FBXO38/RIF1/ZP3/MLH1/TRAF6/BTN3A3/HMCES/SUSD4/IL27RA/RIPK2/HLA-B/TCIRG1/PSG9/IL6R/MAD2L2/CD55/MSH6/HLA-F/MTOR/TNFRSF21/IL1B/CRACR2A/IL1RL1/SLC15A4/PTK2B/CD160/RSAD2/DENND1B/MICA/HPRT1/TREM1/C3/BCL6/JAK3/RAG1/DCLRE1C/RAET1E/IL17RA/SIRT1/ULBP1/ATAD5/RFTN1/MSH2/PRR7/TGFB1/STX7/BCL10/C1S/IL18BP/PARP3/IFNE/STAT3/CAMK4/TXK/HLX/CD81/KMT5C/PTPRC/CD46/GNL1/IL12A/FZD5/TMEM98/IL23A/PDCD1LG2/TNFSF13/ENTPD7/FYN/TRGV5/PRKD2/KCNJ8/GPR183/TRAF2/ZBTB1/HLA-A/ICAM1/NLRP3/LILRA6/SEMA4A/NCR3LG1/ARG2/IL1R1/CTSL/HLA-DMA/JAG1/MCOLN2/PIK3CD/AHR/NFKBID/PRDM1/TAP1/ANXA1/C9/TEC/TFRC/TLR4/LAT2/NDFIP1/MYD88/SANBR/TFE3/ALCAM/SWAP70/AKIRIN2/THEMIS/TYK2/NECTIN2/OTUD7B/RNF8/FADD/IRF1/TP53BP1/MAP3K7/IFNB1/PRKCD/HRAS/RAPGEF3/SUPT6H/PTPN6/CR1L/TRAF3IP2/UNC93B1/RAET1G/LIG4/RAP1GAP/TRIM27/HSPD1/FCER1G/PYCARD/SERPING1/MALT1/EIF2AK4/RAPGEF4/TNFSF13B/TFEB/JCHAIN/JAK1/PKN1/PAG1/C1QBP/ARID5A/RNF168/IL6ST/CD27/CD226/NFKBIZ/SLC22A13/STAT4/IL4I1/TNFRSF1B/CARD9/CD40/EXOSC3/NOTCH1/CTNNBL1/AGER/C4B/C1R/JAK2/EMP2/HPX/LAT/SOCS5/EXOSC6/HLA-DPB1/LILRB3/ADAM17/FOXP3/HFE/UNC13D/TRBV12-4/CLCF1/LEF1/LIME1/SHLD2/CYRIB/RC3H2/RNF125/CSK/HLA-G/HMGB1/SLC11A1/ERAP1/OTUB1/DBNL/WAS/SHLD3/PPP3CB/CD4/KMT5B/IRF7/NBN/PHB1/APLF/PMS2/EPHB2/LAG3/ZC3H12A/IL20RB/KDM5D/LAMP3/TRBC2/TSC1/EBAG9/SHLD1/ERCC1/ORAI1/ZAP70/CSF2RB/RC3H1/C2/TNFRSF11A/TBX21/CRTAM/FCGR1BP/SLAMF7/BACH2/ICOSLG/CD70/TNF/PRKCB/CX3CR1/CEACAM1/C8B/C1QB/C7/NCKAP1L/KLRD1/BTLA/HLA-DRB1/XCL1/CR2/FGB/MPL/CD247/CD1D/AIRE/LTA/PRKCQ/TRBV13/CD6/HAVCR2/CD79A/HLA-DRA/BTK/HLA-DMB/ADGRE1/SH2D1B/IL12B/IL18R1/IL2RB/TRGV8"	"2/111"	"333/21976"	0.505263354126243	"NCKAP1L/ADGRE1"	2	335	1.18908097286476	0.695954763147558
"GOBP ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS"	"go_bp"	"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS"	"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS"	"TNFSF18/IL6/IL13RA2/SVEP1/SMAD7/CLU/HLA-H/IL7R/LOXL3/IL21R/TNFSF4/PLA2G4A/CTSC/BCL3/CADM1/MICB/C5/TRPM4/JUNB/RORA/P2RX7/BTN3A2/PAXIP1/ULBP2/TAP2/IL23R/CTSH/PVR/MEF2C/ULBP3/PRKCZ/IL4R/C8G/UNG/SOCS3/STAT6/NLRP10/TNFAIP3/NFKB2/IL33/EBI3/ADA/CD274/DUSP22/IL18/IRF4/NSD2/C4A/RIPK3/HLA-C/B2M/RELB/CD74/RAB27A/INPP5D/SCART1/THOC1/EXO1/ZBTB7B/MASP2/MR1/GATA3/FCGR1A/C1RL/HLA-E/FBXO38/RIF1/ZP3/MLH1/TRAF6/BTN3A3/HMCES/SUSD4/IL27RA/RIPK2/HLA-B/TCIRG1/PSG9/IL6R/MAD2L2/CD55/MSH6/HLA-F/MTOR/IL1B/IL1RL1/SLC15A4/RSAD2/DENND1B/MICA/HPRT1/C3/BCL6/JAK3/RAET1E/IL17RA/ULBP1/ATAD5/RFTN1/MSH2/TGFB1/STX7/BCL10/C1S/IL18BP/PARP3/STAT3/HLX/CD81/KMT5C/PTPRC/CD46/GNL1/IL12A/FZD5/TMEM98/IL23A/TNFSF13/ENTPD7/TRAF2/ZBTB1/HLA-A/ICAM1/NLRP3/SEMA4A/NCR3LG1/IL1R1/JAG1/AHR/NFKBID/ANXA1/C9/TFRC/TLR4/NDFIP1/MYD88/SANBR/SWAP70/TYK2/NECTIN2/RNF8/FADD/TP53BP1/MAP3K7/IFNB1/PRKCD/HRAS/SUPT6H/PTPN6/CR1L/TRAF3IP2/UNC93B1/RAET1G/LIG4/HSPD1/FCER1G/SERPING1/MALT1/TNFSF13B/JAK1/PKN1/C1QBP/ARID5A/RNF168/CD27/CD226/NFKBIZ/SLC22A13/STAT4/IL4I1/TNFRSF1B/CARD9/CD40/EXOSC3/NOTCH1/AGER/C4B/C1R/JAK2/EMP2/HPX/SOCS5/EXOSC6/ADAM17/FOXP3/HFE/UNC13D/CLCF1/LEF1/SHLD2/CYRIB/RC3H2/HLA-G/HMGB1/SLC11A1/WAS/SHLD3/PPP3CB/CD4/KMT5B/IRF7/NBN/PHB1/APLF/PMS2/EPHB2/ZC3H12A/IL20RB/KDM5D/EBAG9/SHLD1/ERCC1/CSF2RB/RC3H1/C2/TBX21/CRTAM/BACH2/CD70/TNF/CEACAM1/C8B/C1QB/C7/NCKAP1L/KLRD1/HLA-DRB1/XCL1/CR2/MPL/CD1D/AIRE/LTA/PRKCQ/HAVCR2/HLA-DRA/BTK/IL12B/IL18R1/IL2RB"	"1/112"	"239/22070"	0.704506965242471	"NCKAP1L"	1	240	0.824491930663479	0.788163469469479
