geneId	gene	baseMean_n208	log2FoldChange_n208	lfcSE_n208	stat_n208	pvalue_n208	padj_n208	gene_n208	baseMean_n6	log2FoldChange_n6	lfcSE_n6	stat_n6	pvalue_n6	padj_n6	gene_n6	baseMean_RR_LL	log2FoldChange_RR_LL	lfcSE_RR_LL	stat_RR_LL	pvalue_RR_LL	padj_RR_LL	gene_RR_LL	DE_n208	DE_n6	DE_RR_LL	seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	transcriptId	distanceToTSS	external_gene_name	annotation_short
ENSG00000001630	CYP51A1	754.464241171136	0.17007792674962	0.235250204258812	0.722966117226013	0.469700701060485	0.909636410432671	CYP51A1	754.464241171136	0.699667890226736	0.283915185334681	2.46435529470522	0.0137259975266506	0.432445678020058	CYP51A1	754.464241171136	0.158189946392608	0.290083647732872	0.545325279894026	0.585529820374769	0.999855349557366	CYP51A1	FALSE	FALSE	FALSE	7	92134329	92134380	52	*	KOS_4h_peak_1330	34	.	5.48383	7.97217	3.48058	33	Promoter (<=1kb)	7	92112153	92134477	22325	2	ENST00000003100	97	CYP51A1	Promoter (<=1kb)
ENSG00000004975	DVL2	2578.15851812597	0.452738364934037	0.179568574251346	2.52125610965941	0.0116936707041373	0.31870998864345	DVL2	2578.15851812597	-0.0552079460652907	0.21879278283117	-0.252329831683212	0.800786131622576	0.986024419187081	DVL2	2578.15851812597	0.311207872127454	0.222604668722899	1.39802940303489	0.16210423781402	0.999855349557366	DVL2	FALSE	FALSE	FALSE	17	7234212	7234363	152	*	KOS_4h_peak_559	51	.	6.0395	9.79399	5.10335	66	Promoter (<=1kb)	17	7225455	7234318	8864	2	ENST00000575458	0	DVL2	Promoter (<=1kb)
ENSG00000005448	WDR54	874.256398695625	0.685249108156642	0.255298630802004	2.68410804242849	0.00727236005193015	0.261573339282695	WDR54	874.256398695625	-0.130930169745652	0.311087725062741	-0.42087861139248	0.673843724299986	0.972412059637974	WDR54	874.256398695625	-0.411308164671793	0.317945450149596	-1.29364381367392	0.19578848118052	0.999855349557366	WDR54	FALSE	FALSE	FALSE	2	74421753	74421872	120	*	KOS_4h_peak_842	70	.	7.3613	11.93345	7.04485	39	Promoter (<=1kb)	2	74421759	74425650	3892	1	ENST00000480089	0	WDR54	Promoter (<=1kb)
ENSG00000006062	MAP3K14	851.345615898479	-0.723593882783917	0.227819901443238	-3.17616625325511	0.00149235397968776	0.116294002496233	MAP3K14	851.345615898479	0.882211962501964	0.271163166444943	3.25343583373847	0.00114018472614906	0.106617157498392	MAP3K14	851.345615898479	0.265966185977514	0.296409708476786	0.897292424543994	0.369562897735785	0.999855349557366	MAP3K14	FALSE	FALSE	FALSE	17	45317202	45317267	66	*	KOS_4h_peak_602	38	.	4.99813	8.40895	3.87883	35	Promoter (<=1kb)	17	45264636	45317029	52394	2	ENST00000617331	-173	MAP3K14	Promoter (<=1kb)
ENSG00000006194	ZNF263	736.947124851986	-0.0247934494130789	0.225684547552709	-0.109858870188214	0.912521301876294	0.989013606196462	ZNF263	736.947124851986	0.0623996848026057	0.273408168120797	0.228229043892487	0.819468183440131	0.988505262142558	ZNF263	736.947124851986	0.0704038092245783	0.284338162182267	0.247605909401102	0.804439338045433	0.999855349557366	ZNF263	FALSE	FALSE	FALSE	16	3282504	3282679	176	*	KOS_4h_peak_457	50	.	5.99808	9.72704	5.04225	90	Promoter (<=1kb)	16	3283283	3293389	10107	1	ENST00000574253	-604	ZNF263	Promoter (<=1kb)
ENSG00000006459	KDM7A	715.18909371705	-0.30846700453025	0.277876251713916	-1.11008768337579	0.266961244126291	0.843928407376519	KDM7A	715.18909371705	1.83172388845472	0.338120883996586	5.4173639522166	6.0484140402111e-08	3.84804272558258e-05	KDM7A	715.18909371705	0.602460447372756	0.353189397693774	1.7057716095292	0.0880506109746694	0.911883663200525	KDM7A	FALSE	FALSE	FALSE	7	140175813	140175996	184	*	KOS_4h_peak_1359	84	.	7.55992	13.42248	8.42587	80	Promoter (<=1kb)	7	140084746	140176983	92238	2	ENST00000397560	987	KDM7A	Promoter (<=1kb)
ENSG00000006607	FARP2	3365.22934351908	0.197836491976272	0.210268502408367	0.940875545839242	0.346768640744008	0.875522581325664	FARP2	3365.22934351908	0.215638640200548	0.256921046842264	0.839318704523803	0.401290489757712	0.922701709941792	FARP2	3365.22934351908	0.126720351718184	0.259519316431673	0.488288707987359	0.62534535866441	0.999855349557366	FARP2	FALSE	FALSE	FALSE	2	241355908	241355967	60	*	KOS_4h_peak_916	41	.	4.19812	8.71181	4.12508	31	Promoter (<=1kb)	2	241356285	241494841	138557	1	ENST00000264042	-318	FARP2	Promoter (<=1kb)
ENSG00000006831	ADIPOR2	5890.73824558002	0.0473375180223129	0.175490986322792	0.269743301432257	0.787357745154045	0.972942399344364	ADIPOR2	5890.73824558002	0.29649273111225	0.214493252244242	1.3822939789949	0.166881453973848	0.855401433946552	ADIPOR2	5890.73824558002	0.0261794146504712	0.216132865823524	0.121126486481917	0.903590850449898	0.999855349557366	ADIPOR2	FALSE	FALSE	FALSE	12	1690995	1691087	93	*	KOS_4h_peak_279	42	.	5.6933	8.90153	4.2963	43	Promoter (<=1kb)	12	1691070	1788674	97605	1	ENST00000357103	0	ADIPOR2	Promoter (<=1kb)
ENSG00000008130	NADK	3532.64858229962	0.208384380377458	0.173760669506357	1.19926092003136	0.230426505788204	0.820691889900477	NADK	3532.64858229962	-0.101130724719248	0.212132505971961	-0.47673374835168	0.633551727886681	0.967846958373288	NADK	3532.64858229962	-0.166868379876995	0.214763241722046	-0.77698761919864	0.437166074869674	0.999855349557366	NADK	FALSE	FALSE	FALSE	1	1778296	1778425	130	*	KOS_4h_peak_6	68	.	6.99417	11.70148	6.84622	106	Promoter (<=1kb)	1	1756588	1778419	21832	2	ENST00000492768	0	NADK	Promoter (<=1kb)
ENSG00000008710	PKD1	6038.89601486798	-0.164168389687951	0.22743106433029	-0.721838022309632	0.470394069711051	0.909636410432671	PKD1	6038.89601486798	0.452095065407624	0.278418741841328	1.62379537533172	0.104419487408883	0.81141657172706	PKD1	6038.89601486798	0.344676336123825	0.279429948670501	1.23349819074068	0.217389951318142	0.999855349557366	PKD1	FALSE	FALSE	FALSE	16	2135942	2136080	139	*	KOS_4h_peak_451	109	.	5.14039	16.07908	10.91241	70	Promoter (<=1kb)	16	2088710	2135898	47189	2	ENST00000423118	-44	PKD1	Promoter (<=1kb)
