geneId	gene	baseMean_n208	log2FoldChange_n208	lfcSE_n208	stat_n208	pvalue_n208	padj_n208	gene_n208	baseMean_n6	log2FoldChange_n6	lfcSE_n6	stat_n6	pvalue_n6	padj_n6	gene_n6	baseMean_RR_LL	log2FoldChange_RR_LL	lfcSE_RR_LL	stat_RR_LL	pvalue_RR_LL	padj_RR_LL	gene_RR_LL	DE_n208	DE_n6	DE_RR_LL	seqnames_2h	start_2h	end_2h	width_2h	strand_2h	V4_2h	V5_2h	V6_2h	V7_2h	V8_2h	V9_2h	V10_2h	annotation_2h	geneChr_2h	geneStart_2h	geneEnd_2h	geneLength_2h	geneStrand_2h	transcriptId_2h	distanceToTSS_2h	external_gene_name_2h	annotation_short_2h	seqnames_4h	start_4h	end_4h	width_4h	strand_4h	V4_4h	V5_4h	V6_4h	V7_4h	V8_4h	V9_4h	V10_4h	annotation_4h	geneChr_4h	geneStart_4h	geneEnd_4h	geneLength_4h	geneStrand_4h	transcriptId_4h	distanceToTSS_4h	external_gene_name_4h	annotation_short_4h	seqnames_6h	start_6h	end_6h	width_6h	strand_6h	V4_6h	V5_6h	V6_6h	V7_6h	V8_6h	V9_6h	V10_6h	annotation_6h	geneChr_6h	geneStart_6h	geneEnd_6h	geneLength_6h	geneStrand_6h	transcriptId_6h	distanceToTSS_6h	external_gene_name_6h	annotation_short_6h
ENSG00000075043	KCNQ2	5.54806911857721	4.89186272256482	1.96694480257469	2.48703609585865	0.0128812328727134	NA	KCNQ2	5.54806911857721	-2.25137695034599	1.90805393158737	-1.17993360306802	0.238026623746934	NA	KCNQ2	5.54806911857721	1.33150009326215	2.70287342484228	0.492623916837631	0.622278345607937	NA	KCNQ2	NA	NA	FALSE	20	63442310	63443693	1384	*	KOS_2h_peak_10246	928	.	18.7771	98.78904	92.87176	984	Promoter (1-2kb)	20	63438689	63445576	6888	2	ENST00000630274	1883	KCNQ2	Promoter (1-2kb)	20	63443624	63443738	115	*	KOS_4h_peak_946	46	.	5.69843	9.24136	4.60994	76	Promoter (1-2kb)	20	63438689	63445576	6888	2	ENST00000630274	1838	KCNQ2	Promoter (1-2kb)	20	63443281	63443361	81	*	KOS_6h_peak_26	53	.	6.58753	11.42354	5.37104	21	Promoter (2-3kb)	20	63438689	63445576	6888	2	ENST00000630274	2215	KCNQ2	Promoter (2-3kb)
ENSG00000075043	KCNQ2	5.54806911857721	4.89186272256482	1.96694480257469	2.48703609585865	0.0128812328727134	NA	KCNQ2	5.54806911857721	-2.25137695034599	1.90805393158737	-1.17993360306802	0.238026623746934	NA	KCNQ2	5.54806911857721	1.33150009326215	2.70287342484228	0.492623916837631	0.622278345607937	NA	KCNQ2	NA	NA	FALSE	20	63442310	63443693	1384	*	KOS_2h_peak_10246	928	.	18.7771	98.78904	92.87176	984	Promoter (1-2kb)	20	63438689	63445576	6888	2	ENST00000630274	1883	KCNQ2	Promoter (1-2kb)	20	63442412	63443573	1162	*	KOS_4h_peak_945	396	.	18.5184	46.58577	39.6448	408	Promoter (2-3kb)	20	63438689	63445576	6888	2	ENST00000630274	2003	KCNQ2	Promoter (2-3kb)	20	63443281	63443361	81	*	KOS_6h_peak_26	53	.	6.58753	11.42354	5.37104	21	Promoter (2-3kb)	20	63438689	63445576	6888	2	ENST00000630274	2215	KCNQ2	Promoter (2-3kb)
ENSG00000131591	C1orf159	536.871108563454	0.139450902066571	0.246440463592086	0.565860411208254	0.571488675519685	0.938689662606899	C1orf159	536.871108563454	-0.237111723450774	0.300018244575128	-0.790324347729455	0.429338371070941	0.930165916657922	C1orf159	536.871108563454	0.33645943507152	0.313525412335607	1.07314884801543	0.2832043370385	0.999855349557366	C1orf159	FALSE	FALSE	FALSE	1	1116421	1116617	197	*	KOS_2h_peak_28	171	.	7.97662	20.85677	17.10184	83	Promoter (<=1kb)	1	1087190	1116361	29172	2	ENST00000475119	-60	C1orf159	Promoter (<=1kb)	1	1108028	1108622	595	*	KOS_4h_peak_2	198	.	7.10191	25.61605	19.88663	380	Promoter (1-2kb)	1	1082700	1106127	23428	2	ENST00000379319	-1901	C1orf159	Promoter (1-2kb)	1	1108871	1108981	111	*	KOS_6h_peak_2	31	.	4.50441	8.76288	3.13862	75	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2744	C1orf159	Promoter (2-3kb)
ENSG00000131591	C1orf159	536.871108563454	0.139450902066571	0.246440463592086	0.565860411208254	0.571488675519685	0.938689662606899	C1orf159	536.871108563454	-0.237111723450774	0.300018244575128	-0.790324347729455	0.429338371070941	0.930165916657922	C1orf159	536.871108563454	0.33645943507152	0.313525412335607	1.07314884801543	0.2832043370385	0.999855349557366	C1orf159	FALSE	FALSE	FALSE	1	1116421	1116617	197	*	KOS_2h_peak_28	171	.	7.97662	20.85677	17.10184	83	Promoter (<=1kb)	1	1087190	1116361	29172	2	ENST00000475119	-60	C1orf159	Promoter (<=1kb)	1	1108806	1109169	364	*	KOS_4h_peak_3	326	.	15.85206	39.07087	32.63005	260	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2679	C1orf159	Promoter (2-3kb)	1	1108336	1108425	90	*	KOS_6h_peak_1	19	.	4.39424	7.35457	1.99955	57	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2209	C1orf159	Promoter (2-3kb)
ENSG00000131591	C1orf159	536.871108563454	0.139450902066571	0.246440463592086	0.565860411208254	0.571488675519685	0.938689662606899	C1orf159	536.871108563454	-0.237111723450774	0.300018244575128	-0.790324347729455	0.429338371070941	0.930165916657922	C1orf159	536.871108563454	0.33645943507152	0.313525412335607	1.07314884801543	0.2832043370385	0.999855349557366	C1orf159	FALSE	FALSE	FALSE	1	1115887	1116038	152	*	KOS_2h_peak_27	54	.	4.953	8.65468	5.47779	77	Promoter (<=1kb)	1	1081818	1116081	34264	2	ENST00000379339	43	C1orf159	Promoter (<=1kb)	1	1108028	1108622	595	*	KOS_4h_peak_2	198	.	7.10191	25.61605	19.88663	380	Promoter (1-2kb)	1	1082700	1106127	23428	2	ENST00000379319	-1901	C1orf159	Promoter (1-2kb)	1	1108871	1108981	111	*	KOS_6h_peak_2	31	.	4.50441	8.76288	3.13862	75	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2744	C1orf159	Promoter (2-3kb)
ENSG00000131591	C1orf159	536.871108563454	0.139450902066571	0.246440463592086	0.565860411208254	0.571488675519685	0.938689662606899	C1orf159	536.871108563454	-0.237111723450774	0.300018244575128	-0.790324347729455	0.429338371070941	0.930165916657922	C1orf159	536.871108563454	0.33645943507152	0.313525412335607	1.07314884801543	0.2832043370385	0.999855349557366	C1orf159	FALSE	FALSE	FALSE	1	1108756	1109276	521	*	KOS_2h_peak_26	948	.	21.99789	100.86319	94.88892	149	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2629	C1orf159	Promoter (2-3kb)	1	1108806	1109169	364	*	KOS_4h_peak_3	326	.	15.85206	39.07087	32.63005	260	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2679	C1orf159	Promoter (2-3kb)	1	1108336	1108425	90	*	KOS_6h_peak_1	19	.	4.39424	7.35457	1.99955	57	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2209	C1orf159	Promoter (2-3kb)
ENSG00000131591	C1orf159	536.871108563454	0.139450902066571	0.246440463592086	0.565860411208254	0.571488675519685	0.938689662606899	C1orf159	536.871108563454	-0.237111723450774	0.300018244575128	-0.790324347729455	0.429338371070941	0.930165916657922	C1orf159	536.871108563454	0.33645943507152	0.313525412335607	1.07314884801543	0.2832043370385	0.999855349557366	C1orf159	FALSE	FALSE	FALSE	1	1116421	1116617	197	*	KOS_2h_peak_28	171	.	7.97662	20.85677	17.10184	83	Promoter (<=1kb)	1	1087190	1116361	29172	2	ENST00000475119	-60	C1orf159	Promoter (<=1kb)	1	1108806	1109169	364	*	KOS_4h_peak_3	326	.	15.85206	39.07087	32.63005	260	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2679	C1orf159	Promoter (2-3kb)	1	1108871	1108981	111	*	KOS_6h_peak_2	31	.	4.50441	8.76288	3.13862	75	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2744	C1orf159	Promoter (2-3kb)
ENSG00000131591	C1orf159	536.871108563454	0.139450902066571	0.246440463592086	0.565860411208254	0.571488675519685	0.938689662606899	C1orf159	536.871108563454	-0.237111723450774	0.300018244575128	-0.790324347729455	0.429338371070941	0.930165916657922	C1orf159	536.871108563454	0.33645943507152	0.313525412335607	1.07314884801543	0.2832043370385	0.999855349557366	C1orf159	FALSE	FALSE	FALSE	1	1116421	1116617	197	*	KOS_2h_peak_28	171	.	7.97662	20.85677	17.10184	83	Promoter (<=1kb)	1	1087190	1116361	29172	2	ENST00000475119	-60	C1orf159	Promoter (<=1kb)	1	1108028	1108622	595	*	KOS_4h_peak_2	198	.	7.10191	25.61605	19.88663	380	Promoter (1-2kb)	1	1082700	1106127	23428	2	ENST00000379319	-1901	C1orf159	Promoter (1-2kb)	1	1108336	1108425	90	*	KOS_6h_peak_1	19	.	4.39424	7.35457	1.99955	57	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2209	C1orf159	Promoter (2-3kb)
ENSG00000131591	C1orf159	536.871108563454	0.139450902066571	0.246440463592086	0.565860411208254	0.571488675519685	0.938689662606899	C1orf159	536.871108563454	-0.237111723450774	0.300018244575128	-0.790324347729455	0.429338371070941	0.930165916657922	C1orf159	536.871108563454	0.33645943507152	0.313525412335607	1.07314884801543	0.2832043370385	0.999855349557366	C1orf159	FALSE	FALSE	FALSE	1	1108756	1109276	521	*	KOS_2h_peak_26	948	.	21.99789	100.86319	94.88892	149	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2629	C1orf159	Promoter (2-3kb)	1	1108028	1108622	595	*	KOS_4h_peak_2	198	.	7.10191	25.61605	19.88663	380	Promoter (1-2kb)	1	1082700	1106127	23428	2	ENST00000379319	-1901	C1orf159	Promoter (1-2kb)	1	1108871	1108981	111	*	KOS_6h_peak_2	31	.	4.50441	8.76288	3.13862	75	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2744	C1orf159	Promoter (2-3kb)
ENSG00000131591	C1orf159	536.871108563454	0.139450902066571	0.246440463592086	0.565860411208254	0.571488675519685	0.938689662606899	C1orf159	536.871108563454	-0.237111723450774	0.300018244575128	-0.790324347729455	0.429338371070941	0.930165916657922	C1orf159	536.871108563454	0.33645943507152	0.313525412335607	1.07314884801543	0.2832043370385	0.999855349557366	C1orf159	FALSE	FALSE	FALSE	1	1115887	1116038	152	*	KOS_2h_peak_27	54	.	4.953	8.65468	5.47779	77	Promoter (<=1kb)	1	1081818	1116081	34264	2	ENST00000379339	43	C1orf159	Promoter (<=1kb)	1	1108806	1109169	364	*	KOS_4h_peak_3	326	.	15.85206	39.07087	32.63005	260	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2679	C1orf159	Promoter (2-3kb)	1	1108336	1108425	90	*	KOS_6h_peak_1	19	.	4.39424	7.35457	1.99955	57	Promoter (2-3kb)	1	1082700	1106127	23428	2	ENST00000379319	-2209	C1orf159	Promoter (2-3kb)
