geneId	gene	baseMean_n208	log2FoldChange_n208	lfcSE_n208	stat_n208	pvalue_n208	padj_n208	gene_n208	baseMean_n6	log2FoldChange_n6	lfcSE_n6	stat_n6	pvalue_n6	padj_n6	gene_n6	baseMean_RR_LL	log2FoldChange_RR_LL	lfcSE_RR_LL	stat_RR_LL	pvalue_RR_LL	padj_RR_LL	gene_RR_LL	DE_n208	DE_n6	DE_RR_LL	seqnames_2h	start_2h	end_2h	width_2h	strand_2h	V4_2h	V5_2h	V6_2h	V7_2h	V8_2h	V9_2h	V10_2h	annotation_2h	geneChr_2h	geneStart_2h	geneEnd_2h	geneLength_2h	geneStrand_2h	transcriptId_2h	distanceToTSS_2h	external_gene_name_2h	seqnames_4h	start_4h	end_4h	width_4h	strand_4h	V4_4h	V5_4h	V6_4h	V7_4h	V8_4h	V9_4h	V10_4h	annotation_4h	geneChr_4h	geneStart_4h	geneEnd_4h	geneLength_4h	geneStrand_4h	transcriptId_4h	distanceToTSS_4h	external_gene_name_4h
ENSG00000001630	CYP51A1	754.464241171136	0.17007792674962	0.235250204258812	0.722966117226013	0.469700701060485	0.909636410432671	CYP51A1	754.464241171136	0.699667890226736	0.283915185334681	2.46435529470522	0.0137259975266506	0.432445678020058	CYP51A1	754.464241171136	0.158189946392608	0.290083647732872	0.545325279894026	0.585529820374769	0.999855349557366	CYP51A1	FALSE	FALSE	FALSE	7	92133507	92134236	730	*	KOS_2h_peak_14616	147	.	5.95427	18.39227	14.71943	335	Promoter (<=1kb)	7	92112153	92134477	22325	2	ENST00000003100	241	CYP51A1	7	92134329	92134380	52	*	KOS_4h_peak_1330	34	.	5.48383	7.97217	3.48058	33	Promoter (<=1kb)	7	92112153	92134477	22325	2	ENST00000003100	97	CYP51A1
ENSG00000001630	CYP51A1	754.464241171136	0.17007792674962	0.235250204258812	0.722966117226013	0.469700701060485	0.909636410432671	CYP51A1	754.464241171136	0.699667890226736	0.283915185334681	2.46435529470522	0.0137259975266506	0.432445678020058	CYP51A1	754.464241171136	0.158189946392608	0.290083647732872	0.545325279894026	0.585529820374769	0.999855349557366	CYP51A1	FALSE	FALSE	FALSE	7	92134327	92134544	218	*	KOS_2h_peak_14617	62	.	3.93537	9.47403	6.24668	34	Promoter (<=1kb)	7	92084987	92134503	49517	2	ENST00000691309	0	CYP51A1	7	92134329	92134380	52	*	KOS_4h_peak_1330	34	.	5.48383	7.97217	3.48058	33	Promoter (<=1kb)	7	92112153	92134477	22325	2	ENST00000003100	97	CYP51A1
ENSG00000001630	CYP51A1	754.464241171136	0.17007792674962	0.235250204258812	0.722966117226013	0.469700701060485	0.909636410432671	CYP51A1	754.464241171136	0.699667890226736	0.283915185334681	2.46435529470522	0.0137259975266506	0.432445678020058	CYP51A1	754.464241171136	0.158189946392608	0.290083647732872	0.545325279894026	0.585529820374769	0.999855349557366	CYP51A1	FALSE	FALSE	FALSE	7	92134650	92135017	368	*	KOS_2h_peak_14618	232	.	8.93664	27.18485	23.25215	213	Promoter (<=1kb)	7	92113412	92134803	21392	2	ENST00000450723	0	CYP51A1	7	92134329	92134380	52	*	KOS_4h_peak_1330	34	.	5.48383	7.97217	3.48058	33	Promoter (<=1kb)	7	92112153	92134477	22325	2	ENST00000003100	97	CYP51A1
ENSG00000002822	MAD1L1	23.3675052904445	-0.231482951257256	0.687310660599364	-0.336795228893137	0.736271269968743	NA	MAD1L1	23.3675052904445	-0.350056740096478	0.811061896460088	-0.431602990627861	0.666029984486518	0.971763638650049	MAD1L1	23.3675052904445	-0.674643797403556	0.914968947972835	-0.737340648443061	0.460915218749967	0.999855349557366	MAD1L1	FALSE	FALSE	FALSE	7	1899290	1899550	261	*	KOS_2h_peak_14202	188	.	10.06701	22.64314	18.8313	104	Intron (ENST00000402746/ENSG00000002822, intron 15 of 16)	7	1815793	1872756	56964	2	ENST00000481633	-26534	MAD1L1	7	2102054	2102653	600	*	KOS_4h_peak_1292	79	.	7.28338	12.96905	7.99772	297	Intron (ENST00000402746/ENSG00000002822, intron 9 of 16)	7	2014506	2107708	93203	2	ENST00000421113	5055	MAD1L1
ENSG00000002822	MAD1L1	23.3675052904445	-0.231482951257256	0.687310660599364	-0.336795228893137	0.736271269968743	NA	MAD1L1	23.3675052904445	-0.350056740096478	0.811061896460088	-0.431602990627861	0.666029984486518	0.971763638650049	MAD1L1	23.3675052904445	-0.674643797403556	0.914968947972835	-0.737340648443061	0.460915218749967	0.999855349557366	MAD1L1	FALSE	FALSE	FALSE	7	2037470	2037696	227	*	KOS_2h_peak_14203	54	.	4.93416	8.62136	5.44621	115	Intron (ENST00000402746/ENSG00000002822, intron 10 of 16)	7	1957629	2080013	122385	2	ENST00000438959	42317	MAD1L1	7	2102054	2102653	600	*	KOS_4h_peak_1292	79	.	7.28338	12.96905	7.99772	297	Intron (ENST00000402746/ENSG00000002822, intron 9 of 16)	7	2014506	2107708	93203	2	ENST00000421113	5055	MAD1L1
ENSG00000002822	MAD1L1	23.3675052904445	-0.231482951257256	0.687310660599364	-0.336795228893137	0.736271269968743	NA	MAD1L1	23.3675052904445	-0.350056740096478	0.811061896460088	-0.431602990627861	0.666029984486518	0.971763638650049	MAD1L1	23.3675052904445	-0.674643797403556	0.914968947972835	-0.737340648443061	0.460915218749967	0.999855349557366	MAD1L1	FALSE	FALSE	FALSE	7	2102024	2102737	714	*	KOS_2h_peak_14204	545	.	20.72722	59.26085	54.57501	221	Intron (ENST00000402746/ENSG00000002822, intron 9 of 16)	7	2014506	2107708	93203	2	ENST00000421113	4971	MAD1L1	7	2102054	2102653	600	*	KOS_4h_peak_1292	79	.	7.28338	12.96905	7.99772	297	Intron (ENST00000402746/ENSG00000002822, intron 9 of 16)	7	2014506	2107708	93203	2	ENST00000421113	5055	MAD1L1
ENSG00000003147	ICA1	5.72973855129429	0.717067075900287	1.50943798996028	0.475055670169769	0.634747294072359	NA	ICA1	5.72973855129429	0.725387023369634	1.67560072636908	0.432911619071389	0.66507897857505	NA	ICA1	5.72973855129429	0.957362363250908	2.11945842639113	0.45170141170499	0.651484101104109	NA	ICA1	FALSE	FALSE	FALSE	7	8152504	8152895	392	*	KOS_2h_peak_14273	190	.	9.25154	22.84197	19.02206	207	Intron (ENST00000402384/ENSG00000003147, intron 8 of 13)	7	8141765	8157764	16000	2	ENST00000470696	4869	ICA1	7	8152705	8152873	169	*	KOS_4h_peak_1304	59	.	6.42651	10.78055	5.99391	72	Intron (ENST00000402384/ENSG00000003147, intron 8 of 13)	7	8141765	8157764	16000	2	ENST00000470696	4891	ICA1
ENSG00000003147	ICA1	5.72973855129429	0.717067075900287	1.50943798996028	0.475055670169769	0.634747294072359	NA	ICA1	5.72973855129429	0.725387023369634	1.67560072636908	0.432911619071389	0.66507897857505	NA	ICA1	5.72973855129429	0.957362363250908	2.11945842639113	0.45170141170499	0.651484101104109	NA	ICA1	FALSE	FALSE	FALSE	7	8152504	8152895	392	*	KOS_2h_peak_14273	190	.	9.25154	22.84197	19.02206	207	Intron (ENST00000402384/ENSG00000003147, intron 8 of 13)	7	8141765	8157764	16000	2	ENST00000470696	4869	ICA1	7	8152594	8152652	59	*	KOS_4h_peak_1303	74	.	7.79825	12.34886	7.43025	36	Intron (ENST00000402384/ENSG00000003147, intron 8 of 13)	7	8141765	8157764	16000	2	ENST00000470696	5112	ICA1
ENSG00000004975	DVL2	2578.15851812597	0.452738364934037	0.179568574251346	2.52125610965941	0.0116936707041373	0.31870998864345	DVL2	2578.15851812597	-0.0552079460652907	0.21879278283117	-0.252329831683212	0.800786131622576	0.986024419187081	DVL2	2578.15851812597	0.311207872127454	0.222604668722899	1.39802940303489	0.16210423781402	0.999855349557366	DVL2	FALSE	FALSE	FALSE	17	7233811	7234867	1057	*	KOS_2h_peak_6374	588	.	16.39046	63.86823	58.85812	490	Promoter (<=1kb)	17	7225342	7234517	9176	2	ENST00000005340	0	DVL2	17	7234212	7234363	152	*	KOS_4h_peak_559	51	.	6.0395	9.79399	5.10335	66	Promoter (<=1kb)	17	7225455	7234318	8864	2	ENST00000575458	0	DVL2
ENSG00000005448	WDR54	874.256398695625	0.685249108156642	0.255298630802004	2.68410804242849	0.00727236005193015	0.261573339282695	WDR54	874.256398695625	-0.130930169745652	0.311087725062741	-0.42087861139248	0.673843724299986	0.972412059637974	WDR54	874.256398695625	-0.411308164671793	0.317945450149596	-1.29364381367392	0.19578848118052	0.999855349557366	WDR54	FALSE	FALSE	FALSE	2	74421377	74422146	770	*	KOS_2h_peak_9114	383	.	12.49034	42.56436	38.37276	397	Promoter (<=1kb)	2	74421678	74425474	3797	1	ENST00000461531	0	WDR54	2	74421753	74421872	120	*	KOS_4h_peak_842	70	.	7.3613	11.93345	7.04485	39	Promoter (<=1kb)	2	74421759	74425650	3892	1	ENST00000480089	0	WDR54
ENSG00000006062	MAP3K14	851.345615898479	-0.723593882783917	0.227819901443238	-3.17616625325511	0.00149235397968776	0.116294002496233	MAP3K14	851.345615898479	0.882211962501964	0.271163166444943	3.25343583373847	0.00114018472614906	0.106617157498392	MAP3K14	851.345615898479	0.265966185977514	0.296409708476786	0.897292424543994	0.369562897735785	0.999855349557366	MAP3K14	FALSE	FALSE	FALSE	17	45316805	45317430	626	*	KOS_2h_peak_6848	291	.	9.54367	33.17112	29.11802	405	Promoter (<=1kb)	17	45263119	45317020	53902	2	ENST00000344686	0	MAP3K14	17	45317202	45317267	66	*	KOS_4h_peak_602	38	.	4.99813	8.40895	3.87883	35	Promoter (<=1kb)	17	45264636	45317029	52394	2	ENST00000617331	-173	MAP3K14
ENSG00000006062	MAP3K14	851.345615898479	-0.723593882783917	0.227819901443238	-3.17616625325511	0.00149235397968776	0.116294002496233	MAP3K14	851.345615898479	0.882211962501964	0.271163166444943	3.25343583373847	0.00114018472614906	0.106617157498392	MAP3K14	851.345615898479	0.265966185977514	0.296409708476786	0.897292424543994	0.369562897735785	0.999855349557366	MAP3K14	FALSE	FALSE	FALSE	17	45316604	45316743	140	*	KOS_2h_peak_6847	72	.	5.43982	10.57334	7.27414	96	Promoter (<=1kb)	17	45263119	45317020	53902	2	ENST00000344686	277	MAP3K14	17	45317202	45317267	66	*	KOS_4h_peak_602	38	.	4.99813	8.40895	3.87883	35	Promoter (<=1kb)	17	45264636	45317029	52394	2	ENST00000617331	-173	MAP3K14
ENSG00000006194	ZNF263	736.947124851986	-0.0247934494130789	0.225684547552709	-0.109858870188214	0.912521301876294	0.989013606196462	ZNF263	736.947124851986	0.0623996848026057	0.273408168120797	0.228229043892487	0.819468183440131	0.988505262142558	ZNF263	736.947124851986	0.0704038092245783	0.284338162182267	0.247605909401102	0.804439338045433	0.999855349557366	ZNF263	FALSE	FALSE	FALSE	16	3282391	3283196	806	*	KOS_2h_peak_5525	477	.	16.77869	52.0543	47.70757	302	Promoter (<=1kb)	16	3283283	3293389	10107	1	ENST00000574253	-87	ZNF263	16	3282504	3282679	176	*	KOS_4h_peak_457	50	.	5.99808	9.72704	5.04225	90	Promoter (<=1kb)	16	3283283	3293389	10107	1	ENST00000574253	-604	ZNF263
ENSG00000006459	KDM7A	715.18909371705	-0.30846700453025	0.277876251713916	-1.11008768337579	0.266961244126291	0.843928407376519	KDM7A	715.18909371705	1.83172388845472	0.338120883996586	5.4173639522166	6.0484140402111e-08	3.84804272558258e-05	KDM7A	715.18909371705	0.602460447372756	0.353189397693774	1.7057716095292	0.0880506109746694	0.911883663200525	KDM7A	FALSE	FALSE	FALSE	7	140175576	140177841	2266	*	KOS_2h_peak_14863	523	.	15.69593	56.85698	52.32367	167	Promoter (<=1kb)	7	140084746	140176983	92238	2	ENST00000397560	0	KDM7A	7	140175813	140175996	184	*	KOS_4h_peak_1359	84	.	7.55992	13.42248	8.42587	80	Promoter (<=1kb)	7	140084746	140176983	92238	2	ENST00000397560	987	KDM7A
ENSG00000006607	FARP2	3365.22934351908	0.197836491976272	0.210268502408367	0.940875545839242	0.346768640744008	0.875522581325664	FARP2	3365.22934351908	0.215638640200548	0.256921046842264	0.839318704523803	0.401290489757712	0.922701709941792	FARP2	3365.22934351908	0.126720351718184	0.259519316431673	0.488288707987359	0.62534535866441	0.999855349557366	FARP2	FALSE	FALSE	FALSE	2	241355832	241356119	288	*	KOS_2h_peak_9807	191	.	5.04861	22.92743	19.10515	106	Promoter (<=1kb)	2	241356285	241494841	138557	1	ENST00000264042	-166	FARP2	2	241355908	241355967	60	*	KOS_4h_peak_916	41	.	4.19812	8.71181	4.12508	31	Promoter (<=1kb)	2	241356285	241494841	138557	1	ENST00000264042	-318	FARP2
ENSG00000006607	FARP2	3365.22934351908	0.197836491976272	0.210268502408367	0.940875545839242	0.346768640744008	0.875522581325664	FARP2	3365.22934351908	0.215638640200548	0.256921046842264	0.839318704523803	0.401290489757712	0.922701709941792	FARP2	3365.22934351908	0.126720351718184	0.259519316431673	0.488288707987359	0.62534535866441	0.999855349557366	FARP2	FALSE	FALSE	FALSE	2	241355197	241355635	439	*	KOS_2h_peak_9806	96	.	6.59289	13.0601	9.62422	344	Promoter (<=1kb)	2	241356285	241494841	138557	1	ENST00000264042	-650	FARP2	2	241355908	241355967	60	*	KOS_4h_peak_916	41	.	4.19812	8.71181	4.12508	31	Promoter (<=1kb)	2	241356285	241494841	138557	1	ENST00000264042	-318	FARP2
ENSG00000006607	FARP2	3365.22934351908	0.197836491976272	0.210268502408367	0.940875545839242	0.346768640744008	0.875522581325664	FARP2	3365.22934351908	0.215638640200548	0.256921046842264	0.839318704523803	0.401290489757712	0.922701709941792	FARP2	3365.22934351908	0.126720351718184	0.259519316431673	0.488288707987359	0.62534535866441	0.999855349557366	FARP2	FALSE	FALSE	FALSE	2	241356277	241356616	340	*	KOS_2h_peak_9808	128	.	6.15973	16.4144	12.81681	104	Promoter (<=1kb)	2	241356285	241494841	138557	1	ENST00000264042	0	FARP2	2	241355908	241355967	60	*	KOS_4h_peak_916	41	.	4.19812	8.71181	4.12508	31	Promoter (<=1kb)	2	241356285	241494841	138557	1	ENST00000264042	-318	FARP2
ENSG00000006831	ADIPOR2	5890.73824558002	0.0473375180223129	0.175490986322792	0.269743301432257	0.787357745154045	0.972942399344364	ADIPOR2	5890.73824558002	0.29649273111225	0.214493252244242	1.3822939789949	0.166881453973848	0.855401433946552	ADIPOR2	5890.73824558002	0.0261794146504712	0.216132865823524	0.121126486481917	0.903590850449898	0.999855349557366	ADIPOR2	FALSE	FALSE	FALSE	12	1690734	1690879	146	*	KOS_2h_peak_3200	23	.	2.97714	5.21322	2.33884	103	Promoter (<=1kb)	12	1691070	1788674	97605	1	ENST00000357103	-191	ADIPOR2	12	1690995	1691087	93	*	KOS_4h_peak_279	42	.	5.6933	8.90153	4.2963	43	Promoter (<=1kb)	12	1691070	1788674	97605	1	ENST00000357103	0	ADIPOR2
ENSG00000006831	ADIPOR2	5890.73824558002	0.0473375180223129	0.175490986322792	0.269743301432257	0.787357745154045	0.972942399344364	ADIPOR2	5890.73824558002	0.29649273111225	0.214493252244242	1.3822939789949	0.166881453973848	0.855401433946552	ADIPOR2	5890.73824558002	0.0261794146504712	0.216132865823524	0.121126486481917	0.903590850449898	0.999855349557366	ADIPOR2	FALSE	FALSE	FALSE	12	1691328	1691557	230	*	KOS_2h_peak_3202	39	.	3.89546	6.96669	3.91863	42	Promoter (<=1kb)	12	1691163	1731056	39894	1	ENST00000540974	165	ADIPOR2	12	1690995	1691087	93	*	KOS_4h_peak_279	42	.	5.6933	8.90153	4.2963	43	Promoter (<=1kb)	12	1691070	1788674	97605	1	ENST00000357103	0	ADIPOR2
ENSG00000006831	ADIPOR2	5890.73824558002	0.0473375180223129	0.175490986322792	0.269743301432257	0.787357745154045	0.972942399344364	ADIPOR2	5890.73824558002	0.29649273111225	0.214493252244242	1.3822939789949	0.166881453973848	0.855401433946552	ADIPOR2	5890.73824558002	0.0261794146504712	0.216132865823524	0.121126486481917	0.903590850449898	0.999855349557366	ADIPOR2	FALSE	FALSE	FALSE	12	1690956	1691238	283	*	KOS_2h_peak_3201	274	.	8.26982	31.4817	27.46131	111	Promoter (<=1kb)	12	1691070	1788674	97605	1	ENST00000357103	0	ADIPOR2	12	1690995	1691087	93	*	KOS_4h_peak_279	42	.	5.6933	8.90153	4.2963	43	Promoter (<=1kb)	12	1691070	1788674	97605	1	ENST00000357103	0	ADIPOR2
ENSG00000008130	NADK	3532.64858229962	0.208384380377458	0.173760669506357	1.19926092003136	0.230426505788204	0.820691889900477	NADK	3532.64858229962	-0.101130724719248	0.212132505971961	-0.47673374835168	0.633551727886681	0.967846958373288	NADK	3532.64858229962	-0.166868379876995	0.214763241722046	-0.77698761919864	0.437166074869674	0.999855349557366	NADK	FALSE	FALSE	FALSE	1	1782792	1782916	125	*	KOS_2h_peak_64	23	.	2.97714	5.21322	2.33884	111	Promoter (2-3kb)	1	1779157	1780457	1301	2	ENST00000480542	-2335	NADK	1	1778296	1778425	130	*	KOS_4h_peak_6	68	.	6.99417	11.70148	6.84622	106	Promoter (<=1kb)	1	1756588	1778419	21832	2	ENST00000492768	0	NADK
