"source"	"ID"	"Description"	"Genes"	"GeneRatio"	"BgRatio"	"pvalue"	"geneID"	"Count"	"Total"	"OddsRatio"	"fdr"
"GOBP ACIDIC AMINO ACID TRANSPORT"	"go_bp"	"GOBP_ACIDIC_AMINO_ACID_TRANSPORT"	"GOBP_ACIDIC_AMINO_ACID_TRANSPORT"	"SLC7A11/SNCA/SLC1A4/ADORA1/P2RX7/SLC6A6/PRKG1/GRM1/NTSR1/SLC1A1/SLC7A14/ITGB1/STXBP1/CLN8/SLC1A7/APBA1/SLC1A2/PRAF2/RAB3GAP1/SLC17A7/ABAT/GRM2/NTRK2/KCNJ8/ARL6IP1/SLC25A18/TRPV1/SLC25A13/PER2/GJA1/VPS54/SLC12A2/PSEN1/NF1/SLC38A6/ARL6IP5/GABBR1/GIPC1/NHERF1/SLC25A22/GNAT2/DTNBP1/SLC1A3/SLC25A12/SLC38A2/SLC6A13/ATP1A2/AVPR1A/HRH3/TNF/KMO/GRM7/SLC32A1/ADORA2A/SLC17A8"	"1/230"	"54/22137"	0.434621898523686	"NTSR1"	1	55	1.78236714975845	0.736129081373991
"GOBP ACID SECRETION"	"go_bp"	"GOBP_ACID_SECRETION"	"GOBP_ACID_SECRETION"	"PTGER3/HIP1R/SGK1/P2RX7/TRPC4/SV2A/HTR1B/NTSR1/ABCB4/APBA1/DRD2/ABAT/GHRL/SLC26A6/NF1/PRKAA1/CES1/GABBR1/NHERF1/CHRM5/SLC51A/TNF/KCNQ1/SLC26A7/SLC22A16/HRH2/CACNB4"	"1/230"	"26/22165"	0.244042546330771	"NTSR1"	1	27	3.70652173913044	0.680707691746648
"GOBP ACTIN FILAMENT BASED MOVEMENT"	"go_bp"	"GOBP_ACTIN_FILAMENT_BASED_MOVEMENT"	"GOBP_ACTIN_FILAMENT_BASED_MOVEMENT"	"KCND3/PDPN/SYNE2/DSP/KCNN2/DSG2/STC1/KCNJ3/SHTN1/ADORA1/TRPM4/FRMD6/ACTA2/SGCD/MYH10/MYH3/PDE4B/SCN1B/KCNJ2/KCNH2/FNBP1L/SLC9A1/CTNNA3/MYO1D/BIN1/SUN2/SCN3B/MYH9/TPM1/SCN4B/FLNA/WIPF1/MYO1C/HCN4/MYO19/MYO7A/GSN/CACNB2/MYO6/RANGRF/RNF207/ACTN4/WASL/EPB41L5/PDE4D/ABCC9/CACNA1D/SCN5A/MYO5A/ADCY10/FGF13/PIK3CA/CACNA1C/WASF2/MYLK2/LIMCH1/KCNJ8/KCNE4/MYL11/MYO9B/ROCK1/ANK2/CACNA1G/NUP155/ZEB2/NOS1AP/EPDR1/SCN1A/MYO1E/PARVA/GJC1/MYO5C/MYO1H/GPD1L/SUMO1/PLN/GJA1/CCDC88C/CACNA2D1/ACTC1/MYL6/DLG1/TNNC1/MYO15A/MYO1B/EMP2/MYO7B/MYH14/AKAP9/CAMK2D/MYL6B/WAS/JUP/KCNE3/ATP2A1/SNTA1/KCNE5/CAV1/NEDD4L/MYO1F/ATP2A2/SRI/ATP1A1/ATP1A2/KCNQ1/FGF12/MYH4/GATA4/PKP2/GJA5/KCNE1/CAV3/MYH2/MYO1A/MYO5B/RYR2"	"1/230"	"115/22076"	0.700122818405989	"KCNN2"	1	116	0.834631379962193	0.858020525297864
"GOBP ACTIN FILAMENT BUNDLE ORGANIZATION"	"go_bp"	"GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION"	"GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION"	"ARHGAP28/SMAD3/RHPN2/RGCC/SHTN1/DPYSL3/LCP1/ESPNL/ARHGEF10/ABL1/SPIRE1/SHANK1/EZR/SYNPO2L/CGNL1/ITGB5/NRP1/CORO2B/CARMIL1/STMN1/SLC9A1/ALMS1/FHDC1/SRC/ARHGEF5/SORBS3/BAIAP2/GPR65/CORO1B/S100A10/TPM1/ITGB1/CCDC88A/TACSTD2/ESPN/FLNA/MTSS1/HSP90B1/BAIAP2L1/SFRP1/MTOR/ADD2/PTK2B/PLS3/PDXP/LPAR1/MIR138-1/SDC4/BRAF/MICAL1/ARHGAP6/RHOD/PLEK/ITGB1BP1/SHANK3/SYNPO2/PXN/RAC1/PDLIM1/SORBS1/MKKS/PDCD10/ARHGEF18/FERMT2/MYOC/PPFIA1/WASF2/PAK2/LIMCH1/TGFB3/TTC8/S1PR1/ARAP1/PRKN/ROCK1/MET/FSCN2/EPS8/TESK1/TACR1/SHROOM2/ROCK2/FAM171A1/ZEB2/LIMK1/PHLDB2/PTGER4/SPIRE2/SWAP70/INPP5K/PFN1/NEDD9/CLASP2/PHACTR1/FHOD1/ARRB1/RAPGEF3/PAWR/BAIAP2L2/F11R/WNT11/CD47/SHROOM1/TMEFF2/RHOA/CALD1/ACTG1/ELN/PFN2/TJP1/KCTD13/SYNPO/MARCKS/CCN2/MYO1B/CUL3/NF2/ADD1/PLS1/EVL/DMTN/EPHA1/FSCN1/RFLNB/FMN2/TNFAIP1/TGFBR1/CDC42/PPM1F/WNT4/FAM107A/ACTN1/PPM1E/LIMA1/BBS4/DLC1/WAS/PAK1/RDX/LIMD2/CLASP1/ZYX/RHPN1/RHOC/PIK3R1/ASAP3/TSC1/ARHGEF10L/SRF/BAG4/AIF1L/RFLNA/CX3CL1/APOA1/FSCN3/USH1C/FRMD7/SERPINF2"	"1/230"	"157/22034"	0.806408454718544	"ARHGAP28"	1	158	0.610191082802548	0.906630195139742
"GOBP ACTIN FILAMENT DEPOLYMERIZATION"	"go_bp"	"GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION"	"GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION"	"F2RL1/CRACD/WASHC2C/SPTBN2/TWF1/CARMIL2/SPTBN1/MICAL2/CARMIL1/SCIN/MTPN/TMOD2/AVIL/CAPZA2/GSN/SPTBN4/SPTB/ADD2/PDXP/ACTN2/MICAL1/PLEK/PPP1R9B/TMOD4/CAPG/PIK3CA/TMOD1/TWF2/ADD3/SH3BP1/EPS8/VILL/CFL1/SWAP70/SEMA5A/CAPZB/CAPZA1/TRIOBP/FLII/PLEKHH2/CFL2/SPTAN1/ADD1/DMTN/WDR1/DSTN/SVIL/LIMA1/MICAL3/RDX/SPTBN5/LMOD1/TMOD3"	"1/230"	"52/22139"	0.422761142338158	"CARMIL2"	1	53	1.85108695652174	0.727856092144353
"GOBP ACTIN FILAMENT ORGANIZATION"	"go_bp"	"GOBP_ACTIN_FILAMENT_ORGANIZATION"	"GOBP_ACTIN_FILAMENT_ORGANIZATION"	"KANK4/ARHGAP28/PAK3/F2RL1/SMAD3/RHPN2/RGCC/CRACD/WASHC1/RHOU/WASHC2C/DAAM2/SHTN1/DPYSL3/WASHC2A/SPTBN2/HIP1R/RHOJ/WASF3/TWF1/FAT1/XIRP2/LCP1/TTN/RHOQ/ESPNL/ARHGEF10/CARMIL2/ABL1/GRB2/ZBED3/RND3/SPIRE1/SHANK1/TAGLN3/CXCL12/EZR/BCL2/FCHSD1/INPPL1/SYNPO2L/ABI1/CGNL1/ITGB5/RHOB/SPTBN1/PPARGC1B/NRP1/ARPIN/PSTPIP2/MICAL2/PROX1/FCHSD2/CORO2B/CARMIL1/STMN1/IQGAP2/NEB/RAC2/GMFB/DIAPH2/SLC9A1/SNX9/CCL26/ALMS1/MYO1D/SCIN/FHDC1/JMY/BIN1/SRC/MSRB2/MYADM/CNN1/CDC42EP4/IQGAP3/ABI2/PICK1/ARHGEF5/SORBS3/BAIAP2/GPR65/RGS4/WHAMM/CORO1B/NEBL/S100A10/TPM1/MTPN/ITGB1/ARFIP2/CCDC88A/TMOD2/TACSTD2/CTNNA2/ESPN/FLNA/CNN2/WIPF1/MYO1C/AVIL/MTSS1/CAPZA2/MYO19/CYFIP2/MYO7A/ALDOA/HSP90B1/GSN/TMSB4X/SPTBN4/CORO1A/RHOBTB1/SPTB/BAIAP2L1/ARHGEF2/AP1AR/SFRP1/PLEKHG2/SPATC1L/MAD2L2/TRPV4/MTOR/ADD2/MYO6/PTK2B/PLS3/PDXP/TENM1/ACTN2/LPAR1/KANK3/MIR138-1/CTTN/DNAI3/WASL/RNH1/HIP1/CORO7/SDC4/ARPC3/C9orf72/MEGF9/BRAF/MICAL1/WASHC3/ARHGAP6/KIRREL1/BRK1/RHOT2/RHOD/ESAM/TTC17/WASHC5/PLEK/ITGB1BP1/SHANK3/SSH3/SYNPO2/PXN/RICTOR/RAC1/MYO5A/NAA80/TAGLN2/PDLIM1/DBN1/SLIT2/SORBS1/MKKS/DIAPH3/PPP1R9B/SAMD14/ARPC5L/PDCD10/ARHGEF18/ARHGAP18/FERMT2/PRKCI/TMOD4/MYOC/CAPG/PIK3CA/PPFIA1/WASF2/PAK2/TMOD1/LIMCH1/TGFB3/CAP1/TTC8/TWF2/S1PR1/MARCKSL1/HAX1/NCKAP1/ARAP1/PREX1/PRKN/FMN1/MAGEL2/ADD3/ROCK1/MET/FSCN2/SH3BP1/EPS8/TESK1/TACR1/ARPC4/TMSB15A/SHROOM4/SHROOM2/ROCK2/ARF6/ARFIP1/PFN4/ARPC1A/FAM171A1/ANG/ELMO1/ZEB2/LIMK1/VILL/ARPC5/CFL1/ARF1/RND1/PHLDB2/PTGER4/SSH2/SPIRE2/MYO1E/SWAP70/MICALL2/SHROOM3/GHRL/INPP5K/PFN1/MSRB1/MLST8/NEDD9/CLASP2/PHACTR1/XIRP1/FHOD1/PRKCD/GDPD2/ARRB1/CORO6/SSH1/RAPGEF3/MYO5C/CDC42EP3/ABITRAM/VASP/MYO1H/ARPC1B/SEMA5A/GMFG/PAWR/CORO1C/CAPZB/BAIAP2L2/F11R/WNT11/GAS2L3/CD47/KANK2/TRIM27/SHROOM1/RHOT1/TMEFF2/ACTC1/PPP1R9A/CAPZA1/RHOA/TRIOBP/PYCARD/FLII/KANK1/SH3D21/RND2/SH3KBP1/CCR7/ARFGEF1/PLEKHH2/ELMO2/DLG1/CD2AP/CALD1/ACTG1/ELN/CNN3/TMSB10/GAS7/PFN2/BCAR1/TJP1/KCTD13/CFL2/MYO15A/SYNPO/TCAP/MARCKS/DIAPH1/ACTR2/CCN2/MYO1B/CUL3/SPTAN1/NF2/RUFY3/TMSB15C/NCK2/COTL1/ADD1/ARHGAP12/RAC3/PLS1/EVL/DMTN/ELMO3/EPHA1/FSCN1/RFLNB/JAK2/EMP2/FMN2/TNFAIP1/CDC42EP1/ACTR3/PLEC/MYO7B/GBA2/ARPC2/CYFIP1/TGFBR1/CDC42/PPM1F/CAP2/NOSTRIN/RHOG/WNT4/WDR1/FHOD3/FAM107A/ACTN1/DSTN/CYRIB/SVIL/ARHGAP17/PPM1E/PRKCE/LIMA1/ENAH/BBS4/FER/BIN3/DLC1/TPM3/WAS/MICAL3/NCK1/GAS2L1/PAK1/TMSB15B/RDX/LATS1/C15orf62/LIMD2/IQGAP1/CLASP1/ZYX/TPM2/SPTBN5/CDC42EP5/RHPN1/RHOBTB2/TPM4/HCLS1/WASF1/RHOC/PIK3R1/ASAP3/TSC1/MYO1F/ACTL8/WASHC4/ARHGEF10L/TLE6/TMSB4Y/SRF/RASA1/LMOD1/INF2/BAG4/TMOD3/RHOF/ARHGAP35/KPTN/GAS2/AIF1L/RHOV/CARMIL3/RFLNA/ACTA1/CX3CL1/TF/NCKAP1L/APOA1/PACSIN1/PLA2G1B/CATIP/FSCN3/USH1C/ARHGAP25/CSF3/CAV3/CYRIA/WIPF3/MYO1A/MYO5B/FRMD7/ERMN/SERPINF2"	"4/227"	"422/21769"	0.642182117999367	"ARHGAP28/NCKAP1L/CARMIL2/WASHC1"	4	426	0.908992212455895	0.824458584634135
"GOBP ACTIN MEDIATED CELL CONTRACTION"	"go_bp"	"GOBP_ACTIN_MEDIATED_CELL_CONTRACTION"	"GOBP_ACTIN_MEDIATED_CELL_CONTRACTION"	"KCND3/PDPN/DSP/KCNN2/DSG2/STC1/KCNJ3/SHTN1/ADORA1/TRPM4/FRMD6/ACTA2/SGCD/MYH3/PDE4B/SCN1B/KCNJ2/KCNH2/SLC9A1/CTNNA3/BIN1/SCN3B/TPM1/SCN4B/FLNA/HCN4/GSN/CACNB2/RANGRF/RNF207/EPB41L5/PDE4D/ABCC9/CACNA1D/SCN5A/ADCY10/FGF13/PIK3CA/CACNA1C/MYLK2/LIMCH1/KCNJ8/KCNE4/MYL11/ROCK1/ANK2/CACNA1G/NUP155/ZEB2/NOS1AP/EPDR1/SCN1A/PARVA/GJC1/GPD1L/SUMO1/PLN/GJA1/CCDC88C/CACNA2D1/ACTC1/MYL6/DLG1/TNNC1/EMP2/AKAP9/CAMK2D/MYL6B/JUP/KCNE3/ATP2A1/SNTA1/KCNE5/CAV1/NEDD4L/ATP2A2/SRI/ATP1A1/ATP1A2/KCNQ1/FGF12/MYH4/GATA4/PKP2/GJA5/KCNE1/CAV3/MYH2/RYR2"	"1/230"	"88/22103"	0.602869646521718	"KCNN2"	1	89	1.09204545454545	0.807783387676788
"GOBP ACTIN NUCLEATION"	"go_bp"	"GOBP_ACTIN_NUCLEATION"	"GOBP_ACTIN_NUCLEATION"	"WASHC1/WASHC2C/WASHC2A/HIP1R/WASF3/CARMIL2/SPIRE1/ARPIN/FCHSD2/CARMIL1/IQGAP2/GMFB/SCIN/JMY/ABI2/PICK1/WHAMM/CORO1B/ARFIP2/CTNNA2/GSN/CORO1A/AP1AR/DNAI3/RNH1/ARPC3/WASHC3/BRK1/WASHC5/ARPC5L/WASF2/NCKAP1/FMN1/MAGEL2/ARPC4/ARFIP1/ARPC1A/ARPC5/ARF1/SPIRE2/ARPC1B/GMFG/TRIM27/ACTR2/ACTR3/ARPC2/CYFIP1/WASF1/WASHC4/LMOD1/CARMIL3/WIPF3"	"2/229"	"50/22141"	0.100290994216797	"CARMIL2/WASHC1"	2	52	3.86742358078603	0.67940585961501
"GOBP ACTIN POLYMERIZATION OR DEPOLYMERIZATION"	"go_bp"	"GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION"	"GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION"	"KANK4/ARHGAP28/PAK3/F2RL1/CRACD/WASHC2C/DAAM2/SPTBN2/HIP1R/WASF3/TWF1/CARMIL2/ABL1/GRB2/SPIRE1/CXCL12/FCHSD1/ABI1/SPTBN1/PSTPIP2/MICAL2/FCHSD2/CARMIL1/DIAPH2/SNX9/CCL26/SCIN/FHDC1/BIN1/MSRB2/MYADM/CDC42EP4/ABI2/BAIAP2/MTPN/TMOD2/WIPF1/AVIL/CAPZA2/CYFIP2/GSN/TMSB4X/SPTBN4/CORO1A/SPTB/BAIAP2L1/PLEKHG2/SPATC1L/MTOR/ADD2/PTK2B/PDXP/TENM1/ACTN2/KANK3/CTTN/WASL/CORO7/ARPC3/MEGF9/MICAL1/WASHC3/ARHGAP6/KIRREL1/BRK1/ESAM/TTC17/WASHC5/PLEK/SSH3/RICTOR/RAC1/NAA80/SLIT2/MKKS/DIAPH3/PPP1R9B/ARPC5L/ARHGAP18/TMOD4/CAPG/PIK3CA/TMOD1/TWF2/HAX1/NCKAP1/PREX1/FMN1/ADD3/SH3BP1/EPS8/ARPC4/TMSB15A/ARF6/PFN4/ANG/VILL/ARPC5/CFL1/SSH2/SPIRE2/SWAP70/MICALL2/GHRL/PFN1/MSRB1/MLST8/PRKCD/SSH1/CDC42EP3/ABITRAM/VASP/SEMA5A/CAPZB/BAIAP2L2/KANK2/CAPZA1/TRIOBP/PYCARD/FLII/KANK1/CCR7/ARFGEF1/PLEKHH2/DLG1/ELN/TMSB10/GAS7/PFN2/CFL2/DIAPH1/SPTAN1/TMSB15C/NCK2/COTL1/ADD1/EVL/DMTN/JAK2/CDC42EP1/GBA2/ARPC2/CYFIP1/WDR1/FHOD3/FAM107A/DSTN/CYRIB/SVIL/PRKCE/LIMA1/ENAH/BBS4/FER/WAS/MICAL3/NCK1/TMSB15B/RDX/LATS1/C15orf62/SPTBN5/CDC42EP5/HCLS1/WASF1/TMSB4Y/RASA1/LMOD1/INF2/BAG4/TMOD3/ARHGAP35/NCKAP1L/CATIP/CSF3/CYRIA"	"3/228"	"173/22018"	0.272447546665735	"ARHGAP28/NCKAP1L/CARMIL2"	3	176	1.67462731974445	0.688241588690857
"GOBP ACTION POTENTIAL"	"go_bp"	"GOBP_ACTION_POTENTIAL"	"GOBP_ACTION_POTENTIAL"	"KCND3/GRIA1/DSP/KCNN2/PTPN3/DSG2/KCNJ3/AKAP6/TRPM4/CD36/SCN1B/SLC8A1/KCNJ2/GNA14/SLC4A3/KCNH2/GBA1/CALM3/TBX18/HCN2/SLC9A1/KCNIP2/CTNNA3/KCNQ3/SCN8A/BIN1/DMD/SCN3B/GNAQ/SCN4B/FLNA/HCN4/SLMAP/KCNAB2/YWHAH/CACNB2/KCNMB3/MTOR/GPR35/RANGRF/RNF207/P2RX4/NPR2/ANK3/ABCC9/CACNA1D/SLC8A2/SCN5A/FGF13/CACNA1C/KCNMB4/NTRK2/KCNJ8/KCNE4/ANK2/TACR1/GPER1/NDP/CACNA1G/NUP155/NOS1AP/FKBP1B/SCN1A/GJC1/SCN11A/GPD1L/SUMO1/GJA1/CACNA2D1/DLG1/CNTNAP1/NRCAM/GNA11/GRIK2/CLN3/YWHAE/TMEM161B/USP53/CACNB3/MYH14/CALM1/SOD1/ATP1B1/AKAP9/CAMK2D/JUP/KCNE3/SNTA1/CXADR/KCNE5/FMR1/CAV1/NEDD4L/ATP2A2/MECP2/SRI/ATP1A1/CACNA1I/SCN4A/CNR1/ATP1A2/TNF/KCNQ1/CHRNB2/FGF12/HCN1/SCN10A/GNA15/GPR88/KCNA2/CNR2/PKP2/KCNH6/CACNB4/GJA5/KCNE1/CAV3/KCNB1/RYR2"	"1/230"	"118/22073"	0.709343625316856	"KCNN2"	1	119	0.813301400147384	0.858563630023882
