"240313_ICP4"	"240313_n208"	"240501_ICP4"	"240501_RR_LL"	"240710_RR_LL"	"240814_ICP4"	"240814_RR_LL"	"240904_ICP4"	"240904_n208"	"240905_ICP4"	"240905_n208"	"240926_ICP4"
"ENSG00000005007"	3289	13527	3777	2948	3254	2796	3103	10979	11433	11564	12680	11328
"ENSG00000005020"	438	1670	603	457	576	382	529	2185	1927	2214	2222	1848
"ENSG00000005022"	4108	18666	2841	2672	2254	2540	3844	16731	9294	15586	10922	6655
"ENSG00000005059"	376	1680	230	205	168	174	200	1024	494	1064	682	320
"ENSG00000005073"	571	2630	498	448	309	1009	813	4361	3174	5192	4117	5195
"ENSG00000005075"	915	4355	970	702	684	842	1036	5373	3035	4346	2945	3314
"ENSG00000005100"	1208	5309	1128	933	728	731	811	3161	2288	4052	3163	2049
"ENSG00000005102"	5	15	0	4	0	6	0	10	1	20	17	14
"ENSG00000005108"	0	12	5	5	6	0	0	11	16	24	18	21
"ENSG00000005156"	868	3635	764	606	430	499	576	2467	2044	2482	2046	1680
"ENSG00000005175"	897	4246	1013	781	771	655	1018	3877	3228	4788	3896	3192
"ENSG00000005187"	3	34	0	0	0	0	21	11	17	25	9	16
"ENSG00000005189"	253	1139	209	144	70	126	283	990	603	800	547	401
"ENSG00000005194"	1048	4796	1253	1097	1137	1058	1287	4582	3651	4193	3780	3614
"ENSG00000005206"	557	2062	638	554	504	498	505	2322	1503	1489	1582	1661
"ENSG00000005238"	1614	5478	3408	3184	3344	3049	3457	6997	7927	4852	8021	7477
"ENSG00000005243"	1260	5499	1728	2358	1823	1669	1828	5876	5410	4385	5173	6103
"ENSG00000005249"	240	1174	283	212	158	359	295	1367	910	2020	1155	1114
"ENSG00000005302"	801	3103	728	634	711	579	811	2827	2305	3118	2471	2211
"ENSG00000005339"	2012	7455	1901	1629	1752	1617	1593	5008	6912	7690	8320	5363
"ENSG00000005379"	40	160	44	10	4	11	7	157	73	130	77	10
"ENSG00000005381"	0	1	0	0	1	0	0	21	14	2	13	10
"ENSG00000005421"	0	0	0	0	0	0	0	0	4	0	0	6
"ENSG00000005436"	289	1017	227	172	117	130	197	788	617	757	761	713
"ENSG00000005448"	370	1357	382	448	324	285	423	1968	742	1510	875	887
"ENSG00000005469"	300	1438	783	497	594	349	380	2012	2142	2614	2320	2713
"ENSG00000005471"	24	186	62	26	60	53	21	145	173	174	160	293
"ENSG00000005483"	1043	4826	1384	982	1162	897	807	3584	5286	5479	6168	5425
"ENSG00000005486"	664	2065	1304	940	1107	872	882	3202	3091	2160	2814	3734
"ENSG00000005513"	7	52	14	14	29	3	5	23	47	21	11	48
"ENSG00000005700"	2399	10646	2573	2341	2466	1582	2060	5528	6459	7536	7683	5608
"ENSG00000005801"	351	1486	258	250	272	323	294	1659	1658	1422	1736	1702
"ENSG00000005810"	907	3471	1844	1220	1556	1030	987	3135	4216	6530	4700	5288
"ENSG00000005812"	616	2723	901	741	734	590	545	1656	2181	2832	2783	2411
"ENSG00000005844"	0	5	0	0	4	3	0	1	6	4	4	0
"ENSG00000005882"	198	685	529	457	471	517	491	1549	1270	1141	1404	1882
"ENSG00000005884"	4122	14849	12109	8916	11932	5958	6997	16497	15137	16917	17185	22523
"ENSG00000005889"	705	2589	689	662	661	479	567	1854	2182	2491	2829	2042
"ENSG00000005893"	4979	22271	6369	5694	7266	4975	6069	20185	20524	20132	19846	20303
"ENSG00000005961"	2	12	3	0	0	3	0	13	13	4	18	6
"ENSG00000005981"	0	0	0	0	0	0	0	0	1	0	3	11
"ENSG00000006007"	1454	5526	2375	2001	2367	1815	2211	6625	6326	6629	6931	8142
"ENSG00000006015"	388	1682	657	537	473	449	436	2111	1438	1340	1403	1436
"ENSG00000006016"	1252	3695	1145	1587	1638	336	448	1687	2651	841	1173	1123
"ENSG00000006025"	128	574	172	107	53	101	141	790	487	555	421	247
"ENSG00000006042"	1572	6881	1691	1487	1839	1721	2004	7847	7258	7681	7765	7608
"ENSG00000006047"	0	2	0	0	0	0	0	3	5	0	0	0
"ENSG00000006059"	0	0	0	0	0	0	0	1	0	0	0	0
"ENSG00000006062"	130	580	173	129	158	136	124	741	1280	612	1139	2290
"ENSG00000006071"	0	0	0	0	0	0	0	1	2	0	1	0
"ENSG00000006116"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006118"	661	2629	643	499	720	458	456	3746	4826	2097	4162	1832
"ENSG00000006125"	6231	23062	8597	7254	7545	6276	7520	23391	19268	27700	22613	23310
"ENSG00000006128"	0	14	2	0	18	0	6	12	37	0	12	52
"ENSG00000006194"	316	1114	305	297	273	269	246	960	859	798	878	951
"ENSG00000006210"	0	0	0	0	0	0	0	0	17	0	3	21
"ENSG00000006282"	1154	4732	2103	1782	1569	1670	1903	7017	5471	4091	5395	5720
"ENSG00000006283"	9	72	49	18	27	2	10	46	196	42	94	104
"ENSG00000006327"	8273	35784	8779	7175	8061	6899	7034	36503	33462	25713	35827	26428
"ENSG00000006377"	0	1	0	0	0	0	0	1	0	0	0	6
"ENSG00000006432"	116	487	28	8	30	116	167	409	430	618	683	732
"ENSG00000006451"	3686	14489	8639	6492	8089	5534	7267	14908	11717	12645	13131	11270
"ENSG00000006453"	157	665	268	216	240	141	177	519	459	593	668	656
"ENSG00000006459"	323	996	270	161	293	175	125	613	1015	697	851	1752
"ENSG00000006468"	112	722	671	284	298	234	326	1482	1172	1474	1086	777
"ENSG00000006530"	707	2943	687	534	499	492	525	2554	2062	2428	2074	1679
"ENSG00000006534"	764	2478	1290	1087	1010	754	814	3625	2666	2122	2369	3318
"ENSG00000006555"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006576"	2247	9945	1857	1811	2533	1938	2166	6622	7090	8612	8250	6283
"ENSG00000006606"	5	53	11	18	14	34	26	167	62	67	85	48
"ENSG00000006607"	1395	5208	1294	1087	948	1299	1278	4075	3268	5020	3676	5791
"ENSG00000006611"	0	1	0	0	0	0	0	0	3	0	0	0
"ENSG00000006625"	395	1834	260	295	231	255	365	1317	976	1025	795	737
"ENSG00000006634"	943	4458	475	268	204	336	503	2395	1273	2873	1361	961
"ENSG00000006638"	49	162	74	53	72	68	85	271	243	202	276	166
"ENSG00000006652"	84	526	110	97	126	74	109	450	439	499	560	373
"ENSG00000006659"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000006695"	428	1533	355	298	365	298	516	1442	1126	1409	1270	1053
"ENSG00000006704"	441	1550	624	470	469	366	448	2173	1547	1458	1176	1160
"ENSG00000006712"	1471	5226	1914	1639	1140	1518	1762	6379	4856	6132	4780	5499
"ENSG00000006715"	1106	4829	1974	1572	1960	1505	1569	5295	5687	5039	5290	5940
"ENSG00000006740"	6	38	17	44	15	0	5	47	55	45	52	85
"ENSG00000006744"	2239	7908	2523	2403	1700	2340	2772	9006	6134	7966	6611	7173
"ENSG00000006747"	182	544	257	321	627	207	268	1785	738	1442	690	2663
"ENSG00000006756"	221	639	518	343	451	360	435	1008	1075	995	1245	1425
"ENSG00000006757"	137	408	103	128	50	71	124	597	431	510	413	273
"ENSG00000006788"	0	0	0	0	0	0	0	7	5	2	0	2
"ENSG00000006831"	2183	8414	2717	2020	2547	2068	2642	8103	7079	8809	7840	6609
"ENSG00000006837"	12	41	2	2	11	17	10	24	38	41	40	48
"ENSG00000007001"	0	2	0	0	0	0	0	1	0	3	3	5
"ENSG00000007038"	0	2	1	2	6	3	0	0	0	1	1	3
"ENSG00000007047"	753	3089	1520	907	1359	1155	1292	3381	3229	2664	3709	3938
"ENSG00000007062"	0	0	0	0	0	0	0	0	3	0	0	1
"ENSG00000007080"	1079	3942	1291	1019	687	1078	1346	4383	2769	3248	3173	2752
"ENSG00000007129"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000007168"	4430	17290	5048	4425	4558	3720	4546	12524	13260	16718	16290	13548
"ENSG00000007171"	0	0	0	0	0	0	0	0	0	2	2	5
"ENSG00000007174"	0	1	0	0	0	0	0	2	0	2	5	14
"ENSG00000007202"	4088	13314	5383	4634	4981	4319	5187	14793	13269	13248	13981	14888
"ENSG00000007216"	0	0	0	0	0	0	0	0	0	0	0	1
"ENSG00000007237"	452	1388	824	574	603	335	376	616	1317	714	1349	878
"ENSG00000007255"	17	121	47	58	41	27	25	124	185	152	101	186
"ENSG00000007264"	0	13	12	3	3	0	0	12	19	1	15	3
"ENSG00000007306"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000007312"	1	17	0	0	0	0	14	22	28	18	23	24
"ENSG00000007314"	0	0	0	0	0	0	0	10	1	0	13	4
"ENSG00000007341"	272	1157	277	190	215	264	303	1208	1387	1119	1354	1325
"ENSG00000007350"	0	3	0	0	0	0	0	0	0	0	0	3
"ENSG00000007372"	0	1	0	0	1	0	0	6	0	0	4	12
"ENSG00000007376"	772	2675	926	720	562	737	790	2759	2027	2318	2310	1924
"ENSG00000007384"	925	3772	1708	1485	1612	1099	1155	4871	4495	3618	5101	4995
"ENSG00000007392"	849	3072	529	632	370	459	533	2853	1896	2318	1942	1842
"ENSG00000007402"	15	17	44	11	2	1	0	26	10	35	34	19
"ENSG00000007516"	2	32	8	4	10	3	7	16	23	26	22	21
"ENSG00000007520"	816	3245	893	845	703	866	1030	4176	2240	2308	2494	2534
"ENSG00000007541"	645	2139	680	541	542	476	601	2329	1842	1436	1765	1581
"ENSG00000007545"	299	1238	247	259	243	204	269	1021	1022	1017	977	1023
"ENSG00000007866"	1668	5609	1769	1347	1655	1491	1556	5763	6021	5215	7030	5502
"ENSG00000007908"	0	0	0	0	0	0	0	0	8	1	0	0
"ENSG00000007923"	1612	5875	1688	1446	1258	1338	1682	5434	3833	4772	4348	3496
"ENSG00000007933"	0	9	0	0	0	0	10	9	4	2	12	3
"ENSG00000007944"	42	214	34	13	30	11	0	268	358	622	560	725
"ENSG00000007952"	0	29	11	10	5	0	9	21	22	18	13	5
"ENSG00000007968"	153	722	0	0	9	17	20	372	255	397	201	39
"ENSG00000008018"	3141	13148	3442	2900	2804	2827	3738	17222	9495	14471	11048	9898
"ENSG00000008056"	39	121	102	24	31	43	44	103	67	111	55	51
"ENSG00000008083"	601	2344	721	409	518	399	490	1551	1456	1390	1405	1525
"ENSG00000008086"	265	857	270	184	314	164	116	427	722	841	906	639
"ENSG00000008118"	12	114	35	6	4	38	40	352	210	520	545	306
"ENSG00000008128"	24	95	20	6	12	24	1	119	77	73	84	77
"ENSG00000008130"	1437	5293	1472	1355	1436	1300	1753	5935	3912	4768	4213	4856
"ENSG00000008196"	0	0	0	0	0	0	0	0	1	0	4	7
"ENSG00000008197"	0	0	0	0	0	0	0	0	1	0	2	0
"ENSG00000008226"	3	7	5	7	8	4	1	31	3	17	11	18
"ENSG00000008256"	2105	8069	2639	2251	2884	2128	2746	7004	6617	7753	7950	6549
"ENSG00000008277"	3	26	22	2	0	7	1	27	36	54	18	87
"ENSG00000008282"	2248	10831	2427	1938	2315	1912	2513	9493	6135	9255	7171	6436
"ENSG00000008283"	637	2327	970	1082	1025	772	911	2553	2654	2331	2752	2378
"ENSG00000008294"	4055	14982	3986	3842	5118	3285	3519	10341	11189	11745	11706	12638
"ENSG00000008300"	69	303	148	107	174	97	64	341	404	279	386	586
"ENSG00000008311"	217	881	210	206	259	282	296	923	1223	1449	1664	1437
"ENSG00000008323"	12	24	13	10	10	7	23	14	23	35	17	15
"ENSG00000008324"	288	1150	245	245	252	237	213	1156	670	1070	701	651
"ENSG00000008382"	69	220	97	67	64	96	57	337	179	232	231	229
"ENSG00000008394"	2767	13007	3723	3454	3944	3333	4066	17128	13427	12834	14496	15890
"ENSG00000008405"	763	2913	580	492	423	435	415	2383	2538	2728	2615	2011
"ENSG00000008438"	4	6	0	0	0	3	0	1	4	2	2	1
"ENSG00000008441"	3890	12015	4984	4150	3275	3146	4008	8741	7481	9386	9020	7352
"ENSG00000008513"	2144	8095	2302	1210	2240	1387	1458	5431	7071	6099	8514	7306
"ENSG00000008516"	4	19	0	0	0	6	0	16	10	4	3	9
"ENSG00000008517"	118	362	31	67	152	35	65	422	708	265	466	351
"ENSG00000008710"	2838	9307	3460	2638	3362	2428	1944	7757	10256	7799	8361	10271
"ENSG00000008735"	23	37	8	13	18	14	6	69	50	31	63	83
"ENSG00000008838"	1672	6057	1833	1293	1445	1380	1564	6551	4108	5398	4268	3946
"ENSG00000008853"	501	1912	705	502	609	339	441	1546	1263	1378	1378	1436
"ENSG00000008869"	690	2616	887	743	809	635	616	2298	2530	2547	2949	2449
"ENSG00000008952"	3320	14318	4131	3890	3915	3237	4221	11424	12660	13763	14078	13607
"ENSG00000008988"	10253	41765	10066	8910	8029	8045	9201	46816	30045	42972	30290	25817
"ENSG00000009307"	14463	56070	18432	14729	15114	12852	16922	45787	45489	56352	54740	47056
"ENSG00000009335"	4658	18306	4803	3915	3864	3923	4296	12449	11865	15247	14537	12117
"ENSG00000009413"	830	3630	1339	1040	955	775	648	3076	4478	5847	5397	5537
"ENSG00000009694"	0	1	0	0	5	0	0	0	15	0	14	18
"ENSG00000009709"	0	0	0	0	0	0	0	0	0	1	0	3
"ENSG00000009724"	27	73	17	13	13	14	10	81	46	70	43	40
"ENSG00000009765"	0	0	0	0	1	0	0	0	0	0	0	0
"ENSG00000009780"	242	819	306	281	249	203	315	941	640	543	652	358
"ENSG00000009790"	2	8	6	5	3	0	0	5	2	7	3	2
"ENSG00000009830"	1213	5471	1432	1189	1041	1322	1070	5230	5252	3951	4423	4991
"ENSG00000009844"	1887	8684	1734	1633	1483	1473	1956	6427	5667	6725	6624	4932
"ENSG00000009950"	0	0	0	0	0	0	0	3	1	1	3	10
"ENSG00000009954"	4930	18224	4772	3171	3044	2646	3902	12980	11469	18248	13056	9550
"ENSG00000010017"	1217	5233	1419	1300	1364	1100	1448	3906	4316	4696	4827	3856
"ENSG00000010030"	0	12	5	7	5	0	1	24	33	19	20	9
"ENSG00000010072"	393	1606	359	228	250	270	292	1039	1038	1291	1240	1210
"ENSG00000010165"	1748	7263	1733	1328	1405	1244	1629	5661	5468	5081	4824	4380
"ENSG00000010219"	207	935	417	202	229	255	367	939	627	938	658	635
"ENSG00000010244"	3220	13614	2929	2220	2288	2503	3091	11435	8870	11803	10434	7524
"ENSG00000010256"	3700	13439	5397	4210	4268	3836	4296	17832	11510	13818	13532	11378
"ENSG00000010270"	1062	4727	1062	875	877	887	1177	4369	3569	4454	3949	2896
"ENSG00000010278"	1550	6624	3437	3436	3927	1303	1629	8881	5422	6186	4890	5358
"ENSG00000010282"	0	0	0	0	0	0	0	0	0	0	0	1
"ENSG00000010292"	4079	15659	2446	1533	1006	1809	2841	13117	6678	15789	7616	3737
"ENSG00000010295"	864	3319	1385	1124	1214	1098	1276	5232	3517	3024	3352	3634
"ENSG00000010310"	5	31	2	48	66	13	10	35	30	35	30	85
"ENSG00000010318"	84	383	70	54	52	82	66	349	187	215	132	198
"ENSG00000010319"	0	0	0	1	0	0	0	0	13	1	3	10
"ENSG00000010322"	1488	5887	2032	1837	1664	1676	1748	7184	6343	5240	6092	7915
"ENSG00000010327"	0	6	7	0	0	0	0	3	0	5	9	1
"ENSG00000010361"	136	547	225	180	134	136	118	825	636	700	494	465
"ENSG00000010379"	0	1	5	0	2	0	0	8	18	8	8	27
"ENSG00000010404"	187	682	255	331	440	358	282	950	1100	795	893	1444
"ENSG00000010438"	319	1424	818	843	445	270	251	2048	1557	1554	1685	717
"ENSG00000010539"	205	1132	328	182	281	185	169	793	794	860	656	899
"ENSG00000010610"	0	14	25	22	3	13	2	19	25	19	34	41
"ENSG00000010626"	86	408	169	135	118	95	147	378	284	309	251	337
"ENSG00000010671"	0	0	0	0	4	0	0	4	2	3	6	6
"ENSG00000010704"	214	1116	368	424	320	403	430	1319	1338	1752	1586	1363
"ENSG00000010803"	880	3192	730	716	555	577	714	2696	2111	2483	2107	1624
"ENSG00000010810"	756	2645	1145	784	1158	705	873	2586	3515	3142	3551	4075
"ENSG00000010818"	2083	7805	2035	1323	2048	1542	1989	4442	7686	5884	9060	8623
"ENSG00000010932"	6	3	0	0	0	0	0	3	6	3	1	5
"ENSG00000011007"	2793	11092	2918	2568	2634	2495	3168	7820	6986	8072	7639	6926
"ENSG00000011009"	975	3159	1376	1171	1502	1048	1108	4410	3418	3778	3836	3441
"ENSG00000011021"	451	1846	552	417	727	501	518	2572	2275	1175	1618	1350
"ENSG00000011028"	16210	58588	22764	22224	23063	16476	18182	50895	65392	50686	62380	72114
"ENSG00000011052"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000011083"	0	2	0	0	0	0	0	1	2	0	0	0
"ENSG00000011105"	555	2140	1123	853	1246	949	962	3107	3296	3173	3851	4064
"ENSG00000011114"	1245	5272	1538	1259	1394	1223	1350	3679	3885	5151	4817	3952
"ENSG00000011132"	213	900	248	224	343	225	237	1068	1113	890	1012	1026
"ENSG00000011143"	118	646	237	162	178	84	156	574	362	447	368	289
"ENSG00000011198"	2622	9927	2081	2249	3054	2417	2949	7654	6904	5280	5740	7751
"ENSG00000011201"	17	49	85	59	30	89	55	63	68	79	66	224
"ENSG00000011243"	539	2096	861	648	719	718	753	3420	2702	2521	2526	2548
"ENSG00000011258"	164	813	153	104	173	179	135	792	919	742	808	1102
"ENSG00000011260"	1145	4839	735	688	788	795	983	4418	3016	4064	2706	2659
"ENSG00000011275"	1734	5331	2012	1683	1854	1418	1694	5156	4137	5651	4257	5565
"ENSG00000011295"	588	2243	648	391	610	428	521	2029	1632	1837	1644	2076
"ENSG00000011304"	8918	35648	7434	5320	6329	6323	7751	31112	21205	31378	27141	14946
"ENSG00000011332"	103	499	161	64	27	61	88	440	257	373	316	165
"ENSG00000011347"	15	54	85	61	245	10	3	322	117	167	80	66
"ENSG00000011376"	722	2975	837	687	588	523	561	2437	2089	2776	2429	1883
"ENSG00000011405"	1453	6288	1924	1745	2014	1512	1537	4553	6304	5787	7369	6470
"ENSG00000011422"	4382	14910	5449	3195	4615	2609	3128	10400	6225	7112	6792	5186
"ENSG00000011426"	8993	40935	3368	1829	809	3025	5226	23146	11442	30662	14672	5020
"ENSG00000011451"	2285	8267	2929	2366	2116	2306	2327	7702	6933	6304	7486	7429
"ENSG00000011454"	1006	4193	1751	1191	1266	1096	1038	3987	4514	4779	4899	4163
"ENSG00000011465"	28412	101914	11458	26957	34263	8263	10412	56611	111865	53450	71839	61050
"ENSG00000011478"	265	947	547	542	623	500	643	1612	1346	1019	1266	2142
"ENSG00000011485"	2540	9683	2168	1679	1620	1652	2109	9536	5858	7500	6047	4571
"ENSG00000011523"	370	1434	398	235	214	393	354	1440	1313	1544	1251	3202
"ENSG00000011566"	1010	4352	878	770	1056	773	909	3014	3741	3412	3957	3464
"ENSG00000011590"	1	5	8	0	5	0	9	22	23	9	25	14
"ENSG00000011600"	0	2	0	0	0	0	0	0	0	0	0	0
"ENSG00000011638"	350	1346	542	656	825	470	505	1463	1279	879	1162	1806
"ENSG00000011677"	0	0	0	0	0	0	0	0	0	0	0	5
"ENSG00000012048"	1254	5120	514	378	344	386	423	3073	2075	4051	1812	915
"ENSG00000012061"	1425	5523	1782	1607	1755	1227	1402	6346	4597	4529	5398	4386
"ENSG00000012124"	0	2	28	0	11	15	15	45	15	23	15	35
"ENSG00000012171"	294	1202	177	354	344	212	219	669	1564	542	993	736
"ENSG00000012174"	1332	5019	1434	1028	995	978	1089	3483	3355	4106	3553	3047
"ENSG00000012211"	185	531	224	165	174	130	161	703	509	541	465	400
"ENSG00000012223"	2	0	0	0	1	0	0	0	0	0	0	2
"ENSG00000012232"	2787	10402	3217	2468	3059	2597	2846	8462	9288	9598	9535	9643
"ENSG00000012504"	0	0	0	0	3	0	0	0	8	0	2	1
"ENSG00000012660"	4054	17259	3370	2593	2982	3127	4335	14102	10210	14511	11770	8122
"ENSG00000012779"	0	0	0	0	0	0	0	0	1	0	2	2
"ENSG00000012817"	690	2600	659	747	822	535	694	2554	2798	2449	2826	2450
"ENSG00000012822"	1193	5131	2985	3036	4216	2036	2281	6819	10276	6171	9075	11930
"ENSG00000012963"	1479	6297	832	796	788	747	1315	3797	3099	4499	3267	2003
"ENSG00000012983"	1674	8056	1832	1779	1655	1331	1864	5617	6411	7724	8050	5979
"ENSG00000013016"	3038	12556	4295	3078	2403	3875	4189	12993	13116	14160	15489	7791
"ENSG00000013275"	2678	8989	3145	2969	2910	2555	3584	12761	7330	9884	8447	8446
"ENSG00000013288"	2232	8170	2798	2856	3336	2950	3060	11190	12277	10122	11251	16545
"ENSG00000013293"	47	232	75	73	61	50	44	208	326	256	270	630
"ENSG00000013297"	936	2745	1155	1186	465	832	796	3539	2634	4771	3357	2979
"ENSG00000013306"	2132	7866	3023	2195	2435	2340	2666	10667	6691	6726	6639	7140
"ENSG00000013364"	4185	13414	11785	9644	8930	8160	9357	24013	17818	15679	23558	22600
"ENSG00000013374"	1317	5623	1210	988	889	1238	1492	5257	4602	6103	5193	4672
"ENSG00000013375"	3315	13951	2788	3544	3549	2508	2917	8718	9779	10951	11302	10084
"ENSG00000013392"	192	690	255	273	312	193	241	833	1001	893	1020	1334
"ENSG00000013441"	1049	4820	1017	411	1239	965	1059	4189	3400	2699	4486	4731
"ENSG00000013503"	457	2018	557	420	473	401	524	1653	1401	2334	1710	1463
"ENSG00000013523"	151	861	352	351	292	332	370	1081	1214	864	1322	1505
"ENSG00000013561"	1326	3697	2048	1890	2113	1306	1708	4012	2451	3476	2405	4901
"ENSG00000013563"	103	451	566	505	489	448	426	1176	951	857	1129	1311
"ENSG00000013573"	605	2686	286	143	171	218	248	2765	1579	1557	1156	851
"ENSG00000013583"	806	3202	1179	1030	1056	1184	1213	4780	3808	3657	4076	5361
"ENSG00000013588"	260	1096	223	193	171	538	679	2967	1532	3712	2835	3952
