"SRR19779315"	"SRR19779318"	"SRR19779319"
"ENSG00000007080"	264	167	1331
"ENSG00000007129"	0	7	0
"ENSG00000007168"	923	286	7905
"ENSG00000007171"	1	4	1
"ENSG00000007174"	2	18	3
"ENSG00000007202"	1524	415	7825
"ENSG00000007216"	0	8	0
"ENSG00000007237"	333	98	476
"ENSG00000007255"	50	22	82
"ENSG00000007264"	0	2	0
"ENSG00000007306"	0	5	0
"ENSG00000007312"	0	6	0
"ENSG00000007314"	0	36	5
"ENSG00000007341"	913	414	823
"ENSG00000007350"	2	12	1
"ENSG00000007372"	64	172	2
"ENSG00000007376"	194	31	1022
"ENSG00000007384"	587	167	4046
"ENSG00000007392"	1535	401	2327
"ENSG00000007402"	6	20	33
"ENSG00000007516"	142	116	120
"ENSG00000007520"	326	104	1049
"ENSG00000007541"	208	91	1137
"ENSG00000007545"	402	300	739
"ENSG00000007866"	878	385	3629
"ENSG00000007908"	0	43	0
"ENSG00000007923"	809	601	2412
"ENSG00000007933"	1	11	13
"ENSG00000007944"	1521	397	377
"ENSG00000007952"	27	8	15
"ENSG00000007968"	17	14	299
"ENSG00000008018"	1173	457	4209
"ENSG00000008056"	16	21	75
"ENSG00000008083"	3083	648	1135
"ENSG00000008086"	403	298	1154
"ENSG00000008118"	36	30	109
"ENSG00000008128"	88	78	97
"ENSG00000008130"	586	577	2320
"ENSG00000008196"	0	2	0
"ENSG00000008197"	0	2	0
"ENSG00000008226"	44	58	55
"ENSG00000008256"	5482	535	2856
"ENSG00000008277"	161	121	65
"ENSG00000008282"	716	162	2927
"ENSG00000008283"	179	87	531
"ENSG00000008294"	7045	1214	5698
"ENSG00000008300"	203	85	658
"ENSG00000008311"	2618	653	1891
"ENSG00000008323"	32	39	177
"ENSG00000008324"	279	63	238
"ENSG00000008382"	75	49	137
"ENSG00000008394"	1172	318	5864
"ENSG00000008405"	1537	464	784
"ENSG00000008438"	0	3	16
"ENSG00000008441"	789	621	7634
"ENSG00000008513"	882	640	7016
"ENSG00000008516"	53	6	28
"ENSG00000008517"	133	7	129
"ENSG00000008710"	902	305	7758
"ENSG00000008735"	52	8	33
"ENSG00000008838"	842	483	2457
"ENSG00000008853"	474	239	779
"ENSG00000008869"	1183	390	1767
"ENSG00000008952"	2214	544	5876
"ENSG00000008988"	13353	5907	13828
"ENSG00000009307"	11887	5587	26900
"ENSG00000009335"	2968	812	5964
"ENSG00000009413"	4018	1639	5696
"ENSG00000009694"	2	12	7
"ENSG00000009709"	1	1	0
"ENSG00000009724"	514	266	167
"ENSG00000009765"	4	8	0
"ENSG00000009780"	414	95	412
"ENSG00000009790"	8	27	8
"ENSG00000009830"	1082	535	1522
"ENSG00000009844"	2065	389	2274
"ENSG00000009950"	1	13	2
"ENSG00000009954"	4427	2023	8741
"ENSG00000010017"	1303	359	2097
"ENSG00000010030"	17	28	9
"ENSG00000010072"	785	200	674
"ENSG00000010165"	738	172	1318
"ENSG00000010219"	710	212	492
"ENSG00000010244"	7632	1960	7334
"ENSG00000010256"	4561	809	8005
"ENSG00000010270"	1070	167	1567
"ENSG00000010278"	614	64	4338
"ENSG00000010282"	0	4	0
"ENSG00000010292"	1508	795	4682
"ENSG00000010295"	778	396	1867
"ENSG00000010310"	60	40	71
"ENSG00000010318"	45	47	60
"ENSG00000010319"	1	39	5
"ENSG00000010322"	3807	869	5779
"ENSG00000010327"	21	96	19
"ENSG00000010361"	114	53	205
"ENSG00000010379"	307	95	3
"ENSG00000010404"	153	39	602
"ENSG00000010438"	13	35	32
"ENSG00000010539"	183	47	388
"ENSG00000010610"	203	68	2222
"ENSG00000010626"	58	45	179
"ENSG00000010671"	13	196	4
"ENSG00000010704"	157	119	498
"ENSG00000010803"	344	268	1643
"ENSG00000010810"	900	196	1020
"ENSG00000010818"	955	600	2553
"ENSG00000010932"	0	8	4
"ENSG00000011007"	3878	775	3465
"ENSG00000011009"	1065	239	1724
"ENSG00000011021"	617	490	1419
"ENSG00000011028"	3867	1223	29007
"ENSG00000011052"	0	0	0
"ENSG00000011083"	8	3	1
"ENSG00000011105"	646	137	2144
"ENSG00000011114"	2354	613	3009
"ENSG00000011132"	253	52	561
"ENSG00000011143"	163	56	382
"ENSG00000011198"	1490	657	1939
"ENSG00000011201"	10	1	74
"ENSG00000011243"	1638	788	1519
"ENSG00000011258"	709	755	730
"ENSG00000011260"	1913	422	1167
"ENSG00000011275"	2777	723	4715
"ENSG00000011295"	1519	230	1273
"ENSG00000011304"	1641	1669	9947
"ENSG00000011332"	144	34	314
"ENSG00000011347"	5	15	32
"ENSG00000011376"	1438	417	1832
"ENSG00000011405"	3352	1112	5108
"ENSG00000011422"	1885	186	4130
"ENSG00000011426"	6439	1114	7829
"ENSG00000011451"	379	274	3667
"ENSG00000011454"	2306	927	3566
"ENSG00000011465"	6857	958	43432
"ENSG00000011478"	149	43	451
"ENSG00000011485"	681	230	2763
"ENSG00000011523"	3166	334	1180
"ENSG00000011566"	2520	509	3878
"ENSG00000011590"	23	41	98
"ENSG00000011600"	1	4	0
"ENSG00000011638"	431	81	943
"ENSG00000011677"	0	2	0
"ENSG00000012048"	408	181	1635
"ENSG00000012061"	589	393	2256
"ENSG00000012124"	5	2	18
"ENSG00000012171"	211	88	1708
"ENSG00000012174"	343	62	1696
"ENSG00000012211"	71	33	351
"ENSG00000012223"	0	2	0
"ENSG00000012232"	427	228	3765
"ENSG00000012504"	4	81	0
"ENSG00000012660"	1778	372	3964
"ENSG00000012779"	170	26	1
"ENSG00000012817"	1590	287	2152
"ENSG00000012822"	1017	360	3241
"ENSG00000012963"	379	82	1445
"ENSG00000012983"	4069	797	4361
"ENSG00000013016"	423	87	4216
"ENSG00000013275"	1645	717	3502
"ENSG00000013288"	1083	392	5946
"ENSG00000013293"	104	89	496
"ENSG00000013297"	441	77	2572
"ENSG00000013306"	520	174	2531
"ENSG00000013364"	2297	868	11630
"ENSG00000013374"	792	143	1805
"ENSG00000013375"	2935	486	5446
"ENSG00000013392"	192	52	378
"ENSG00000013441"	5890	1149	2485
"ENSG00000013503"	1109	332	1117
"ENSG00000013523"	107	14	591
"ENSG00000013561"	441	113	2085
"ENSG00000013563"	121	126	364
"ENSG00000013573"	1316	203	1540
"ENSG00000013583"	188	68	1486
"ENSG00000013588"	744	74	2077
"ENSG00000013619"	95	80	545
"ENSG00000013725"	0	14	0
"ENSG00000013810"	845	380	2411
"ENSG00000014123"	805	277	2515
"ENSG00000014138"	131	51	365
"ENSG00000014164"	341	154	1171
"ENSG00000014216"	1397	448	7340
"ENSG00000014257"	42	6	145
"ENSG00000014641"	1624	255	3252
"ENSG00000014824"	1142	569	4226
"ENSG00000014914"	469	164	708
"ENSG00000014919"	578	84	1006
"ENSG00000015133"	64	185	39
"ENSG00000015153"	786	203	601
"ENSG00000015171"	3009	1060	4957
"ENSG00000015285"	2	18	5
"ENSG00000015413"	2	18	3
"ENSG00000015475"	661	178	1812
"ENSG00000015479"	343	85	802
"ENSG00000015520"	23	100	38
"ENSG00000015532"	865	245	3901
"ENSG00000015568"	12	46	116
"ENSG00000015592"	0	9	0
"ENSG00000015676"	1402	326	3400
"ENSG00000016082"	0	1	0
"ENSG00000016391"	7	65	12
"ENSG00000016402"	0	5	3
"ENSG00000016490"	2	12	0
"ENSG00000016602"	10	7	1
"ENSG00000016864"	857	306	2806
"ENSG00000017260"	2404	591	5069
"ENSG00000017427"	13	21	4
"ENSG00000017483"	202	81	994
"ENSG00000017797"	1661	590	3708
"ENSG00000018189"	1698	910	2907
"ENSG00000018236"	5	3	2
"ENSG00000018280"	68	28	8
"ENSG00000018408"	1296	861	5059
"ENSG00000018510"	6419	1056	3120
"ENSG00000018607"	0	1	0
"ENSG00000018610"	320	98	617
"ENSG00000018625"	23	103	52
"ENSG00000018699"	1424	253	1029
"ENSG00000018869"	209	16	100
"ENSG00000019102"	17	18	28
"ENSG00000019144"	3434	1504	11623
"ENSG00000019169"	0	2	0
"ENSG00000019186"	1	2	0
"ENSG00000019485"	96	49	369
"ENSG00000019505"	0	1	0
"ENSG00000019549"	647	124	3808
"ENSG00000019582"	9	20	57
"ENSG00000019991"	4240	493	16827
"ENSG00000019995"	519	333	1229
"ENSG00000020129"	446	68	2061
"ENSG00000020181"	1136	325	12688
"ENSG00000020219"	0	8	0
"ENSG00000020256"	286	54	886
"ENSG00000020426"	1333	214	1034
"ENSG00000020577"	3822	1660	5890
"ENSG00000020633"	4	26	17
"ENSG00000020922"	689	182	1345
"ENSG00000021300"	10	26	23
"ENSG00000021355"	248	54	715
"ENSG00000021461"	3	44	3
"ENSG00000021488"	2	33	5
"ENSG00000021574"	467	126	1144
"ENSG00000021645"	127	83	360
"ENSG00000021762"	618	389	2778
"ENSG00000021776"	6373	1237	3597
"ENSG00000021826"	345	272	608
"ENSG00000021852"	0	1	0
"ENSG00000022267"	741	246	4044
"ENSG00000022277"	2686	492	2975
"ENSG00000022355"	0	2	0
"ENSG00000022556"	1	7	0
"ENSG00000022567"	59	40	558
"ENSG00000022840"	802	460	4238
"ENSG00000022976"	80	114	442
"ENSG00000023041"	477	121	1492
"ENSG00000023171"	240	187	543
"ENSG00000023191"	1417	441	7150
"ENSG00000023228"	2771	585	5836
"ENSG00000023287"	3536	558	3921
"ENSG00000023318"	669	255	2979
"ENSG00000023330"	832	235	2734
"ENSG00000023445"	331	119	73
"ENSG00000023516"	1442	610	5664
"ENSG00000023572"	298	186	986
"ENSG00000023608"	1353	238	497
"ENSG00000023697"	647	192	1209
"ENSG00000023734"	2364	534	6353
"ENSG00000023839"	251	118	60
"ENSG00000023892"	43	20	96
"ENSG00000023902"	800	366	4141
"ENSG00000023909"	569	180	1949
"ENSG00000024048"	7958	1524	4199
"ENSG00000024422"	1906	1069	17723
"ENSG00000024526"	268	87	1143
"ENSG00000024862"	178	23	316
"ENSG00000025039"	14	9	7
"ENSG00000025156"	1123	138	673
"ENSG00000025293"	1296	515	2348
"ENSG00000025423"	7	12	55
"ENSG00000025434"	154	92	477
"ENSG00000025708"	114	36	181
"ENSG00000025770"	864	310	1831
"ENSG00000025772"	376	120	1642
"ENSG00000025796"	1040	440	4967
"ENSG00000025800"	6977	1656	6839
"ENSG00000026025"	20178	6335	62336
"ENSG00000026036"	112	23	231
"ENSG00000026103"	2493	713	1976
"ENSG00000026297"	71	32	389
"ENSG00000026508"	19148	4966	103977
"ENSG00000026559"	74	40	587
"ENSG00000026652"	1308	424	797
"ENSG00000026751"	0	1	0
"ENSG00000026950"	144	37	1074
"ENSG00000027001"	499	167	988
"ENSG00000027075"	116	92	22
"ENSG00000027644"	2	6	0
"ENSG00000027697"	1032	190	1081
"ENSG00000027847"	286	84	1431
"ENSG00000027869"	13	14	12
"ENSG00000028116"	507	255	941
"ENSG00000028137"	92	10	566
"ENSG00000028203"	2000	262	3043
"ENSG00000028277"	88	74	344
"ENSG00000028310"	1279	464	2120
"ENSG00000028528"	5728	972	3461
"ENSG00000028839"	203	181	479
"ENSG00000029153"	687	406	2221
"ENSG00000029363"	8084	1198	8115
"ENSG00000029364"	1397	543	4540
"ENSG00000029534"	55	19	169
"ENSG00000029559"	0	10	0
"ENSG00000029639"	344	64	672
"ENSG00000029725"	1028	513	1575
"ENSG00000029993"	347	75	1352
"ENSG00000030066"	2861	853	2954
"ENSG00000030110"	498	55	742
"ENSG00000030304"	124	119	290
"ENSG00000030419"	1496	151	1091
"ENSG00000030582"	2802	312	13537
"ENSG00000031003"	1666	769	2347
"ENSG00000031081"	855	420	2885
"ENSG00000031691"	169	35	264
"ENSG00000031698"	5477	1436	7991
"ENSG00000031823"	480	318	2799
"ENSG00000032219"	3693	614	1242
"ENSG00000032389"	548	120	734
"ENSG00000032444"	535	387	4288
"ENSG00000032742"	181	88	650
"ENSG00000033011"	450	113	1320
"ENSG00000033030"	3096	1138	1252
"ENSG00000033050"	399	113	750
"ENSG00000033100"	848	127	8969
"ENSG00000033122"	1277	679	81
"ENSG00000033170"	401	225	1978
"ENSG00000033178"	3757	526	4551
"ENSG00000033327"	681	488	1258
"ENSG00000033627"	2211	269	2118
"ENSG00000033800"	1887	570	1722
"ENSG00000033867"	3792	1766	11122
"ENSG00000034053"	1039	499	3086
"ENSG00000034152"	742	487	2853
"ENSG00000034239"	6	4	5
"ENSG00000034510"	10766	3417	57272
"ENSG00000034533"	266	33	325
"ENSG00000034677"	1174	268	1568
"ENSG00000034693"	309	87	519
"ENSG00000034713"	1104	159	1510
"ENSG00000034971"	51	8	1
"ENSG00000035115"	237	66	1250
"ENSG00000035141"	257	54	1085
"ENSG00000035403"	14517	3303	50298
"ENSG00000035499"	196	118	253
"ENSG00000035664"	37	64	77
"ENSG00000035681"	1439	602	2599
"ENSG00000035687"	1094	452	2228
"ENSG00000035720"	198	25	3
"ENSG00000035862"	3517	1041	32178
"ENSG00000035928"	2878	753	3071
"ENSG00000036054"	3013	643	3511
"ENSG00000036257"	2762	587	3592
"ENSG00000036448"	14	3	13
"ENSG00000036473"	5	8	0
"ENSG00000036530"	6	6	39
"ENSG00000036549"	1953	648	3380
"ENSG00000036565"	0	2	0
"ENSG00000036672"	15	34	35
"ENSG00000036828"	5	183	0
"ENSG00000037042"	75	38	538
"ENSG00000037241"	368	130	754
"ENSG00000037280"	3	45	25
"ENSG00000037474"	3515	947	2661
"ENSG00000037637"	1137	297	1607
"ENSG00000037749"	846	123	2225
"ENSG00000037757"	146	29	690
"ENSG00000037897"	76	40	372
"ENSG00000037965"	34	13	90
"ENSG00000038002"	226	69	1050
"ENSG00000038210"	327	103	1581
"ENSG00000038219"	8507	1434	5028
"ENSG00000038274"	1104	322	2332
"ENSG00000038295"	3	9	0
"ENSG00000038358"	2298	542	3095
"ENSG00000038382"	17633	7119	36427
"ENSG00000038427"	6442	1092	41246
"ENSG00000038532"	1409	729	2201
"ENSG00000038945"	99	80	53
"ENSG00000039068"	0	4	1
"ENSG00000039123"	3449	923	3717
"ENSG00000039139"	629	480	2263
"ENSG00000039319"	1221	453	3108
"ENSG00000039523"	363	133	2293
"ENSG00000039537"	3	9	33
"ENSG00000039560"	6771	2513	17983
"ENSG00000039600"	2	2	2
"ENSG00000039650"	546	328	1413
"ENSG00000039987"	18	170	1
"ENSG00000040199"	694	601	1273
"ENSG00000040275"	733	189	1303
"ENSG00000040341"	578	372	1282
"ENSG00000040487"	117	55	715
"ENSG00000040531"	200	77	1025
"ENSG00000040608"	11	4	34
"ENSG00000040633"	805	356	2413
"ENSG00000040731"	10	2	9
"ENSG00000040933"	892	350	1743
"ENSG00000041353"	221	54	277
"ENSG00000041357"	836	204	3741
"ENSG00000041515"	19	15	5
"ENSG00000041802"	2994	398	2367
"ENSG00000041880"	174	33	655
"ENSG00000041982"	18440	1651	127453
"ENSG00000041988"	399	111	553
"ENSG00000042062"	808	515	3775
"ENSG00000042088"	403	201	1081
"ENSG00000042286"	373	190	730
"ENSG00000042304"	35	20	0
"ENSG00000042317"	140	76	438
"ENSG00000042429"	1230	171	470
"ENSG00000042445"	463	134	1742
"ENSG00000042493"	311	123	1490
"ENSG00000042753"	798	158	3563
"ENSG00000042781"	678	203	75
"ENSG00000042813"	1	1	0
"ENSG00000042832"	56	233	50
"ENSG00000042980"	4	7	7
"ENSG00000043039"	0	1	0
"ENSG00000043093"	800	335	1983
"ENSG00000043143"	350	326	2198
"ENSG00000043355"	12	9	1
"ENSG00000043462"	0	2	0
"ENSG00000043514"	903	154	737
"ENSG00000043591"	0	21	0
"ENSG00000044012"	0	3	0
"ENSG00000044090"	666	319	2785
"ENSG00000044115"	6164	2078	19514
"ENSG00000044446"	313	154	738
"ENSG00000044459"	625	280	1237
"ENSG00000044524"	8	5	10
"ENSG00000044574"	3821	591	30718
"ENSG00000046604"	959	147	2667
"ENSG00000046647"	66	33	396
"ENSG00000046651"	1456	363	830
"ENSG00000046653"	141	28	89
"ENSG00000046774"	0	0	0
"ENSG00000046889"	2	5	1
"ENSG00000047056"	3789	1226	1679
"ENSG00000047188"	1084	247	2180
"ENSG00000047230"	227	76	1056
"ENSG00000047249"	5043	611	1976
"ENSG00000047315"	5928	1431	6276
"ENSG00000047346"	2147	198	896
"ENSG00000047365"	17	4	3
"ENSG00000047410"	10341	1694	9459
"ENSG00000047457"	42	62	32
"ENSG00000047578"	715	374	1585
"ENSG00000047579"	102	67	342
"ENSG00000047597"	2	22	1
"ENSG00000047617"	40	46	9
"ENSG00000047621"	2156	446	1445
"ENSG00000047634"	2316	203	684
"ENSG00000047644"	723	307	2066
"ENSG00000047648"	185	113	405
"ENSG00000047662"	95	85	47
"ENSG00000047849"	6348	4819	27449
"ENSG00000047932"	954	209	2516
"ENSG00000047936"	24	74	3
"ENSG00000048028"	795	232	1327
"ENSG00000048052"	987	364	447
"ENSG00000048140"	374	74	2307
"ENSG00000048162"	606	78	521
"ENSG00000048342"	1100	457	2197
"ENSG00000048392"	1387	337	2080
"ENSG00000048405"	1058	511	1611
"ENSG00000048462"	4	7	14
"ENSG00000048471"	715	945	2349
"ENSG00000048540"	182	110	174
"ENSG00000048544"	646	207	1629
"ENSG00000048545"	24	30	0
"ENSG00000048649"	3292	1176	3490
"ENSG00000048707"	3158	873	5972
"ENSG00000048740"	430	170	648
"ENSG00000048828"	1960	1077	9034
"ENSG00000048991"	228	302	1932
"ENSG00000049089"	284	141	123
"ENSG00000049130"	2292	327	4504
"ENSG00000049167"	1494	540	1009
"ENSG00000049192"	1363	713	1364
"ENSG00000049239"	401	103	4295
"ENSG00000049245"	1672	393	4862
"ENSG00000049246"	487	154	399
"ENSG00000049247"	13	8	0
"ENSG00000049249"	62	38	3
"ENSG00000049283"	28	3	46
"ENSG00000049323"	10773	3112	35489
"ENSG00000049449"	1276	432	5164
"ENSG00000049540"	2096	476	3216
"ENSG00000049541"	474	139	1120
"ENSG00000049618"	1761	985	5705
"ENSG00000049656"	1775	415	4001
"ENSG00000049759"	2673	435	1480
"ENSG00000049768"	4	2	8
"ENSG00000049769"	49	20	153
"ENSG00000049860"	1951	227	7017
"ENSG00000049883"	240	96	600
"ENSG00000050030"	114	208	0
"ENSG00000050130"	637	102	1945
"ENSG00000050165"	11444	1397	57371
"ENSG00000050327"	7	6	14
"ENSG00000050344"	1138	268	1198
"ENSG00000050393"	369	100	1027
"ENSG00000050405"	3253	397	6746
"ENSG00000050426"	481	115	1074
"ENSG00000050438"	242	87	593
"ENSG00000050555"	4	3	5
"ENSG00000050628"	30	364	0
"ENSG00000050730"	6	5	13
"ENSG00000050748"	292	172	1612
"ENSG00000050767"	10	60	1
"ENSG00000050820"	1498	289	7844
"ENSG00000051009"	281	77	840
"ENSG00000051108"	473	129	2986
"ENSG00000051128"	178	139	1318
"ENSG00000051180"	202	52	437
"ENSG00000051341"	642	222	1446
"ENSG00000051382"	523	196	1239
"ENSG00000051523"	351	83	1678
"ENSG00000051596"	409	52	506
"ENSG00000051620"	581	168	1914
"ENSG00000051825"	1009	346	1720
"ENSG00000052126"	1928	514	2872
"ENSG00000052344"	12	12	7
"ENSG00000052723"	578	67	1736
"ENSG00000052749"	2095	597	2163
"ENSG00000052795"	904	255	1848
"ENSG00000052802"	667	66	3235
"ENSG00000052841"	1749	1251	4668
"ENSG00000052850"	160	13	20
"ENSG00000053108"	12	37	12
"ENSG00000053254"	1608	917	3974
"ENSG00000053328"	208	52	8
"ENSG00000053371"	759	272	1710
"ENSG00000053372"	727	289	2033
"ENSG00000053438"	207	108	261
"ENSG00000053501"	122	68	518
"ENSG00000053524"	28	26	6
"ENSG00000053702"	21	15	68
"ENSG00000053747"	44	33	148
"ENSG00000053770"	1750	378	1495
"ENSG00000053900"	1320	282	1325
"ENSG00000053918"	15	15	0
"ENSG00000054116"	430	106	1838
"ENSG00000054118"	5404	893	7738
"ENSG00000054148"	495	111	689
"ENSG00000054179"	2	3	3
"ENSG00000054219"	14	115	3
"ENSG00000054267"	12225	1648	2787
"ENSG00000054277"	19	9	170
"ENSG00000054282"	691	507	1178
"ENSG00000054356"	450	139	2392
"ENSG00000054392"	92	32	278
"ENSG00000054523"	6169	1262	5984
"ENSG00000054598"	252	60	745
"ENSG00000054611"	562	257	1341
"ENSG00000054654"	690	218	1928
"ENSG00000054690"	14	64	34
"ENSG00000054793"	2579	701	6378
"ENSG00000054796"	0	10	0
"ENSG00000054803"	0	3	0
"ENSG00000054938"	11	4	3
"ENSG00000054965"	1724	391	3335
"ENSG00000054967"	276	55	242
"ENSG00000054983"	343	88	1209
"ENSG00000055044"	3598	692	1947
"ENSG00000055070"	1818	308	4435
"ENSG00000055118"	23	6	137
"ENSG00000055130"	3910	874	3575
"ENSG00000055147"	382	167	1285
"ENSG00000055163"	126	181	427
"ENSG00000055208"	2578	713	2939
"ENSG00000055211"	572	172	1505
"ENSG00000055332"	2102	615	5079
"ENSG00000055483"	2484	743	2392
"ENSG00000055609"	5817	1410	8611
"ENSG00000055732"	10	52	13
"ENSG00000055813"	36	12	30
"ENSG00000055917"	3236	758	4363
"ENSG00000055950"	347	68	1069
"ENSG00000055955"	0	11	7
"ENSG00000055957"	2	171	0
"ENSG00000056050"	186	54	606
"ENSG00000056097"	2096	659	7389
"ENSG00000056277"	349	251	715
"ENSG00000056291"	1	5	0
"ENSG00000056487"	4	3	3
"ENSG00000056558"	107	41	174
"ENSG00000056586"	2466	1024	4400
"ENSG00000056736"	119	45	118
"ENSG00000056972"	468	209	849
"ENSG00000056998"	140	49	741
"ENSG00000057019"	4052	888	27902
"ENSG00000057149"	2	0	0
"ENSG00000057252"	2013	337	4020
"ENSG00000057294"	14	81	10
"ENSG00000057468"	186	196	25
"ENSG00000057593"	1	11	5
"ENSG00000057608"	5583	2807	12267
"ENSG00000057657"	1884	242	631
"ENSG00000057663"	682	289	1220
"ENSG00000057704"	13	8	6
"ENSG00000057757"	670	161	1372
"ENSG00000057935"	1226	223	1382
"ENSG00000058056"	481	190	1007
