"240827_n6"	"240905_n6"	"241210_ICP4"	"241210_n6"	"241213_ICP4"	"241213_n6"	"241217_n6"
"ENSG00000011009"	4958	5305	6293	7487	5841	4257	3031
"ENSG00000011021"	3949	1856	4242	2295	3236	2300	1450
"ENSG00000011028"	78618	80210	84742	75309	95981	82796	35487
"ENSG00000011052"	0	0	0	0	0	0	0
"ENSG00000011083"	3	0	21	12	6	0	0
"ENSG00000011105"	7039	6268	5081	6302	4583	4112	2329
"ENSG00000011114"	6886	7865	4872	2135	3553	4437	2995
"ENSG00000011132"	1466	1300	2248	2190	1847	1218	776
"ENSG00000011143"	556	697	573	725	673	639	297
"ENSG00000011198"	17907	11706	15632	13014	13103	11550	8155
"ENSG00000011201"	425	219	564	251	476	310	551
"ENSG00000011243"	5985	3892	5842	5984	5278	3240	2005
"ENSG00000011258"	1786	1089	1925	641	1255	969	764
"ENSG00000011260"	4553	5030	5933	4951	5463	3702	2316
"ENSG00000011275"	7666	7430	8704	5751	8347	6071	3679
"ENSG00000011295"	3031	2820	3494	2704	3346	2650	1411
"ENSG00000011304"	26735	44002	33054	32109	24660	24545	13093
"ENSG00000011332"	382	571	347	383	297	303	124
"ENSG00000011347"	174	379	217	156	76	60	29
"ENSG00000011376"	2802	4170	2920	2248	3004	2712	1472
"ENSG00000011405"	11371	10009	8412	2688	5664	7578	5040
"ENSG00000011422"	10793	12469	13980	17097	10364	9681	5680
"ENSG00000011426"	6973	37743	3836	4826	5357	14004	1687
"ENSG00000011451"	10003	9940	9107	9718	8900	7730	4178
"ENSG00000011454"	8196	7732	7343	4150	6434	5752	3528
"ENSG00000011465"	84219	40548	57872	61166	51605	39021	58400
"ENSG00000011478"	2465	2098	3037	3956	3050	2038	936
"ENSG00000011485"	8031	11177	9581	10834	8564	6852	4380
"ENSG00000011523"	7435	6010	3647	4222	3655	5013	2606
"ENSG00000011566"	5764	4987	5951	3436	5052	4618	2738
"ENSG00000011590"	21	21	11	29	12	7	17
"ENSG00000011600"	0	0	0	1	0	0	0
"ENSG00000011638"	2603	1386	3782	3474	2967	2091	1205
"ENSG00000011677"	14	0	3	1	4	2	5
"ENSG00000012048"	1556	4320	1364	1046	1458	2422	455
"ENSG00000012061"	5951	8476	9627	11891	7236	5078	3441
"ENSG00000012124"	159	56	67	144	74	83	34
"ENSG00000012171"	1428	770	1693	1938	1137	868	766
"ENSG00000012174"	5105	5807	4380	2086	3560	3893	3896
"ENSG00000012211"	918	697	932	815	667	347	306
"ENSG00000012223"	15	9	51	21	6	3	0
"ENSG00000012232"	13640	14688	12751	7673	11099	10531	6277
"ENSG00000012504"	11	4	19	6	33	8	0
"ENSG00000012660"	20181	21509	16709	14784	13980	15542	9630
"ENSG00000012779"	10	0	11	35	1	0	12
"ENSG00000012817"	3277	3742	3251	2189	3200	2614	2172
"ENSG00000012822"	15684	10712	16189	16389	16306	11693	8032
"ENSG00000012963"	3351	5927	3778	3227	3641	3151	1478
"ENSG00000012983"	7840	10321	9582	4172	7823	7524	4708
"ENSG00000013016"	19648	23960	15770	13434	14268	14475	11341
"ENSG00000013275"	11134	15346	15445	18008	15291	11726	6648
"ENSG00000013288"	20422	15479	20429	17584	22384	15122	6758
"ENSG00000013293"	443	166	609	333	531	568	147
"ENSG00000013297"	2659	3523	3020	3021	2351	2520	1685
"ENSG00000013306"	10786	11834	13224	20694	14129	10374	5841
"ENSG00000013364"	31972	34380	38840	45772	37038	27777	14794
"ENSG00000013374"	7931	8569	7237	6883	7392	6192	3821
"ENSG00000013375"	11669	15402	11457	8757	11445	10995	7574
"ENSG00000013392"	1716	1557	1579	1257	1685	1336	712
"ENSG00000013441"	10191	5708	9836	7961	8761	4826	4460
"ENSG00000013503"	1974	2777	2014	1210	2035	2076	1155
"ENSG00000013523"	2019	1563	2392	1561	1955	1394	997
"ENSG00000013561"	6106	5264	7472	5276	8001	6124	3226
"ENSG00000013563"	2040	1589	2100	2337	1931	1629	855
"ENSG00000013573"	909	1490	1348	1380	1322	1108	557
"ENSG00000013583"	4853	5466	6252	8777	7477	5012	2045
"ENSG00000013588"	4586	6746	3793	3651	4973	4809	2418
"ENSG00000013619"	2093	2705	1513	1376	1239	1702	918
"ENSG00000013725"	11	0	14	15	0	0	0
"ENSG00000013810"	2942	13167	2441	5234	3072	4506	744
"ENSG00000014123"	4531	5468	3815	1488	3139	3676	2737
"ENSG00000014138"	148	545	277	292	278	267	96
"ENSG00000014164"	2082	2230	2534	2429	2114	1533	907
"ENSG00000014216"	26410	38329	28292	34449	26948	24017	13400
"ENSG00000014257"	96	22	12	52	59	36	87
"ENSG00000014641"	15662	24141	18152	22048	22644	21213	11205
"ENSG00000014824"	9186	10144	7745	5006	7299	7534	5124
"ENSG00000014914"	1806	2154	1285	1622	1295	1122	804
"ENSG00000014919"	1740	2047	1433	1457	2285	1706	770
"ENSG00000015133"	12	16	41	28	35	15	4
"ENSG00000015153"	1818	1673	2355	1588	1717	1546	928
"ENSG00000015171"	11397	13015	8879	5258	7433	8367	6571
"ENSG00000015285"	5	25	27	30	33	26	12
"ENSG00000015413"	17	0	0	15	8	5	0
"ENSG00000015475"	3348	3730	3727	4370	3606	3108	1633
"ENSG00000015479"	39	69	53	26	27	15	43
"ENSG00000015520"	7	5	33	37	7	24	0
"ENSG00000015532"	5837	5445	6516	7002	6409	4603	2711
"ENSG00000015568"	0	0	0	0	0	0	0
"ENSG00000015592"	0	9	0	0	1	0	9
"ENSG00000015676"	13603	13848	12985	11338	13491	11188	5903
"ENSG00000016082"	542	401	328	307	322	353	203
"ENSG00000016391"	245	115	267	190	79	70	44
"ENSG00000016402"	29	6	15	6	22	17	0
"ENSG00000016490"	26	29	19	8	7	19	0
"ENSG00000016602"	0	0	0	0	6	0	0
"ENSG00000016864"	5731	7674	6253	6271	7289	6126	3432
"ENSG00000017260"	29941	34022	23919	16494	21749	20330	15811
"ENSG00000017427"	0	8	0	0	5	3	1
"ENSG00000017483"	2313	2188	2285	2451	1712	1616	1601
"ENSG00000017797"	11002	14323	9422	7645	9406	9525	3678
"ENSG00000018189"	4690	2997	3732	3301	3575	3051	1815
"ENSG00000018236"	108	50	152	106	121	151	41
"ENSG00000018280"	1	54	39	66	99	33	13
"ENSG00000018408"	10668	9804	8630	5672	7636	9131	3563
"ENSG00000018510"	7011	8643	5802	3464	5732	6211	2963
"ENSG00000018607"	0	0	0	0	0	7	0
"ENSG00000018610"	1222	2044	1938	1333	1688	1453	948
"ENSG00000018625"	28	19	27	38	19	12	8
"ENSG00000018699"	2258	3188	2803	1752	2760	2281	1160
"ENSG00000018869"	375	303	594	301	592	320	211
"ENSG00000019102"	0	2	2	5	0	3	0
"ENSG00000019144"	14276	16000	16382	14369	13974	11667	6233
"ENSG00000019169"	0	3	0	0	26	4	0
"ENSG00000019186"	6	9	18	3	12	20	3
"ENSG00000019485"	963	438	864	733	835	603	325
"ENSG00000019505"	0	0	14	3	4	0	2
"ENSG00000019549"	19989	11405	14319	9934	16546	10076	6050
"ENSG00000019582"	87	70	115	128	25	35	10
"ENSG00000019991"	340	1830	193	158	73	141	144
"ENSG00000019995"	4720	3421	3240	1969	2786	2862	1521
"ENSG00000020129"	6568	6568	7808	6734	7683	5249	3204
"ENSG00000020181"	10731	12675	8841	7104	7717	8844	6400
"ENSG00000020219"	0	4	0	0	0	0	0
"ENSG00000020256"	1773	1514	1683	1623	1617	1207	889
"ENSG00000020426"	3183	4354	3458	3172	3585	2795	1591
"ENSG00000020577"	20191	17889	16344	9396	13697	12733	7185
"ENSG00000020633"	59	57	21	23	26	73	22
"ENSG00000020922"	2168	2962	1719	1608	1641	1891	977
"ENSG00000021300"	15	26	27	49	40	24	10
"ENSG00000021355"	3012	4559	2681	3264	2994	2581	795
"ENSG00000021461"	0	2	0	18	1	0	0
"ENSG00000021488"	20	14	4	0	9	0	5
"ENSG00000021574"	2335	2188	1809	745	1467	1671	1032
"ENSG00000021645"	59	12	10	13	37	32	27
"ENSG00000021762"	4573	5342	4143	5009	4217	3602	2017
"ENSG00000021776"	6987	8043	5609	3584	6124	6170	3480
"ENSG00000021826"	490	843	174	160	321	514	412
"ENSG00000021852"	0	6	16	16	48	24	9
"ENSG00000022267"	12382	35543	8246	10894	13351	15660	6547
"ENSG00000022277"	9658	14506	11397	12656	11001	9625	4893
"ENSG00000022355"	0	0	2	0	0	0	0
"ENSG00000022556"	0	14	2	0	28	4	1
"ENSG00000022567"	852	686	799	478	755	525	403
"ENSG00000022840"	17951	18745	19939	17640	19024	14949	9253
"ENSG00000022976"	513	574	629	565	620	405	292
"ENSG00000023041"	3708	4163	3416	2989	3313	2445	1812
"ENSG00000023171"	5746	6361	5267	2967	4175	4538	1945
"ENSG00000023191"	35476	38777	41299	53226	40105	31785	19882
"ENSG00000023228"	13472	14847	14209	9948	12620	12029	7185
"ENSG00000023287"	14168	10317	8978	3375	6215	7040	5972
"ENSG00000023318"	12113	11429	9659	10588	10309	8618	5481
"ENSG00000023330"	11656	9520	15417	12583	14376	9184	5191
"ENSG00000023445"	1293	394	2333	537	840	410	328
"ENSG00000023516"	7262	9063	7140	1827	4859	6248	5027
"ENSG00000023572"	3304	3548	3238	3035	3396	3099	1617
"ENSG00000023608"	3088	2439	4493	3338	3948	2246	859
"ENSG00000023697"	2140	3150	2066	2578	2302	2324	1268
"ENSG00000023734"	22101	27713	21664	19559	23011	20041	12826
"ENSG00000023839"	260	401	135	143	176	121	115
"ENSG00000023892"	192	249	102	95	76	117	73
"ENSG00000023902"	5797	5874	8366	8522	7287	4042	2205
"ENSG00000023909"	5144	10887	6824	4078	5626	5306	2756
"ENSG00000024048"	7107	6831	6213	3149	5327	4951	3510
"ENSG00000024422"	42299	42067	37666	41601	34155	33834	17696
"ENSG00000024526"	927	5079	680	606	764	1712	340
"ENSG00000024862"	920	777	960	936	832	742	372
"ENSG00000025039"	656	129	750	562	543	354	109
"ENSG00000025156"	1998	2059	2113	1431	1972	1748	880
"ENSG00000025293"	5084	5582	5125	2507	4882	4458	2384
"ENSG00000025423"	160	204	175	287	381	312	77
"ENSG00000025434"	382	537	560	671	506	384	187
"ENSG00000025708"	440	272	311	669	236	151	141
"ENSG00000025770"	2536	6023	3515	4136	3471	3154	1637
"ENSG00000025772"	14224	19709	17826	21101	15822	14077	6163
"ENSG00000025796"	20814	17179	17273	11846	17514	15540	9798
"ENSG00000025800"	12246	14268	13872	6894	12317	11904	6184
"ENSG00000026025"	279223	377310	305229	384653	333686	284466	161768
"ENSG00000026036"	103	360	99	254	99	105	155
"ENSG00000026103"	9109	7555	12142	7045	10656	7593	6403
"ENSG00000026297"	519	310	480	637	339	172	263
"ENSG00000026508"	172413	198214	168342	134352	129422	124066	77975
"ENSG00000026559"	270	220	459	494	306	164	181
"ENSG00000026652"	693	676	527	386	509	587	263
"ENSG00000026751"	55	31	109	95	43	61	18
"ENSG00000026950"	622	1061	591	450	720	723	354
"ENSG00000027001"	2565	2238	2554	2882	2335	2044	1153
"ENSG00000027075"	57	96	137	68	151	147	25
"ENSG00000027644"	0	11	0	5	6	2	3
"ENSG00000027697"	3824	3938	4845	3806	4830	3651	1961
"ENSG00000027847"	3640	3181	4264	4923	4624	3134	1848
"ENSG00000027869"	115	42	171	136	126	28	34
"ENSG00000028116"	3696	3579	2540	1959	2501	2750	1501
"ENSG00000028137"	212	293	174	176	114	142	48
"ENSG00000028203"	10541	9639	8678	6607	8106	6664	4333
"ENSG00000028277"	4023	3367	4611	2025	4098	2910	3064
"ENSG00000028310"	3269	4836	3466	3552	3832	3278	1517
"ENSG00000028528"	16783	16920	17349	18571	18124	13737	8588
"ENSG00000028839"	1563	2191	1897	1713	1953	1575	1099
"ENSG00000029153"	3219	11390	4116	2200	3294	5065	2508
"ENSG00000029363"	12189	14486	13031	6621	10146	9573	5689
"ENSG00000029364"	8822	9086	10073	5315	8506	8129	5075
"ENSG00000029534"	1679	1105	2582	1244	1750	953	592
