"source"	"pathway"	"pval"	"padj"	"log2err"	"ES"	"NES"	"size"	"leadingEdge"
"hallmark"	"HALLMARK_ADIPOGENESIS"	0.0294634434718846	0.0920732608496393	0.352487857583619	0.439084935585365	1.37597109831847	186	"PTGER3, MGST3, UBC, DNAJC15, ANGPTL4, ENPP2, DNAJB9, ITGA7, CD36, CD151, HSPB8, YWHAG, TOB1, GADD45A, RNF11, ESRRA, RIOK3, SOWAHC, ATP1B3, SDHC, PLIN2, SQOR, CMBL, RETSAT, PIM3, SCP2, REEP5, MAP4K3"
"hallmark"	"HALLMARK_ALLOGRAFT_REJECTION"	0.244	0.420689655172414	0.122679189568808	0.380359016385216	1.11474565078874	121	"RPL39, IL6, DYRK3, IL11, INHBA, LYN, LIF, CTSS, F2R, IL4R, ABI1, SRGN, IRF4, CCL5, B2M, CD74, GPR65, RPL9, CD7, HLA-E, DEGS1, UBE2D1, EREG, IL27RA, RIPK2"
"hallmark"	"HALLMARK_ANDROGEN_RESPONSE"	0.18019801980198	0.36039603960396	0.144630528034484	0.421719546488528	1.20043234741144	93	"SAT1, DNAJB9, PGM3, CCND1, PMEPA1, SGK1, HSD17B14, NKX3-1, B4GALT1, NDRG1, HOMER2, NCOA4, IQGAP2, TSC22D1, RPS6KA3, B2M, AKAP12, ZMIZ1"
"hallmark"	"HALLMARK_ANGIOGENESIS"	0.0186265000802629	0.0665232145723676	0.352487857583619	0.658775331738623	1.55675810137409	30	"SPP1, POSTN, STC1, THBD, MSX1, APP, NRP1, CXCL6"
"hallmark"	"HALLMARK_APICAL_JUNCTION"	0.428282828282828	0.578760578760579	0.0880945010398517	0.322974005244144	0.999536904301301	169	"TGFBI, CALB2, NFASC, ADAM23, WNK4, ITGA2, COL17A1, MMP2, CLDN4, LAMC2, FLNC, TRAF1, INPPL1, PPP2R2C, MAPK13, JAM3, CD276, B4GALT1, CLDN14, CERCAM, ICAM5, CD274, RAC2, NECTIN4, SRC, CDK8, VWF, BAIAP2, PALS1, MDK, ITGB1, CNTN1, PTEN, PCDH1, MAPK11, NLGN2"
"hallmark"	"HALLMARK_APICAL_SURFACE"	0.816901408450704	0.82135523613963	0.0552495663125249	-0.314986633642188	-0.737675307707536	35	"PCSK9, CRYBG1"
"hallmark"	"HALLMARK_APOPTOSIS"	0.0149608803076067	0.0575418473369488	0.380730400722792	0.47584448092901	1.44780253288756	148	"IL6, SMAD7, CLU, HMOX1, VDAC2, TIMP3, SAT1, CCND1, JUN, EGR3, CYLD, MMP2, IER3, ATF3, F2R, GADD45B, APP, TNFRSF12A, GADD45A, RHOB, BCL2L11, IGFBP6, PEA15, DDIT3, TSPO, IL1A, DNAJC3, TIMP2, RETSAT, ERBB3, PPP2R5B, BMF, CDKN1A, BTG2, BID, SOD2, SQSTM1, GSN, FDXR, EREG"
"hallmark"	"HALLMARK_BILE_ACID_METABOLISM"	0.26	0.432330827067669	0.118287526124085	-0.426376247239287	-1.13791193197998	84	"DIO2, ALDH1A1, CH25H, FADS2, FADS1, DHCR24, PEX6, CYP7B1"
"hallmark"	"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	0.297087378640777	0.432330827067669	0.107554375265169	0.406118577233578	1.11399862862453	70	"CLU, NFIL3, ANTXR2, ATF3, LGMN, TNFRSF12A, FABP5, CPEB2, ABCA2, PDK3, TP53INP1, HSD17B7, PNRC1, ERRFI1, ANXA5, PLAUR, FBXO6, CD9, S100A11, SC5D, LGALS3, CTNNB1, STX5, ETHE1"
"hallmark"	"HALLMARK_COAGULATION"	0.0501002004008016	0.147353530590593	0.287857117255149	0.491607121441825	1.40992649797092	101	"SERPINB2, TFPI2, F2RL2, CLU, HTRA1, CTSK, CTSB, TIMP3, THBD, MMP1, ITGA2, MMP14, MMP2, SERPINE1, FURIN, PROS1, MAFF, LGMN, LAMP2, ARF4, CPQ, C8G, CTSO, DPP4, MMP10, F8, F10, S100A1, MMP8, DUSP14"
