"geneId"	"seqnames_2h"	"start_2h"	"end_2h"	"width_2h"	"strand_2h"	"V4_2h"	"V5_2h"	"V6_2h"	"V7_2h"	"V8_2h"	"V9_2h"	"V10_2h"	"annotation_2h"	"geneChr_2h"	"geneStart_2h"	"geneEnd_2h"	"geneLength_2h"	"geneStrand_2h"	"transcriptId_2h"	"distanceToTSS_2h"	"external_gene_name_2h"	"annotation_short_2h"	"seqnames_4h"	"start_4h"	"end_4h"	"width_4h"	"strand_4h"	"V4_4h"	"V5_4h"	"V6_4h"	"V7_4h"	"V8_4h"	"V9_4h"	"V10_4h"	"annotation_4h"	"geneChr_4h"	"geneStart_4h"	"geneEnd_4h"	"geneLength_4h"	"geneStrand_4h"	"transcriptId_4h"	"distanceToTSS_4h"	"external_gene_name_4h"	"annotation_short_4h"	"seqnames_6h"	"start_6h"	"end_6h"	"width_6h"	"strand_6h"	"V4_6h"	"V5_6h"	"V6_6h"	"V7_6h"	"V8_6h"	"V9_6h"	"V10_6h"	"annotation_6h"	"geneChr_6h"	"geneStart_6h"	"geneEnd_6h"	"geneLength_6h"	"geneStrand_6h"	"transcriptId_6h"	"distanceToTSS_6h"	"external_gene_name_6h"	"annotation_short_6h"
"1"	"ENSG00000015568"	"2"	109794121	109794595	475	"*"	"KOS_2h_peak_9270"	1371	"."	16.14207	144.51805	137.17297	226	"Promoter (<=1kb)"	2	109794274	109832963	38690	1	"ENST00000272454"	0	"RGPD5"	"Promoter (<=1kb)"	"2"	109794225	109794538	314	"*"	"KOS_4h_peak_863"	485	"."	16.08435	56.13453	48.58781	137	"Promoter (<=1kb)"	2	109794274	109832963	38690	1	"ENST00000272454"	0	"RGPD5"	"Promoter (<=1kb)"	"2"	109794313	109794370	58	"*"	"KOS_6h_peak_23"	59	"."	5.45271	12.07323	5.94338	35	"Promoter (<=1kb)"	2	109794305	109857705	63401	1	"ENST00000016946"	8	"RGPD5"	"Promoter (<=1kb)"
"2"	"ENSG00000015568"	"2"	109807843	109808144	302	"*"	"KOS_2h_peak_9271"	42	"."	3.70704	7.33479	4.25879	71	"Promoter (<=1kb)"	2	109808237	109813771	5535	1	"ENST00000495473"	-93	"RGPD5"	"Promoter (<=1kb)"	"2"	109794225	109794538	314	"*"	"KOS_4h_peak_863"	485	"."	16.08435	56.13453	48.58781	137	"Promoter (<=1kb)"	2	109794274	109832963	38690	1	"ENST00000272454"	0	"RGPD5"	"Promoter (<=1kb)"	"2"	109794313	109794370	58	"*"	"KOS_6h_peak_23"	59	"."	5.45271	12.07323	5.94338	35	"Promoter (<=1kb)"	2	109794305	109857705	63401	1	"ENST00000016946"	8	"RGPD5"	"Promoter (<=1kb)"
"3"	"ENSG00000075043"	"20"	63442310	63443693	1384	"*"	"KOS_2h_peak_10246"	928	"."	18.7771	98.78904	92.87176	984	"Promoter (1-2kb)"	20	63438689	63445576	6888	2	"ENST00000630274"	1883	"KCNQ2"	"Promoter (1-2kb)"	"20"	63443624	63443738	115	"*"	"KOS_4h_peak_946"	46	"."	5.69843	9.24136	4.60994	76	"Promoter (1-2kb)"	20	63438689	63445576	6888	2	"ENST00000630274"	1838	"KCNQ2"	"Promoter (1-2kb)"	"20"	63443281	63443361	81	"*"	"KOS_6h_peak_26"	53	"."	6.58753	11.42354	5.37104	21	"Promoter (2-3kb)"	20	63438689	63445576	6888	2	"ENST00000630274"	2215	"KCNQ2"	"Promoter (2-3kb)"
"4"	"ENSG00000075043"	"20"	63442310	63443693	1384	"*"	"KOS_2h_peak_10246"	928	"."	18.7771	98.78904	92.87176	984	"Promoter (1-2kb)"	20	63438689	63445576	6888	2	"ENST00000630274"	1883	"KCNQ2"	"Promoter (1-2kb)"	"20"	63442412	63443573	1162	"*"	"KOS_4h_peak_945"	396	"."	18.5184	46.58577	39.6448	408	"Promoter (2-3kb)"	20	63438689	63445576	6888	2	"ENST00000630274"	2003	"KCNQ2"	"Promoter (2-3kb)"	"20"	63443281	63443361	81	"*"	"KOS_6h_peak_26"	53	"."	6.58753	11.42354	5.37104	21	"Promoter (2-3kb)"	20	63438689	63445576	6888	2	"ENST00000630274"	2215	"KCNQ2"	"Promoter (2-3kb)"
"5"	"ENSG00000131591"	"1"	1116421	1116617	197	"*"	"KOS_2h_peak_28"	171	"."	7.97662	20.85677	17.10184	83	"Promoter (<=1kb)"	1	1087190	1116361	29172	2	"ENST00000475119"	-60	"C1orf159"	"Promoter (<=1kb)"	"1"	1108028	1108622	595	"*"	"KOS_4h_peak_2"	198	"."	7.10191	25.61605	19.88663	380	"Promoter (1-2kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-1901	"C1orf159"	"Promoter (1-2kb)"	"1"	1108336	1108425	90	"*"	"KOS_6h_peak_1"	19	"."	4.39424	7.35457	1.99955	57	"Promoter (2-3kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-2209	"C1orf159"	"Promoter (2-3kb)"
"6"	"ENSG00000131591"	"1"	1116421	1116617	197	"*"	"KOS_2h_peak_28"	171	"."	7.97662	20.85677	17.10184	83	"Promoter (<=1kb)"	1	1087190	1116361	29172	2	"ENST00000475119"	-60	"C1orf159"	"Promoter (<=1kb)"	"1"	1108028	1108622	595	"*"	"KOS_4h_peak_2"	198	"."	7.10191	25.61605	19.88663	380	"Promoter (1-2kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-1901	"C1orf159"	"Promoter (1-2kb)"	"1"	1108871	1108981	111	"*"	"KOS_6h_peak_2"	31	"."	4.50441	8.76288	3.13862	75	"Promoter (2-3kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-2744	"C1orf159"	"Promoter (2-3kb)"
"7"	"ENSG00000131591"	"1"	1116421	1116617	197	"*"	"KOS_2h_peak_28"	171	"."	7.97662	20.85677	17.10184	83	"Promoter (<=1kb)"	1	1087190	1116361	29172	2	"ENST00000475119"	-60	"C1orf159"	"Promoter (<=1kb)"	"1"	1108806	1109169	364	"*"	"KOS_4h_peak_3"	326	"."	15.85206	39.07087	32.63005	260	"Promoter (2-3kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-2679	"C1orf159"	"Promoter (2-3kb)"	"1"	1108336	1108425	90	"*"	"KOS_6h_peak_1"	19	"."	4.39424	7.35457	1.99955	57	"Promoter (2-3kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-2209	"C1orf159"	"Promoter (2-3kb)"
"8"	"ENSG00000131591"	"1"	1116421	1116617	197	"*"	"KOS_2h_peak_28"	171	"."	7.97662	20.85677	17.10184	83	"Promoter (<=1kb)"	1	1087190	1116361	29172	2	"ENST00000475119"	-60	"C1orf159"	"Promoter (<=1kb)"	"1"	1108806	1109169	364	"*"	"KOS_4h_peak_3"	326	"."	15.85206	39.07087	32.63005	260	"Promoter (2-3kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-2679	"C1orf159"	"Promoter (2-3kb)"	"1"	1108871	1108981	111	"*"	"KOS_6h_peak_2"	31	"."	4.50441	8.76288	3.13862	75	"Promoter (2-3kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-2744	"C1orf159"	"Promoter (2-3kb)"
"9"	"ENSG00000131591"	"1"	1107952	1108686	735	"*"	"KOS_2h_peak_25"	1065	"."	26.02949	112.85466	106.52692	440	"Promoter (1-2kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-1825	"C1orf159"	"Promoter (1-2kb)"	"1"	1108028	1108622	595	"*"	"KOS_4h_peak_2"	198	"."	7.10191	25.61605	19.88663	380	"Promoter (1-2kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-1901	"C1orf159"	"Promoter (1-2kb)"	"1"	1108336	1108425	90	"*"	"KOS_6h_peak_1"	19	"."	4.39424	7.35457	1.99955	57	"Promoter (2-3kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-2209	"C1orf159"	"Promoter (2-3kb)"
"10"	"ENSG00000131591"	"1"	1107952	1108686	735	"*"	"KOS_2h_peak_25"	1065	"."	26.02949	112.85466	106.52692	440	"Promoter (1-2kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-1825	"C1orf159"	"Promoter (1-2kb)"	"1"	1108028	1108622	595	"*"	"KOS_4h_peak_2"	198	"."	7.10191	25.61605	19.88663	380	"Promoter (1-2kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-1901	"C1orf159"	"Promoter (1-2kb)"	"1"	1108871	1108981	111	"*"	"KOS_6h_peak_2"	31	"."	4.50441	8.76288	3.13862	75	"Promoter (2-3kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-2744	"C1orf159"	"Promoter (2-3kb)"
