"geneId"	"seqnames"	"start"	"end"	"width"	"strand"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"transcriptId"	"distanceToTSS"	"external_gene_name"	"annotation_short"
"1"	"ENSG00000001630"	"7"	92134329	92134380	52	"*"	"KOS_4h_peak_1330"	34	"."	5.48383	7.97217	3.48058	33	"Promoter (<=1kb)"	7	92112153	92134477	22325	2	"ENST00000003100"	97	"CYP51A1"	"Promoter (<=1kb)"
"5"	"ENSG00000004975"	"17"	7234212	7234363	152	"*"	"KOS_4h_peak_559"	51	"."	6.0395	9.79399	5.10335	66	"Promoter (<=1kb)"	17	7225455	7234318	8864	2	"ENST00000575458"	0	"DVL2"	"Promoter (<=1kb)"
"6"	"ENSG00000005448"	"2"	74421753	74421872	120	"*"	"KOS_4h_peak_842"	70	"."	7.3613	11.93345	7.04485	39	"Promoter (<=1kb)"	2	74421759	74425650	3892	1	"ENST00000480089"	0	"WDR54"	"Promoter (<=1kb)"
"7"	"ENSG00000006062"	"17"	45317202	45317267	66	"*"	"KOS_4h_peak_602"	38	"."	4.99813	8.40895	3.87883	35	"Promoter (<=1kb)"	17	45264636	45317029	52394	2	"ENST00000617331"	-173	"MAP3K14"	"Promoter (<=1kb)"
"8"	"ENSG00000006194"	"16"	3282504	3282679	176	"*"	"KOS_4h_peak_457"	50	"."	5.99808	9.72704	5.04225	90	"Promoter (<=1kb)"	16	3283283	3293389	10107	1	"ENST00000574253"	-604	"ZNF263"	"Promoter (<=1kb)"
"9"	"ENSG00000006459"	"7"	140175813	140175996	184	"*"	"KOS_4h_peak_1359"	84	"."	7.55992	13.42248	8.42587	80	"Promoter (<=1kb)"	7	140084746	140176983	92238	2	"ENST00000397560"	987	"KDM7A"	"Promoter (<=1kb)"
"10"	"ENSG00000006607"	"2"	241355908	241355967	60	"*"	"KOS_4h_peak_916"	41	"."	4.19812	8.71181	4.12508	31	"Promoter (<=1kb)"	2	241356285	241494841	138557	1	"ENST00000264042"	-318	"FARP2"	"Promoter (<=1kb)"
"11"	"ENSG00000006831"	"12"	1690995	1691087	93	"*"	"KOS_4h_peak_279"	42	"."	5.6933	8.90153	4.2963	43	"Promoter (<=1kb)"	12	1691070	1788674	97605	1	"ENST00000357103"	0	"ADIPOR2"	"Promoter (<=1kb)"
"12"	"ENSG00000008130"	"1"	1778296	1778425	130	"*"	"KOS_4h_peak_6"	68	"."	6.99417	11.70148	6.84622	106	"Promoter (<=1kb)"	1	1756588	1778419	21832	2	"ENST00000492768"	0	"NADK"	"Promoter (<=1kb)"
"14"	"ENSG00000008710"	"16"	2135942	2136080	139	"*"	"KOS_4h_peak_451"	109	"."	5.14039	16.07908	10.91241	70	"Promoter (<=1kb)"	16	2088710	2135898	47189	2	"ENST00000423118"	-44	"PKD1"	"Promoter (<=1kb)"
"15"	"ENSG00000008710"	"16"	2135626	2135738	113	"*"	"KOS_4h_peak_450"	100	"."	5.20807	15.1835	10.07452	64	"Promoter (<=1kb)"	16	2088708	2135898	47191	2	"ENST00000262304"	160	"PKD1"	"Promoter (<=1kb)"
"16"	"ENSG00000010310"	"19"	45670895	45670983	89	"*"	"KOS_4h_peak_782"	52	"."	6.54855	9.96887	5.26006	49	"Promoter (<=1kb)"	19	45670256	45671362	1107	1	"ENST00000591322"	639	"GIPR"	"Promoter (<=1kb)"
"17"	"ENSG00000010318"	"3"	52410653	52410757	105	"*"	"KOS_4h_peak_1044"	41	"."	5.56964	8.70312	4.11695	30	"Promoter (<=1kb)"	3	52410660	52423641	12982	1	"ENST00000327906"	0	"PHF7"	"Promoter (<=1kb)"
"18"	"ENSG00000010361"	"19"	49809383	49809521	139	"*"	"KOS_4h_peak_795"	69	"."	6.85495	11.86177	6.98135	41	"Promoter (<=1kb)"	19	49808619	49809865	1247	2	"ENST00000527973"	344	"FUZ"	"Promoter (<=1kb)"
"19"	"ENSG00000011105"	"12"	3077411	3077476	66	"*"	"KOS_4h_peak_283"	68	"."	6.99417	11.70148	6.84622	36	"Promoter (<=1kb)"	12	3077428	3084210	6783	1	"ENST00000539631"	0	"TSPAN9"	"Promoter (<=1kb)"
"20"	"ENSG00000011260"	"17"	51261186	51261376	191	"*"	"KOS_4h_peak_618"	77	"."	7.60953	12.7015	7.75994	57	"Promoter (<=1kb)"	17	51260546	51297933	37388	1	"ENST00000225298"	640	"UTP18"	"Promoter (<=1kb)"
