"geneId"	"seqnames"	"start"	"end"	"width"	"strand"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"transcriptId"	"distanceToTSS"	"external_gene_name"	"annotation_short"
"1"	"ENSG00000015568"	"2"	109794313	109794370	58	"*"	"KOS_6h_peak_23"	59	"."	5.45271	12.07323	5.94338	35	"Promoter (<=1kb)"	2	109794305	109857705	63401	1	"ENST00000016946"	8	"RGPD5"	"Promoter (<=1kb)"
"5"	"ENSG00000075043"	"20"	63443281	63443361	81	"*"	"KOS_6h_peak_26"	53	"."	6.58753	11.42354	5.37104	21	"Promoter (2-3kb)"	20	63438689	63445576	6888	2	"ENST00000630274"	2215	"KCNQ2"	"Promoter (2-3kb)"
"8"	"ENSG00000119917"	"10"	89326192	89326241	50	"*"	"KOS_6h_peak_7"	77	"."	8.69485	14.1913	7.7836	30	"Promoter (1-2kb)"	10	89327307	89342166	14860	1	"ENST00000679781"	-1066	"IFIT3"	"Promoter (1-2kb)"
"10"	"ENSG00000131591"	"1"	1108336	1108425	90	"*"	"KOS_6h_peak_1"	19	"."	4.39424	7.35457	1.99955	57	"Promoter (2-3kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-2209	"C1orf159"	"Promoter (2-3kb)"
"11"	"ENSG00000131591"	"1"	1108871	1108981	111	"*"	"KOS_6h_peak_2"	31	"."	4.50441	8.76288	3.13862	75	"Promoter (2-3kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-2744	"C1orf159"	"Promoter (2-3kb)"
"12"	"ENSG00000132199"	"18"	712456	712511	56	"*"	"KOS_6h_peak_18"	190	"."	13.25266	26.31465	19.09991	41	"Promoter (<=1kb)"	18	674161	712523	38363	2	"ENST00000585128"	12	"ENOSF1"	"Promoter (<=1kb)"
"13"	"ENSG00000140937"	"16"	65124761	65124824	64	"*"	"KOS_6h_peak_13"	302	"."	17.90192	37.81309	30.25639	28	"Promoter (<=1kb)"	16	65004642	65124292	119651	2	"ENST00000569624"	-469	"CDH11"	"Promoter (<=1kb)"
"14"	"ENSG00000142002"	"19"	4724611	4724665	55	"*"	"KOS_6h_peak_21"	48	"."	5.56603	10.8073	4.85051	20	"Promoter (<=1kb)"	19	4714106	4724673	10568	2	"ENST00000598041"	8	"DPP9"	"Promoter (<=1kb)"
"15"	"ENSG00000145113"	"3"	195767743	195767860	118	"*"	"KOS_6h_peak_29"	52	"."	7.20413	11.3461	5.29612	96	"Promoter (1-2kb)"	3	195766662	195769688	3027	2	"ENST00000486425"	1828	"MUC4"	"Promoter (1-2kb)"
"17"	"ENSG00000149679"	"20"	62398036	62398098	63	"*"	"KOS_6h_peak_25"	101	"."	9.59184	16.77474	10.17675	39	"Promoter (1-2kb)"	20	62391014	62396331	5318	2	"ENST00000453274"	-1705	"CABLES2"	"Promoter (1-2kb)"
"19"	"ENSG00000166573"	"18"	77252946	77253033	88	"*"	"KOS_6h_peak_19"	90	"."	7.03078	15.61319	9.08055	59	"Promoter (<=1kb)"	18	77253740	77256217	2478	1	"ENST00000582943"	-707	"GALR1"	"Promoter (<=1kb)"
"27"	"ENSG00000201741"	"17"	17460179	17460226	48	"*"	"KOS_6h_peak_16"	22	"."	5.56286	7.68248	2.28715	39	"Promoter (<=1kb)"	17	17460444	17460522	79	1	"ENST00000364871"	-218	"Y_RNA"	"Promoter (<=1kb)"
"32"	"ENSG00000228028"	"3"	196251103	196251160	58	"*"	"KOS_6h_peak_30"	63	"."	7.86626	12.4664	6.31246	15	"Promoter (<=1kb)"	3	196250549	196251654	1106	1	"ENST00000425275"	554	""	"Promoter (<=1kb)"
"41"	"ENSG00000253931"	"8"	143410938	143411001	64	"*"	"KOS_6h_peak_42"	91	"."	6.40101	15.67667	9.1334	29	"Promoter (1-2kb)"	8	143412749	143417054	4306	1	"ENST00000523002"	-1748	"LINC02990"	"Promoter (1-2kb)"
"44"	"ENSG00000261816"	"16"	88193002	88193080	79	"*"	"KOS_6h_peak_14"	54	"."	4.37297	11.53433	5.46818	13	"Promoter (<=1kb)"	16	88191486	88193667	2182	2	"ENST00000568587"	587	""	"Promoter (<=1kb)"
