"geneId"	"seqnames_2h"	"start_2h"	"end_2h"	"width_2h"	"strand_2h"	"V4_2h"	"V5_2h"	"V6_2h"	"V7_2h"	"V8_2h"	"V9_2h"	"V10_2h"	"annotation_2h"	"geneChr_2h"	"geneStart_2h"	"geneEnd_2h"	"geneLength_2h"	"geneStrand_2h"	"transcriptId_2h"	"distanceToTSS_2h"	"external_gene_name_2h"	"seqnames_4h"	"start_4h"	"end_4h"	"width_4h"	"strand_4h"	"V4_4h"	"V5_4h"	"V6_4h"	"V7_4h"	"V8_4h"	"V9_4h"	"V10_4h"	"annotation_4h"	"geneChr_4h"	"geneStart_4h"	"geneEnd_4h"	"geneLength_4h"	"geneStrand_4h"	"transcriptId_4h"	"distanceToTSS_4h"	"external_gene_name_4h"
"1"	"ENSG00000001630"	"7"	92134327	92134544	218	"*"	"KOS_2h_peak_14617"	62	"."	3.93537	9.47403	6.24668	34	"Promoter (<=1kb)"	7	92084987	92134503	49517	2	"ENST00000691309"	0	"CYP51A1"	"7"	92134329	92134380	52	"*"	"KOS_4h_peak_1330"	34	"."	5.48383	7.97217	3.48058	33	"Promoter (<=1kb)"	7	92112153	92134477	22325	2	"ENST00000003100"	97	"CYP51A1"
"2"	"ENSG00000001630"	"7"	92134650	92135017	368	"*"	"KOS_2h_peak_14618"	232	"."	8.93664	27.18485	23.25215	213	"Promoter (<=1kb)"	7	92113412	92134803	21392	2	"ENST00000450723"	0	"CYP51A1"	"7"	92134329	92134380	52	"*"	"KOS_4h_peak_1330"	34	"."	5.48383	7.97217	3.48058	33	"Promoter (<=1kb)"	7	92112153	92134477	22325	2	"ENST00000003100"	97	"CYP51A1"
"3"	"ENSG00000001630"	"7"	92133507	92134236	730	"*"	"KOS_2h_peak_14616"	147	"."	5.95427	18.39227	14.71943	335	"Promoter (<=1kb)"	7	92112153	92134477	22325	2	"ENST00000003100"	241	"CYP51A1"	"7"	92134329	92134380	52	"*"	"KOS_4h_peak_1330"	34	"."	5.48383	7.97217	3.48058	33	"Promoter (<=1kb)"	7	92112153	92134477	22325	2	"ENST00000003100"	97	"CYP51A1"
"4"	"ENSG00000002822"	"7"	2037470	2037696	227	"*"	"KOS_2h_peak_14203"	54	"."	4.93416	8.62136	5.44621	115	"Intron (ENST00000402746/ENSG00000002822, intron 10 of 16)"	7	1957629	2080013	122385	2	"ENST00000438959"	42317	"MAD1L1"	"7"	2102054	2102653	600	"*"	"KOS_4h_peak_1292"	79	"."	7.28338	12.96905	7.99772	297	"Intron (ENST00000402746/ENSG00000002822, intron 9 of 16)"	7	2014506	2107708	93203	2	"ENST00000421113"	5055	"MAD1L1"
"5"	"ENSG00000002822"	"7"	2102024	2102737	714	"*"	"KOS_2h_peak_14204"	545	"."	20.72722	59.26085	54.57501	221	"Intron (ENST00000402746/ENSG00000002822, intron 9 of 16)"	7	2014506	2107708	93203	2	"ENST00000421113"	4971	"MAD1L1"	"7"	2102054	2102653	600	"*"	"KOS_4h_peak_1292"	79	"."	7.28338	12.96905	7.99772	297	"Intron (ENST00000402746/ENSG00000002822, intron 9 of 16)"	7	2014506	2107708	93203	2	"ENST00000421113"	5055	"MAD1L1"
"6"	"ENSG00000002822"	"7"	1899290	1899550	261	"*"	"KOS_2h_peak_14202"	188	"."	10.06701	22.64314	18.8313	104	"Intron (ENST00000402746/ENSG00000002822, intron 15 of 16)"	7	1815793	1872756	56964	2	"ENST00000481633"	-26534	"MAD1L1"	"7"	2102054	2102653	600	"*"	"KOS_4h_peak_1292"	79	"."	7.28338	12.96905	7.99772	297	"Intron (ENST00000402746/ENSG00000002822, intron 9 of 16)"	7	2014506	2107708	93203	2	"ENST00000421113"	5055	"MAD1L1"
"7"	"ENSG00000003147"	"7"	8152504	8152895	392	"*"	"KOS_2h_peak_14273"	190	"."	9.25154	22.84197	19.02206	207	"Intron (ENST00000402384/ENSG00000003147, intron 8 of 13)"	7	8141765	8157764	16000	2	"ENST00000470696"	4869	"ICA1"	"7"	8152705	8152873	169	"*"	"KOS_4h_peak_1304"	59	"."	6.42651	10.78055	5.99391	72	"Intron (ENST00000402384/ENSG00000003147, intron 8 of 13)"	7	8141765	8157764	16000	2	"ENST00000470696"	4891	"ICA1"
"8"	"ENSG00000003147"	"7"	8152504	8152895	392	"*"	"KOS_2h_peak_14273"	190	"."	9.25154	22.84197	19.02206	207	"Intron (ENST00000402384/ENSG00000003147, intron 8 of 13)"	7	8141765	8157764	16000	2	"ENST00000470696"	4869	"ICA1"	"7"	8152594	8152652	59	"*"	"KOS_4h_peak_1303"	74	"."	7.79825	12.34886	7.43025	36	"Intron (ENST00000402384/ENSG00000003147, intron 8 of 13)"	7	8141765	8157764	16000	2	"ENST00000470696"	5112	"ICA1"
"9"	"ENSG00000004975"	"17"	7233811	7234867	1057	"*"	"KOS_2h_peak_6374"	588	"."	16.39046	63.86823	58.85812	490	"Promoter (<=1kb)"	17	7225342	7234517	9176	2	"ENST00000005340"	0	"DVL2"	"17"	7234212	7234363	152	"*"	"KOS_4h_peak_559"	51	"."	6.0395	9.79399	5.10335	66	"Promoter (<=1kb)"	17	7225455	7234318	8864	2	"ENST00000575458"	0	"DVL2"
"10"	"ENSG00000005448"	"2"	74421377	74422146	770	"*"	"KOS_2h_peak_9114"	383	"."	12.49034	42.56436	38.37276	397	"Promoter (<=1kb)"	2	74421678	74425474	3797	1	"ENST00000461531"	0	"WDR54"	"2"	74421753	74421872	120	"*"	"KOS_4h_peak_842"	70	"."	7.3613	11.93345	7.04485	39	"Promoter (<=1kb)"	2	74421759	74425650	3892	1	"ENST00000480089"	0	"WDR54"
