"geneId"	"seqnames"	"start"	"end"	"width"	"strand"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"transcriptId"	"distanceToTSS"	"external_gene_name"
"1"	"ENSG00000015568"	"2"	109794313	109794370	58	"*"	"KOS_6h_peak_23"	59	"."	5.45271	12.07323	5.94338	35	"Promoter (<=1kb)"	2	109794305	109857705	63401	1	"ENST00000016946"	8	"RGPD5"
"2"	"ENSG00000054282"	"1"	243480638	243480704	67	"*"	"KOS_6h_peak_5"	64	"."	7.75829	12.58843	6.40492	36	"Intron (ENST00000366541/ENSG00000054282, intron 16 of 17)"	1	243487815	243500089	12275	1	"ENST00000497459"	-7111	"SDCCAG8"
"3"	"ENSG00000074211"	"4"	6511738	6511829	92	"*"	"KOS_6h_peak_31"	23	"."	4.98267	7.75515	2.34349	13	"Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)"	4	6347926	6523547	175622	2	"ENST00000314348"	11718	"PPP2R2C"
"4"	"ENSG00000074211"	"4"	6512518	6512642	125	"*"	"KOS_6h_peak_32"	42	"."	6.64996	10.13567	4.25842	4	"Intron (ENST00000506140/ENSG00000074211, intron 2 of 9)"	4	6347926	6523547	175622	2	"ENST00000314348"	10905	"PPP2R2C"
"5"	"ENSG00000075043"	"20"	63443281	63443361	81	"*"	"KOS_6h_peak_26"	53	"."	6.58753	11.42354	5.37104	21	"Promoter (2-3kb)"	20	63438689	63445576	6888	2	"ENST00000630274"	2215	"KCNQ2"
"6"	"ENSG00000100207"	"22"	42323866	42324217	352	"*"	"KOS_6h_peak_28"	33	"."	3.19121	9.04402	3.35315	244	"Intron (ENST00000515426/ENSG00000100207, intron 1 of 1)"	22	42211513	42318239	106727	2	"ENST00000675876"	-5627	"TCF20"
"7"	"ENSG00000109654"	"4"	153129468	153129540	73	"*"	"KOS_6h_peak_33"	30	"."	4.1811	8.67389	3.07723	19	"Distal Intergenic"	4	153152163	153339311	187149	1	"ENST00000676423"	-22623	"TRIM2"
"8"	"ENSG00000119917"	"10"	89326192	89326241	50	"*"	"KOS_6h_peak_7"	77	"."	8.69485	14.1913	7.7836	30	"Promoter (1-2kb)"	10	89327307	89342166	14860	1	"ENST00000679781"	-1066	"IFIT3"
"9"	"ENSG00000130720"	"9"	130958652	130958823	172	"*"	"KOS_6h_peak_43"	31	"."	4.50441	8.76288	3.13862	158	"Distal Intergenic"	9	130938017	130939286	1270	2	"ENST00000463475"	-19366	"FIBCD1"
"10"	"ENSG00000131591"	"1"	1108336	1108425	90	"*"	"KOS_6h_peak_1"	19	"."	4.39424	7.35457	1.99955	57	"Promoter (2-3kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-2209	"C1orf159"
"11"	"ENSG00000131591"	"1"	1108871	1108981	111	"*"	"KOS_6h_peak_2"	31	"."	4.50441	8.76288	3.13862	75	"Promoter (2-3kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-2744	"C1orf159"
"12"	"ENSG00000132199"	"18"	712456	712511	56	"*"	"KOS_6h_peak_18"	190	"."	13.25266	26.31465	19.09991	41	"Promoter (<=1kb)"	18	674161	712523	38363	2	"ENST00000585128"	12	"ENOSF1"
"13"	"ENSG00000140937"	"16"	65124761	65124824	64	"*"	"KOS_6h_peak_13"	302	"."	17.90192	37.81309	30.25639	28	"Promoter (<=1kb)"	16	65004642	65124292	119651	2	"ENST00000569624"	-469	"CDH11"
"14"	"ENSG00000142002"	"19"	4724611	4724665	55	"*"	"KOS_6h_peak_21"	48	"."	5.56603	10.8073	4.85051	20	"Promoter (<=1kb)"	19	4714106	4724673	10568	2	"ENST00000598041"	8	"DPP9"
"15"	"ENSG00000145113"	"3"	195767743	195767860	118	"*"	"KOS_6h_peak_29"	52	"."	7.20413	11.3461	5.29612	96	"Promoter (1-2kb)"	3	195766662	195769688	3027	2	"ENST00000486425"	1828	"MUC4"
"16"	"ENSG00000147027"	"X"	34687293	34687340	48	"*"	"KOS_6h_peak_50"	90	"."	9.43462	15.54981	9.02475	14	"Distal Intergenic"	23	34627075	34657285	30211	2	"ENST00000275954"	-30008	"TMEM47"
"17"	"ENSG00000149679"	"20"	62398036	62398098	63	"*"	"KOS_6h_peak_25"	101	"."	9.59184	16.77474	10.17675	39	"Promoter (1-2kb)"	20	62391014	62396331	5318	2	"ENST00000453274"	-1705	"CABLES2"
"18"	"ENSG00000150672"	"11"	84313346	84313401	56	"*"	"KOS_6h_peak_10"	118	"."	10.78242	18.56221	11.82841	14	"Intron (ENST00000280241/ENSG00000150672, intron 1 of 21)"	11	83459119	84317337	858219	2	"ENST00000706243"	3936	"DLG2"
"19"	"ENSG00000166573"	"18"	77252946	77253033	88	"*"	"KOS_6h_peak_19"	90	"."	7.03078	15.61319	9.08055	59	"Promoter (<=1kb)"	18	77253740	77256217	2478	1	"ENST00000582943"	-707	"GALR1"
"20"	"ENSG00000166573"	"18"	77258611	77258664	54	"*"	"KOS_6h_peak_20"	84	"."	7.66565	14.91909	8.45361	25	"Intron (ENST00000299727/ENSG00000166573, intron 2 of 2)"	18	77253740	77256217	2478	1	"ENST00000582943"	4871	"GALR1"
"21"	"ENSG00000171813"	"10"	132392537	132392592	56	"*"	"KOS_6h_peak_9"	99	"."	9.68155	16.55244	9.97346	24	"Distal Intergenic"	10	132397168	132417528	20361	1	"ENST00000631148"	-4576	"PWWP2B"
"22"	"ENSG00000172965"	"2"	111251528	111251620	93	"*"	"KOS_6h_peak_24"	23	"."	5.54164	7.82102	2.36385	58	"Intron (ENST00000645030/ENSG00000172965, intron 3 of 4)"	2	111237004	111239047	2044	2	"ENST00000371162"	-12481	"MIR4435-2HG"
"23"	"ENSG00000174469"	"7"	148331660	148331762	103	"*"	"KOS_6h_peak_40"	42	"."	4.07139	10.11901	4.25842	11	"Intron (ENST00000361727/ENSG00000174469, intron 21 of 23)"	7	148339461	148420998	81538	1	"ENST00000463592"	-7699	"CNTNAP2"
"24"	"ENSG00000182613"	"5"	181161108	181161285	178	"*"	"KOS_6h_peak_34"	216	"."	9.48298	28.96992	21.67738	33	"Distal Intergenic"	5	181147638	181159285	11648	1	"ENST00000641791"	13470	"OR2V2"
"25"	"ENSG00000188191"	"7"	588451	588668	218	"*"	"KOS_6h_peak_35"	154	"."	6.0515	22.41955	15.4521	150	"Intron (ENST00000544935/ENSG00000188191, intron 7 of 10)"	7	550270	602683	52414	2	"ENST00000400758"	14015	"PRKAR1B"
"26"	"ENSG00000188191"	"7"	588797	588882	86	"*"	"KOS_6h_peak_36"	127	"."	7.34931	19.53123	12.751	30	"Intron (ENST00000544935/ENSG00000188191, intron 7 of 10)"	7	550270	602683	52414	2	"ENST00000400758"	13801	"PRKAR1B"
"27"	"ENSG00000201741"	"17"	17460179	17460226	48	"*"	"KOS_6h_peak_16"	22	"."	5.56286	7.68248	2.28715	39	"Promoter (<=1kb)"	17	17460444	17460522	79	1	"ENST00000364871"	-218	"Y_RNA"
"28"	"ENSG00000207943"	"17"	66799594	66799641	48	"*"	"KOS_6h_peak_17"	16	"."	4.59939	6.84354	1.64137	15	"Intron (ENST00000413366/ENSG00000154229, intron 16 of 16)"	17	66787072	66787168	97	1	"ENST00000385208"	12522	"MIR634"
"29"	"ENSG00000212214"	"X"	3524640	3524689	50	"*"	"KOS_6h_peak_49"	99	"."	9.42078	16.48652	9.91335	7	"Distal Intergenic"	23	3532117	3532251	135	2	"ENST00000390912"	7562	"SNORA48B"
"30"	"ENSG00000213781"	"7"	27466602	27466656	55	"*"	"KOS_6h_peak_38"	127	"."	11.17444	19.57382	12.78849	34	"Distal Intergenic"	7	27461766	27462969	1204	1	"ENST00000423961"	4836	"PSMC1P2"
"31"	"ENSG00000221768"	"8"	141713715	141713762	48	"*"	"KOS_6h_peak_41"	26	"."	4.68718	8.18041	2.66698	13	"Distal Intergenic"	8	141786242	141786313	72	2	"ENST00000408841"	72551	"MIR1302-7"
"32"	"ENSG00000228028"	"3"	196251103	196251160	58	"*"	"KOS_6h_peak_30"	63	"."	7.86626	12.4664	6.31246	15	"Promoter (<=1kb)"	3	196250549	196251654	1106	1	"ENST00000425275"	554	""
"33"	"ENSG00000228176"	"1"	29723474	29723617	144	"*"	"KOS_6h_peak_3"	39	"."	5.74924	9.67107	3.90472	40	"Distal Intergenic"	1	29708851	29709547	697	2	"ENST00000422638"	-13927	""
"34"	"ENSG00000230435"	"7"	11444139	11444201	63	"*"	"KOS_6h_peak_37"	177	"."	13.47803	24.89111	17.71378	31	"Intron (ENST00000445839/ENSG00000230333, intron 3 of 3)"	7	11406955	11414078	7124	1	"ENST00000425837"	37184	""
"35"	"ENSG00000230638"	"1"	41545299	41545346	48	"*"	"KOS_6h_peak_4"	30	"."	5.36595	8.69836	3.0846	31	"Intron (ENST00000643665/ENSG00000127124, intron 4 of 7)"	1	41542069	41544310	2242	1	"ENST00000434240"	3230	""
"36"	"ENSG00000232739"	"10"	15229751	15229803	53	"*"	"KOS_6h_peak_6"	74	"."	8.31246	13.8605	7.49931	41	"Intron (ENST00000378116/ENSG00000148468, intron 5 of 7)"	10	15237492	15241767	4276	1	"ENST00000433455"	-7689	""
"37"	"ENSG00000234409"	"22"	20163150	20163201	52	"*"	"KOS_6h_peak_27"	83	"."	8.849	14.76837	8.31738	21	"Distal Intergenic"	22	20148416	20151055	2640	2	"ENST00000439765"	-12095	"CCDC188"
"38"	"ENSG00000235376"	"10"	103250919	103251008	90	"*"	"KOS_6h_peak_8"	68	"."	4.97672	13.14027	6.84864	76	"Intron (ENST00000675164/ENSG00000076685, intron 1 of 19)"	10	103245887	103248016	2130	1	"ENST00000441178"	5032	"RPEL1"
"39"	"ENSG00000236148"	"2"	64376076	64376129	54	"*"	"KOS_6h_peak_22"	175	"."	6.78564	24.68847	17.57567	25	"Distal Intergenic"	2	64347193	64347741	549	2	"ENST00000479658"	-28335	"RPL23AP37"
"40"	"ENSG00000240677"	"7"	141808512	141808563	52	"*"	"KOS_6h_peak_39"	209	"."	14.82583	28.18713	20.90618	22	"Distal Intergenic"	7	141811805	141812257	453	1	"ENST00000477911"	-3242	"MYL6P4"
"41"	"ENSG00000253931"	"8"	143410938	143411001	64	"*"	"KOS_6h_peak_42"	91	"."	6.40101	15.67667	9.1334	29	"Promoter (1-2kb)"	8	143412749	143417054	4306	1	"ENST00000523002"	-1748	"LINC02990"
"42"	"ENSG00000260580"	"16"	26812984	26813198	215	"*"	"KOS_6h_peak_11"	32	"."	6.0958	8.95967	3.28425	46	"Distal Intergenic"	16	26721874	26729126	7253	1	"ENST00000562900"	91110	""
"43"	"ENSG00000260580"	"16"	26813518	26813590	73	"*"	"KOS_6h_peak_12"	26	"."	5.84173	8.17439	2.66698	29	"Distal Intergenic"	16	26721874	26729126	7253	1	"ENST00000562900"	91644	""
"44"	"ENSG00000261816"	"16"	88193002	88193080	79	"*"	"KOS_6h_peak_14"	54	"."	4.37297	11.53433	5.46818	13	"Promoter (<=1kb)"	16	88191486	88193667	2182	2	"ENST00000568587"	587	""
"45"	"ENSG00000262231"	"17"	6194152	6194433	282	"*"	"KOS_6h_peak_15"	121	"."	5.21801	18.87748	12.13524	37	"Distal Intergenic"	17	6189340	6190541	1202	2	"ENST00000573698"	-3611	""
