"geneId"	"seqnames"	"start"	"end"	"width"	"strand"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"transcriptId"	"distanceToTSS"	"external_gene_name"
"1"	"ENSG00000001630"	"7"	92134329	92134380	52	"*"	"KOS_4h_peak_1330"	34	"."	5.48383	7.97217	3.48058	33	"Promoter (<=1kb)"	7	92112153	92134477	22325	2	"ENST00000003100"	97	"CYP51A1"
"2"	"ENSG00000002822"	"7"	2102054	2102653	600	"*"	"KOS_4h_peak_1292"	79	"."	7.28338	12.96905	7.99772	297	"Intron (ENST00000402746/ENSG00000002822, intron 9 of 16)"	7	2014506	2107708	93203	2	"ENST00000421113"	5055	"MAD1L1"
"3"	"ENSG00000003147"	"7"	8152594	8152652	59	"*"	"KOS_4h_peak_1303"	74	"."	7.79825	12.34886	7.43025	36	"Intron (ENST00000402384/ENSG00000003147, intron 8 of 13)"	7	8141765	8157764	16000	2	"ENST00000470696"	5112	"ICA1"
"4"	"ENSG00000003147"	"7"	8152705	8152873	169	"*"	"KOS_4h_peak_1304"	59	"."	6.42651	10.78055	5.99391	72	"Intron (ENST00000402384/ENSG00000003147, intron 8 of 13)"	7	8141765	8157764	16000	2	"ENST00000470696"	4891	"ICA1"
"5"	"ENSG00000004975"	"17"	7234212	7234363	152	"*"	"KOS_4h_peak_559"	51	"."	6.0395	9.79399	5.10335	66	"Promoter (<=1kb)"	17	7225455	7234318	8864	2	"ENST00000575458"	0	"DVL2"
"6"	"ENSG00000005448"	"2"	74421753	74421872	120	"*"	"KOS_4h_peak_842"	70	"."	7.3613	11.93345	7.04485	39	"Promoter (<=1kb)"	2	74421759	74425650	3892	1	"ENST00000480089"	0	"WDR54"
"7"	"ENSG00000006062"	"17"	45317202	45317267	66	"*"	"KOS_4h_peak_602"	38	"."	4.99813	8.40895	3.87883	35	"Promoter (<=1kb)"	17	45264636	45317029	52394	2	"ENST00000617331"	-173	"MAP3K14"
"8"	"ENSG00000006194"	"16"	3282504	3282679	176	"*"	"KOS_4h_peak_457"	50	"."	5.99808	9.72704	5.04225	90	"Promoter (<=1kb)"	16	3283283	3293389	10107	1	"ENST00000574253"	-604	"ZNF263"
"9"	"ENSG00000006459"	"7"	140175813	140175996	184	"*"	"KOS_4h_peak_1359"	84	"."	7.55992	13.42248	8.42587	80	"Promoter (<=1kb)"	7	140084746	140176983	92238	2	"ENST00000397560"	987	"KDM7A"
"10"	"ENSG00000006607"	"2"	241355908	241355967	60	"*"	"KOS_4h_peak_916"	41	"."	4.19812	8.71181	4.12508	31	"Promoter (<=1kb)"	2	241356285	241494841	138557	1	"ENST00000264042"	-318	"FARP2"
"11"	"ENSG00000006831"	"12"	1690995	1691087	93	"*"	"KOS_4h_peak_279"	42	"."	5.6933	8.90153	4.2963	43	"Promoter (<=1kb)"	12	1691070	1788674	97605	1	"ENST00000357103"	0	"ADIPOR2"
"12"	"ENSG00000008130"	"1"	1778296	1778425	130	"*"	"KOS_4h_peak_6"	68	"."	6.99417	11.70148	6.84622	106	"Promoter (<=1kb)"	1	1756588	1778419	21832	2	"ENST00000492768"	0	"NADK"
"13"	"ENSG00000008226"	"3"	38084376	38084565	190	"*"	"KOS_4h_peak_1035"	132	"."	5.34522	18.55635	13.242	153	"Intron (ENST00000440294/ENSG00000008226, intron 7 of 16)"	3	38062778	38086269	23492	1	"ENST00000469151"	21598	"DLEC1"
"14"	"ENSG00000008710"	"16"	2135942	2136080	139	"*"	"KOS_4h_peak_451"	109	"."	5.14039	16.07908	10.91241	70	"Promoter (<=1kb)"	16	2088710	2135898	47189	2	"ENST00000423118"	-44	"PKD1"
"15"	"ENSG00000008710"	"16"	2135626	2135738	113	"*"	"KOS_4h_peak_450"	100	"."	5.20807	15.1835	10.07452	64	"Promoter (<=1kb)"	16	2088708	2135898	47191	2	"ENST00000262304"	160	"PKD1"
"16"	"ENSG00000010310"	"19"	45670895	45670983	89	"*"	"KOS_4h_peak_782"	52	"."	6.54855	9.96887	5.26006	49	"Promoter (<=1kb)"	19	45670256	45671362	1107	1	"ENST00000591322"	639	"GIPR"
"17"	"ENSG00000010318"	"3"	52410653	52410757	105	"*"	"KOS_4h_peak_1044"	41	"."	5.56964	8.70312	4.11695	30	"Promoter (<=1kb)"	3	52410660	52423641	12982	1	"ENST00000327906"	0	"PHF7"
"18"	"ENSG00000010361"	"19"	49809383	49809521	139	"*"	"KOS_4h_peak_795"	69	"."	6.85495	11.86177	6.98135	41	"Promoter (<=1kb)"	19	49808619	49809865	1247	2	"ENST00000527973"	344	"FUZ"
"19"	"ENSG00000011105"	"12"	3077411	3077476	66	"*"	"KOS_4h_peak_283"	68	"."	6.99417	11.70148	6.84622	36	"Promoter (<=1kb)"	12	3077428	3084210	6783	1	"ENST00000539631"	0	"TSPAN9"
"20"	"ENSG00000011260"	"17"	51261186	51261376	191	"*"	"KOS_4h_peak_618"	77	"."	7.60953	12.7015	7.75994	57	"Promoter (<=1kb)"	17	51260546	51297933	37388	1	"ENST00000225298"	640	"UTP18"
"21"	"ENSG00000011275"	"7"	5781535	5781586	52	"*"	"KOS_4h_peak_1299"	23	"."	4.81865	6.66731	2.38336	43	"Promoter (<=1kb)"	7	5761011	5781620	20610	2	"ENST00000416985"	34	"RNF216"
"22"	"ENSG00000011523"	"2"	65056417	65056527	111	"*"	"KOS_4h_peak_833"	16	"."	4.28434	5.83183	1.69221	20	"Promoter (<=1kb)"	2	65056421	65086971	30551	1	"ENST00000704483"	0	"CEP68"
"23"	"ENSG00000012983"	"14"	50532593	50532674	82	"*"	"KOS_4h_peak_380"	28	"."	4.63677	7.18825	2.81749	36	"Promoter (<=1kb)"	14	50418525	50532609	114085	2	"ENST00000013125"	0	"MAP4K5"
"24"	"ENSG00000013275"	"19"	39971217	39971268	52	"*"	"KOS_4h_peak_774"	79	"."	7.28338	12.96905	7.99772	33	"Promoter (<=1kb)"	19	39971192	39980061	8870	1	"ENST00000596386"	25	"PSMC4"
"25"	"ENSG00000013288"	"4"	6578837	6579641	805	"*"	"KOS_4h_peak_1101"	451	"."	19.70797	52.54907	45.14778	457	"Intron (ENST00000504248/ENSG00000013288, intron 3 of 18)"	4	6575215	6622401	47187	1	"ENST00000505907"	3622	"MAN2B2"
"26"	"ENSG00000015568"	"2"	109794225	109794538	314	"*"	"KOS_4h_peak_863"	485	"."	16.08435	56.13453	48.58781	137	"Promoter (<=1kb)"	2	109794274	109832963	38690	1	"ENST00000272454"	0	"RGPD5"
"27"	"ENSG00000020426"	"14"	60734719	60734790	72	"*"	"KOS_4h_peak_384"	59	"."	6.63521	10.75496	5.98463	43	"Promoter (<=1kb)"	14	60734742	60753954	19213	1	"ENST00000555545"	0	"MNAT1"
"28"	"ENSG00000023191"	"11"	506430	506527	98	"*"	"KOS_4h_peak_212"	63	"."	5.99776	11.20445	6.37681	46	"Promoter (<=1kb)"	11	502214	506356	4143	2	"ENST00000526295"	-74	"RNH1"
"29"	"ENSG00000024526"	"1"	68496908	68497016	109	"*"	"KOS_4h_peak_71"	55	"."	5.66455	10.24766	5.50938	35	"Promoter (<=1kb)"	1	68474152	68497082	22931	2	"ENST00000456315"	66	"DEPDC1"
"30"	"ENSG00000032389"	"2"	3315967	3316133	167	"*"	"KOS_4h_peak_815"	119	"."	9.83564	17.18914	11.95526	19	"Intron (ENST00000478754/ENSG00000032389, intron 3 of 10)"	2	3188925	3320544	131620	2	"ENST00000478754"	4411	"EIPR1"
"31"	"ENSG00000032389"	"2"	3315792	3315848	57	"*"	"KOS_4h_peak_814"	152	"."	11.39744	20.70119	15.26145	32	"Intron (ENST00000478754/ENSG00000032389, intron 3 of 10)"	2	3188925	3320544	131620	2	"ENST00000478754"	4696	"EIPR1"
"32"	"ENSG00000032389"	"2"	3315494	3315625	132	"*"	"KOS_4h_peak_813"	86	"."	8.39812	13.67227	8.65634	25	"Intron (ENST00000478754/ENSG00000032389, intron 3 of 10)"	2	3188925	3320544	131620	2	"ENST00000478754"	4919	"EIPR1"
"33"	"ENSG00000034510"	"2"	84905707	84905784	78	"*"	"KOS_4h_peak_845"	146	"."	9.85398	20.08791	14.6743	26	"Promoter (<=1kb)"	2	84905656	84906671	1016	1	"ENST00000233143"	51	"TMSB10"
"34"	"ENSG00000035403"	"10"	73998209	73998275	67	"*"	"KOS_4h_peak_183"	63	"."	6.67052	11.17682	6.3562	29	"Promoter (<=1kb)"	10	73998116	74120169	122054	1	"ENST00000211998"	93	"VCL"
"35"	"ENSG00000035499"	"5"	60699985	60700116	132	"*"	"KOS_4h_peak_1154"	38	"."	4.63447	8.39522	3.87229	68	"Promoter (<=1kb)"	5	60597629	60700134	102506	2	"ENST00000453022"	18	"DEPDC1B"
"36"	"ENSG00000035687"	"1"	244451814	244451865	52	"*"	"KOS_4h_peak_145"	40	"."	5.52543	8.6321	4.07016	15	"Promoter (<=1kb)"	1	244408494	244451909	43416	2	"ENST00000366535"	44	"ADSS2"
"37"	"ENSG00000037042"	"17"	42659433	42659490	58	"*"	"KOS_4h_peak_590"	63	"."	6.67052	11.17682	6.3562	27	"Promoter (<=1kb)"	17	42659307	42666822	7516	1	"ENST00000588870"	126	"TUBG2"
"38"	"ENSG00000037280"	"5"	180635240	180635310	71	"*"	"KOS_4h_peak_1198"	170	"."	10.71085	22.61764	17.06521	38	"Intron (ENST00000261937/ENSG00000037280, intron 1 of 29)"	5	180607965	180629338	21374	2	"ENST00000507059"	-5902	"FLT4"
"39"	"ENSG00000037280"	"5"	180635383	180635453	71	"*"	"KOS_4h_peak_1199"	171	"."	12.4976	22.69093	17.1376	37	"Intron (ENST00000261937/ENSG00000037280, intron 1 of 29)"	5	180607965	180629338	21374	2	"ENST00000507059"	-6045	"FLT4"
"40"	"ENSG00000037280"	"5"	180634860	180634941	82	"*"	"KOS_4h_peak_1197"	316	"."	12.26772	38.03111	31.63647	44	"Intron (ENST00000261937/ENSG00000037280, intron 1 of 29)"	5	180607965	180629338	21374	2	"ENST00000507059"	-5522	"FLT4"
"41"	"ENSG00000038358"	"16"	67873100	67873211	112	"*"	"KOS_4h_peak_509"	36	"."	5.58033	8.1261	3.62244	66	"Promoter (<=1kb)"	16	67873052	67884499	11448	1	"ENST00000358933"	48	"EDC4"
"42"	"ENSG00000038358"	"16"	67873297	67873348	52	"*"	"KOS_4h_peak_510"	38	"."	5.59534	8.43367	3.89839	22	"Promoter (<=1kb)"	16	67873372	67880489	7118	1	"ENST00000536072"	-24	"EDC4"
"43"	"ENSG00000041880"	"3"	51942205	51942274	70	"*"	"KOS_4h_peak_1041"	41	"."	5.56964	8.70312	4.11695	38	"Promoter (<=1kb)"	3	51942345	51948603	6259	1	"ENST00000431474"	-71	"PARP3"
"44"	"ENSG00000041880"	"3"	51942371	51942444	74	"*"	"KOS_4h_peak_1042"	32	"."	5.14121	7.7109	3.24218	27	"Promoter (<=1kb)"	3	51942377	51948594	6218	1	"ENST00000471971"	0	"PARP3"
"45"	"ENSG00000048405"	"7"	127391815	127391909	95	"*"	"KOS_4h_peak_1347"	55	"."	5.66455	10.24766	5.50938	26	"Promoter (<=1kb)"	7	127374946	127392118	17173	2	"ENST00000436992"	209	"ZNF800"
"46"	"ENSG00000049449"	"11"	32091607	32091658	52	"*"	"KOS_4h_peak_225"	16	"."	4.28434	5.83183	1.69221	8	"Promoter (<=1kb)"	11	32091610	32098458	6849	1	"ENST00000532721"	0	"RCN1"
"47"	"ENSG00000049618"	"6"	156778119	156778175	57	"*"	"KOS_4h_peak_1275"	16	"."	4.28434	5.83183	1.69221	12	"Promoter (<=1kb)"	6	156777941	157051912	273972	1	"ENST00000674298"	178	"ARID1B"
