"geneId"	"seqnames_2h"	"start_2h"	"end_2h"	"width_2h"	"strand_2h"	"V4_2h"	"V5_2h"	"V6_2h"	"V7_2h"	"V8_2h"	"V9_2h"	"V10_2h"	"annotation_2h"	"geneChr_2h"	"geneStart_2h"	"geneEnd_2h"	"geneLength_2h"	"geneStrand_2h"	"transcriptId_2h"	"distanceToTSS_2h"	"external_gene_name_2h"	"annotation_short_2h"	"seqnames_4h"	"start_4h"	"end_4h"	"width_4h"	"strand_4h"	"V4_4h"	"V5_4h"	"V6_4h"	"V7_4h"	"V8_4h"	"V9_4h"	"V10_4h"	"annotation_4h"	"geneChr_4h"	"geneStart_4h"	"geneEnd_4h"	"geneLength_4h"	"geneStrand_4h"	"transcriptId_4h"	"distanceToTSS_4h"	"external_gene_name_4h"	"annotation_short_4h"
"1"	"ENSG00000001630"	"7"	92134650	92135017	368	"*"	"KOS_2h_peak_14618"	232	"."	8.93664	27.18485	23.25215	213	"Promoter (<=1kb)"	7	92113412	92134803	21392	2	"ENST00000450723"	0	"CYP51A1"	"Promoter (<=1kb)"	"7"	92134329	92134380	52	"*"	"KOS_4h_peak_1330"	34	"."	5.48383	7.97217	3.48058	33	"Promoter (<=1kb)"	7	92112153	92134477	22325	2	"ENST00000003100"	97	"CYP51A1"	"Promoter (<=1kb)"
"2"	"ENSG00000001630"	"7"	92134327	92134544	218	"*"	"KOS_2h_peak_14617"	62	"."	3.93537	9.47403	6.24668	34	"Promoter (<=1kb)"	7	92084987	92134503	49517	2	"ENST00000691309"	0	"CYP51A1"	"Promoter (<=1kb)"	"7"	92134329	92134380	52	"*"	"KOS_4h_peak_1330"	34	"."	5.48383	7.97217	3.48058	33	"Promoter (<=1kb)"	7	92112153	92134477	22325	2	"ENST00000003100"	97	"CYP51A1"	"Promoter (<=1kb)"
"3"	"ENSG00000001630"	"7"	92133507	92134236	730	"*"	"KOS_2h_peak_14616"	147	"."	5.95427	18.39227	14.71943	335	"Promoter (<=1kb)"	7	92112153	92134477	22325	2	"ENST00000003100"	241	"CYP51A1"	"Promoter (<=1kb)"	"7"	92134329	92134380	52	"*"	"KOS_4h_peak_1330"	34	"."	5.48383	7.97217	3.48058	33	"Promoter (<=1kb)"	7	92112153	92134477	22325	2	"ENST00000003100"	97	"CYP51A1"	"Promoter (<=1kb)"
"4"	"ENSG00000004975"	"17"	7233811	7234867	1057	"*"	"KOS_2h_peak_6374"	588	"."	16.39046	63.86823	58.85812	490	"Promoter (<=1kb)"	17	7225342	7234517	9176	2	"ENST00000005340"	0	"DVL2"	"Promoter (<=1kb)"	"17"	7234212	7234363	152	"*"	"KOS_4h_peak_559"	51	"."	6.0395	9.79399	5.10335	66	"Promoter (<=1kb)"	17	7225455	7234318	8864	2	"ENST00000575458"	0	"DVL2"	"Promoter (<=1kb)"
"5"	"ENSG00000005448"	"2"	74421377	74422146	770	"*"	"KOS_2h_peak_9114"	383	"."	12.49034	42.56436	38.37276	397	"Promoter (<=1kb)"	2	74421678	74425474	3797	1	"ENST00000461531"	0	"WDR54"	"Promoter (<=1kb)"	"2"	74421753	74421872	120	"*"	"KOS_4h_peak_842"	70	"."	7.3613	11.93345	7.04485	39	"Promoter (<=1kb)"	2	74421759	74425650	3892	1	"ENST00000480089"	0	"WDR54"	"Promoter (<=1kb)"
"6"	"ENSG00000006062"	"17"	45316604	45316743	140	"*"	"KOS_2h_peak_6847"	72	"."	5.43982	10.57334	7.27414	96	"Promoter (<=1kb)"	17	45263119	45317020	53902	2	"ENST00000344686"	277	"MAP3K14"	"Promoter (<=1kb)"	"17"	45317202	45317267	66	"*"	"KOS_4h_peak_602"	38	"."	4.99813	8.40895	3.87883	35	"Promoter (<=1kb)"	17	45264636	45317029	52394	2	"ENST00000617331"	-173	"MAP3K14"	"Promoter (<=1kb)"
"7"	"ENSG00000006062"	"17"	45316805	45317430	626	"*"	"KOS_2h_peak_6848"	291	"."	9.54367	33.17112	29.11802	405	"Promoter (<=1kb)"	17	45263119	45317020	53902	2	"ENST00000344686"	0	"MAP3K14"	"Promoter (<=1kb)"	"17"	45317202	45317267	66	"*"	"KOS_4h_peak_602"	38	"."	4.99813	8.40895	3.87883	35	"Promoter (<=1kb)"	17	45264636	45317029	52394	2	"ENST00000617331"	-173	"MAP3K14"	"Promoter (<=1kb)"
"8"	"ENSG00000006194"	"16"	3282391	3283196	806	"*"	"KOS_2h_peak_5525"	477	"."	16.77869	52.0543	47.70757	302	"Promoter (<=1kb)"	16	3283283	3293389	10107	1	"ENST00000574253"	-87	"ZNF263"	"Promoter (<=1kb)"	"16"	3282504	3282679	176	"*"	"KOS_4h_peak_457"	50	"."	5.99808	9.72704	5.04225	90	"Promoter (<=1kb)"	16	3283283	3293389	10107	1	"ENST00000574253"	-604	"ZNF263"	"Promoter (<=1kb)"
"9"	"ENSG00000006459"	"7"	140175576	140177841	2266	"*"	"KOS_2h_peak_14863"	523	"."	15.69593	56.85698	52.32367	167	"Promoter (<=1kb)"	7	140084746	140176983	92238	2	"ENST00000397560"	0	"KDM7A"	"Promoter (<=1kb)"	"7"	140175813	140175996	184	"*"	"KOS_4h_peak_1359"	84	"."	7.55992	13.42248	8.42587	80	"Promoter (<=1kb)"	7	140084746	140176983	92238	2	"ENST00000397560"	987	"KDM7A"	"Promoter (<=1kb)"
"10"	"ENSG00000006607"	"2"	241355197	241355635	439	"*"	"KOS_2h_peak_9806"	96	"."	6.59289	13.0601	9.62422	344	"Promoter (<=1kb)"	2	241356285	241494841	138557	1	"ENST00000264042"	-650	"FARP2"	"Promoter (<=1kb)"	"2"	241355908	241355967	60	"*"	"KOS_4h_peak_916"	41	"."	4.19812	8.71181	4.12508	31	"Promoter (<=1kb)"	2	241356285	241494841	138557	1	"ENST00000264042"	-318	"FARP2"	"Promoter (<=1kb)"
"11"	"ENSG00000006607"	"2"	241356277	241356616	340	"*"	"KOS_2h_peak_9808"	128	"."	6.15973	16.4144	12.81681	104	"Promoter (<=1kb)"	2	241356285	241494841	138557	1	"ENST00000264042"	0	"FARP2"	"Promoter (<=1kb)"	"2"	241355908	241355967	60	"*"	"KOS_4h_peak_916"	41	"."	4.19812	8.71181	4.12508	31	"Promoter (<=1kb)"	2	241356285	241494841	138557	1	"ENST00000264042"	-318	"FARP2"	"Promoter (<=1kb)"
"12"	"ENSG00000006607"	"2"	241355832	241356119	288	"*"	"KOS_2h_peak_9807"	191	"."	5.04861	22.92743	19.10515	106	"Promoter (<=1kb)"	2	241356285	241494841	138557	1	"ENST00000264042"	-166	"FARP2"	"Promoter (<=1kb)"	"2"	241355908	241355967	60	"*"	"KOS_4h_peak_916"	41	"."	4.19812	8.71181	4.12508	31	"Promoter (<=1kb)"	2	241356285	241494841	138557	1	"ENST00000264042"	-318	"FARP2"	"Promoter (<=1kb)"
"13"	"ENSG00000006831"	"12"	1690956	1691238	283	"*"	"KOS_2h_peak_3201"	274	"."	8.26982	31.4817	27.46131	111	"Promoter (<=1kb)"	12	1691070	1788674	97605	1	"ENST00000357103"	0	"ADIPOR2"	"Promoter (<=1kb)"	"12"	1690995	1691087	93	"*"	"KOS_4h_peak_279"	42	"."	5.6933	8.90153	4.2963	43	"Promoter (<=1kb)"	12	1691070	1788674	97605	1	"ENST00000357103"	0	"ADIPOR2"	"Promoter (<=1kb)"
"14"	"ENSG00000006831"	"12"	1691328	1691557	230	"*"	"KOS_2h_peak_3202"	39	"."	3.89546	6.96669	3.91863	42	"Promoter (<=1kb)"	12	1691163	1731056	39894	1	"ENST00000540974"	165	"ADIPOR2"	"Promoter (<=1kb)"	"12"	1690995	1691087	93	"*"	"KOS_4h_peak_279"	42	"."	5.6933	8.90153	4.2963	43	"Promoter (<=1kb)"	12	1691070	1788674	97605	1	"ENST00000357103"	0	"ADIPOR2"	"Promoter (<=1kb)"
"15"	"ENSG00000006831"	"12"	1690734	1690879	146	"*"	"KOS_2h_peak_3200"	23	"."	2.97714	5.21322	2.33884	103	"Promoter (<=1kb)"	12	1691070	1788674	97605	1	"ENST00000357103"	-191	"ADIPOR2"	"Promoter (<=1kb)"	"12"	1690995	1691087	93	"*"	"KOS_4h_peak_279"	42	"."	5.6933	8.90153	4.2963	43	"Promoter (<=1kb)"	12	1691070	1788674	97605	1	"ENST00000357103"	0	"ADIPOR2"	"Promoter (<=1kb)"
"16"	"ENSG00000008130"	"1"	1778075	1778552	478	"*"	"KOS_2h_peak_63"	174	"."	6.20577	21.20024	17.43334	251	"Promoter (<=1kb)"	1	1751232	1778470	27239	2	"ENST00000341426"	0	"NADK"	"Promoter (<=1kb)"	"1"	1778296	1778425	130	"*"	"KOS_4h_peak_6"	68	"."	6.99417	11.70148	6.84622	106	"Promoter (<=1kb)"	1	1756588	1778419	21832	2	"ENST00000492768"	0	"NADK"	"Promoter (<=1kb)"
"17"	"ENSG00000008130"	"1"	1782792	1782916	125	"*"	"KOS_2h_peak_64"	23	"."	2.97714	5.21322	2.33884	111	"Promoter (2-3kb)"	1	1779157	1780457	1301	2	"ENST00000480542"	-2335	"NADK"	"Promoter (2-3kb)"	"1"	1778296	1778425	130	"*"	"KOS_4h_peak_6"	68	"."	6.99417	11.70148	6.84622	106	"Promoter (<=1kb)"	1	1756588	1778419	21832	2	"ENST00000492768"	0	"NADK"	"Promoter (<=1kb)"
"18"	"ENSG00000008710"	"16"	2135569	2136176	608	"*"	"KOS_2h_peak_5463"	720	"."	9.55051	77.41076	72.03746	419	"Promoter (<=1kb)"	16	2088708	2135898	47191	2	"ENST00000262304"	0	"PKD1"	"Promoter (<=1kb)"	"16"	2135626	2135738	113	"*"	"KOS_4h_peak_450"	100	"."	5.20807	15.1835	10.07452	64	"Promoter (<=1kb)"	16	2088708	2135898	47191	2	"ENST00000262304"	160	"PKD1"	"Promoter (<=1kb)"
"19"	"ENSG00000008710"	"16"	2135569	2136176	608	"*"	"KOS_2h_peak_5463"	720	"."	9.55051	77.41076	72.03746	419	"Promoter (<=1kb)"	16	2088708	2135898	47191	2	"ENST00000262304"	0	"PKD1"	"Promoter (<=1kb)"	"16"	2135942	2136080	139	"*"	"KOS_4h_peak_451"	109	"."	5.14039	16.07908	10.91241	70	"Promoter (<=1kb)"	16	2088710	2135898	47189	2	"ENST00000423118"	-44	"PKD1"	"Promoter (<=1kb)"
"20"	"ENSG00000010310"	"19"	45669270	45669520	251	"*"	"KOS_2h_peak_8453"	66	"."	5.25215	9.86975	6.61116	182	"Promoter (<=1kb)"	19	45670256	45671362	1107	1	"ENST00000591322"	-736	"GIPR"	"Promoter (<=1kb)"	"19"	45670895	45670983	89	"*"	"KOS_4h_peak_782"	52	"."	6.54855	9.96887	5.26006	49	"Promoter (<=1kb)"	19	45670256	45671362	1107	1	"ENST00000591322"	639	"GIPR"	"Promoter (<=1kb)"
"21"	"ENSG00000010310"	"19"	45677847	45678151	305	"*"	"KOS_2h_peak_8455"	19	"."	3.04585	4.79411	1.97142	241	"Promoter (<=1kb)"	19	45677637	45678126	490	1	"ENST00000593127"	210	"GIPR"	"Promoter (<=1kb)"	"19"	45670895	45670983	89	"*"	"KOS_4h_peak_782"	52	"."	6.54855	9.96887	5.26006	49	"Promoter (<=1kb)"	19	45670256	45671362	1107	1	"ENST00000591322"	639	"GIPR"	"Promoter (<=1kb)"
"22"	"ENSG00000010310"	"19"	45670909	45671107	199	"*"	"KOS_2h_peak_8454"	156	"."	8.81283	19.35523	15.64657	94	"Promoter (<=1kb)"	19	45670256	45671362	1107	1	"ENST00000591322"	653	"GIPR"	"Promoter (<=1kb)"	"19"	45670895	45670983	89	"*"	"KOS_4h_peak_782"	52	"."	6.54855	9.96887	5.26006	49	"Promoter (<=1kb)"	19	45670256	45671362	1107	1	"ENST00000591322"	639	"GIPR"	"Promoter (<=1kb)"
"23"	"ENSG00000010318"	"3"	52410207	52411125	919	"*"	"KOS_2h_peak_11236"	319	"."	12.64377	36.09298	31.98768	505	"Promoter (<=1kb)"	3	52410660	52423641	12982	1	"ENST00000327906"	0	"PHF7"	"Promoter (<=1kb)"	"3"	52410653	52410757	105	"*"	"KOS_4h_peak_1044"	41	"."	5.56964	8.70312	4.11695	30	"Promoter (<=1kb)"	3	52410660	52423641	12982	1	"ENST00000327906"	0	"PHF7"	"Promoter (<=1kb)"
"24"	"ENSG00000010361"	"19"	49808748	49809654	907	"*"	"KOS_2h_peak_8567"	354	"."	11.45724	39.57132	35.41749	761	"Promoter (<=1kb)"	19	49808123	49808825	703	2	"ENST00000534138"	0	"FUZ"	"Promoter (<=1kb)"	"19"	49809383	49809521	139	"*"	"KOS_4h_peak_795"	69	"."	6.85495	11.86177	6.98135	41	"Promoter (<=1kb)"	19	49808619	49809865	1247	2	"ENST00000527973"	344	"FUZ"	"Promoter (<=1kb)"
"25"	"ENSG00000011105"	"12"	3275563	3275737	175	"*"	"KOS_2h_peak_3220"	154	"."	7.6248	19.1388	15.43472	71	"Promoter (2-3kb)"	12	3272912	3280471	7560	1	"ENST00000492305"	2651	"TSPAN9"	"Promoter (2-3kb)"	"12"	3077411	3077476	66	"*"	"KOS_4h_peak_283"	68	"."	6.99417	11.70148	6.84622	36	"Promoter (<=1kb)"	12	3077428	3084210	6783	1	"ENST00000539631"	0	"TSPAN9"	"Promoter (<=1kb)"
"26"	"ENSG00000011105"	"12"	3077252	3077654	403	"*"	"KOS_2h_peak_3218"	279	"."	11.52924	31.97264	27.94253	150	"Promoter (<=1kb)"	12	3077355	3286564	209210	1	"ENST00000537971"	0	"TSPAN9"	"Promoter (<=1kb)"	"12"	3077411	3077476	66	"*"	"KOS_4h_peak_283"	68	"."	6.99417	11.70148	6.84622	36	"Promoter (<=1kb)"	12	3077428	3084210	6783	1	"ENST00000539631"	0	"TSPAN9"	"Promoter (<=1kb)"
"27"	"ENSG00000011105"	"12"	3200345	3200972	628	"*"	"KOS_2h_peak_3219"	70	"."	5.72782	10.35748	7.07587	292	"Promoter (<=1kb)"	12	3201177	3282108	80932	1	"ENST00000407263"	-205	"TSPAN9"	"Promoter (<=1kb)"	"12"	3077411	3077476	66	"*"	"KOS_4h_peak_283"	68	"."	6.99417	11.70148	6.84622	36	"Promoter (<=1kb)"	12	3077428	3084210	6783	1	"ENST00000539631"	0	"TSPAN9"	"Promoter (<=1kb)"
"28"	"ENSG00000011260"	"17"	51260309	51261544	1236	"*"	"KOS_2h_peak_6983"	653	"."	20.35339	70.54416	65.32647	994	"Promoter (<=1kb)"	17	51260546	51297933	37388	1	"ENST00000225298"	0	"UTP18"	"Promoter (<=1kb)"	"17"	51261186	51261376	191	"*"	"KOS_4h_peak_618"	77	"."	7.60953	12.7015	7.75994	57	"Promoter (<=1kb)"	17	51260546	51297933	37388	1	"ENST00000225298"	640	"UTP18"	"Promoter (<=1kb)"
"29"	"ENSG00000011275"	"7"	5780759	5781739	981	"*"	"KOS_2h_peak_14251"	232	"."	10.31564	27.16505	23.23557	446	"Promoter (<=1kb)"	7	5620047	5781663	161617	2	"ENST00000389902"	0	"RNF216"	"Promoter (<=1kb)"	"7"	5781535	5781586	52	"*"	"KOS_4h_peak_1299"	23	"."	4.81865	6.66731	2.38336	43	"Promoter (<=1kb)"	7	5761011	5781620	20610	2	"ENST00000416985"	34	"RNF216"	"Promoter (<=1kb)"
"30"	"ENSG00000011523"	"2"	65055872	65056965	1094	"*"	"KOS_2h_peak_9033"	384	"."	14.23986	42.6628	38.4705	609	"Promoter (<=1kb)"	2	65056354	65086957	30604	1	"ENST00000703983"	0	"CEP68"	"Promoter (<=1kb)"	"2"	65056417	65056527	111	"*"	"KOS_4h_peak_833"	16	"."	4.28434	5.83183	1.69221	20	"Promoter (<=1kb)"	2	65056421	65086971	30551	1	"ENST00000704483"	0	"CEP68"	"Promoter (<=1kb)"
"31"	"ENSG00000012983"	"14"	50532463	50532763	301	"*"	"KOS_2h_peak_4434"	393	"."	10.75581	43.60001	39.3966	145	"Promoter (<=1kb)"	14	50418521	50532569	114049	2	"ENST00000682126"	0	"MAP4K5"	"Promoter (<=1kb)"	"14"	50532593	50532674	82	"*"	"KOS_4h_peak_380"	28	"."	4.63677	7.18825	2.81749	36	"Promoter (<=1kb)"	14	50418525	50532609	114085	2	"ENST00000013125"	0	"MAP4K5"	"Promoter (<=1kb)"
"32"	"ENSG00000012983"	"14"	50560113	50561332	1220	"*"	"KOS_2h_peak_4435"	297	"."	10.31151	33.79704	29.73168	491	"Promoter (<=1kb)"	14	50475092	50561126	86035	2	"ENST00000555216"	0	"MAP4K5"	"Promoter (<=1kb)"	"14"	50532593	50532674	82	"*"	"KOS_4h_peak_380"	28	"."	4.63677	7.18825	2.81749	36	"Promoter (<=1kb)"	14	50418525	50532609	114085	2	"ENST00000013125"	0	"MAP4K5"	"Promoter (<=1kb)"
"33"	"ENSG00000012983"	"14"	50532118	50532393	276	"*"	"KOS_2h_peak_4433"	64	"."	4.99556	9.73158	6.47926	79	"Promoter (<=1kb)"	14	50464078	50532087	68010	2	"ENST00000554091"	-31	"MAP4K5"	"Promoter (<=1kb)"	"14"	50532593	50532674	82	"*"	"KOS_4h_peak_380"	28	"."	4.63677	7.18825	2.81749	36	"Promoter (<=1kb)"	14	50418525	50532609	114085	2	"ENST00000013125"	0	"MAP4K5"	"Promoter (<=1kb)"
"34"	"ENSG00000012983"	"14"	50529781	50529897	117	"*"	"KOS_2h_peak_4432"	39	"."	4.69723	7.00102	3.95188	27	"Promoter (2-3kb)"	14	50464078	50532087	68010	2	"ENST00000554091"	2190	"MAP4K5"	"Promoter (2-3kb)"	"14"	50532593	50532674	82	"*"	"KOS_4h_peak_380"	28	"."	4.63677	7.18825	2.81749	36	"Promoter (<=1kb)"	14	50418525	50532609	114085	2	"ENST00000013125"	0	"MAP4K5"	"Promoter (<=1kb)"
"35"	"ENSG00000013275"	"19"	39970657	39971372	716	"*"	"KOS_2h_peak_8326"	245	"."	7.77363	28.51719	24.55749	380	"Promoter (<=1kb)"	19	39971165	39981764	10600	1	"ENST00000157812"	0	"PSMC4"	"Promoter (<=1kb)"	"19"	39971217	39971268	52	"*"	"KOS_4h_peak_774"	79	"."	7.28338	12.96905	7.99772	33	"Promoter (<=1kb)"	19	39971192	39980061	8870	1	"ENST00000596386"	25	"PSMC4"	"Promoter (<=1kb)"
