"geneId"	"seqnames_4h"	"start_4h"	"end_4h"	"width_4h"	"strand_4h"	"V4_4h"	"V5_4h"	"V6_4h"	"V7_4h"	"V8_4h"	"V9_4h"	"V10_4h"	"annotation_4h"	"geneChr_4h"	"geneStart_4h"	"geneEnd_4h"	"geneLength_4h"	"geneStrand_4h"	"transcriptId_4h"	"distanceToTSS_4h"	"external_gene_name_4h"	"annotation_short_4h"	"seqnames_6h"	"start_6h"	"end_6h"	"width_6h"	"strand_6h"	"V4_6h"	"V5_6h"	"V6_6h"	"V7_6h"	"V8_6h"	"V9_6h"	"V10_6h"	"annotation_6h"	"geneChr_6h"	"geneStart_6h"	"geneEnd_6h"	"geneLength_6h"	"geneStrand_6h"	"transcriptId_6h"	"distanceToTSS_6h"	"external_gene_name_6h"	"annotation_short_6h"
"1"	"ENSG00000015568"	"2"	109794225	109794538	314	"*"	"KOS_4h_peak_863"	485	"."	16.08435	56.13453	48.58781	137	"Promoter (<=1kb)"	2	109794274	109832963	38690	1	"ENST00000272454"	0	"RGPD5"	"Promoter (<=1kb)"	"2"	109794313	109794370	58	"*"	"KOS_6h_peak_23"	59	"."	5.45271	12.07323	5.94338	35	"Promoter (<=1kb)"	2	109794305	109857705	63401	1	"ENST00000016946"	8	"RGPD5"	"Promoter (<=1kb)"
"2"	"ENSG00000075043"	"20"	63442412	63443573	1162	"*"	"KOS_4h_peak_945"	396	"."	18.5184	46.58577	39.6448	408	"Promoter (2-3kb)"	20	63438689	63445576	6888	2	"ENST00000630274"	2003	"KCNQ2"	"Promoter (2-3kb)"	"20"	63443281	63443361	81	"*"	"KOS_6h_peak_26"	53	"."	6.58753	11.42354	5.37104	21	"Promoter (2-3kb)"	20	63438689	63445576	6888	2	"ENST00000630274"	2215	"KCNQ2"	"Promoter (2-3kb)"
"3"	"ENSG00000075043"	"20"	63443624	63443738	115	"*"	"KOS_4h_peak_946"	46	"."	5.69843	9.24136	4.60994	76	"Promoter (1-2kb)"	20	63438689	63445576	6888	2	"ENST00000630274"	1838	"KCNQ2"	"Promoter (1-2kb)"	"20"	63443281	63443361	81	"*"	"KOS_6h_peak_26"	53	"."	6.58753	11.42354	5.37104	21	"Promoter (2-3kb)"	20	63438689	63445576	6888	2	"ENST00000630274"	2215	"KCNQ2"	"Promoter (2-3kb)"
"4"	"ENSG00000131591"	"1"	1108028	1108622	595	"*"	"KOS_4h_peak_2"	198	"."	7.10191	25.61605	19.88663	380	"Promoter (1-2kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-1901	"C1orf159"	"Promoter (1-2kb)"	"1"	1108336	1108425	90	"*"	"KOS_6h_peak_1"	19	"."	4.39424	7.35457	1.99955	57	"Promoter (2-3kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-2209	"C1orf159"	"Promoter (2-3kb)"
"5"	"ENSG00000131591"	"1"	1108028	1108622	595	"*"	"KOS_4h_peak_2"	198	"."	7.10191	25.61605	19.88663	380	"Promoter (1-2kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-1901	"C1orf159"	"Promoter (1-2kb)"	"1"	1108871	1108981	111	"*"	"KOS_6h_peak_2"	31	"."	4.50441	8.76288	3.13862	75	"Promoter (2-3kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-2744	"C1orf159"	"Promoter (2-3kb)"
"6"	"ENSG00000131591"	"1"	1108806	1109169	364	"*"	"KOS_4h_peak_3"	326	"."	15.85206	39.07087	32.63005	260	"Promoter (2-3kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-2679	"C1orf159"	"Promoter (2-3kb)"	"1"	1108336	1108425	90	"*"	"KOS_6h_peak_1"	19	"."	4.39424	7.35457	1.99955	57	"Promoter (2-3kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-2209	"C1orf159"	"Promoter (2-3kb)"
"7"	"ENSG00000131591"	"1"	1108806	1109169	364	"*"	"KOS_4h_peak_3"	326	"."	15.85206	39.07087	32.63005	260	"Promoter (2-3kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-2679	"C1orf159"	"Promoter (2-3kb)"	"1"	1108871	1108981	111	"*"	"KOS_6h_peak_2"	31	"."	4.50441	8.76288	3.13862	75	"Promoter (2-3kb)"	1	1082700	1106127	23428	2	"ENST00000379319"	-2744	"C1orf159"	"Promoter (2-3kb)"
"8"	"ENSG00000132199"	"18"	712455	712622	168	"*"	"KOS_4h_peak_685"	183	"."	8.99633	23.99704	18.36287	45	"Promoter (<=1kb)"	18	673900	712593	38694	2	"ENST00000340116"	0	"ENOSF1"	"Promoter (<=1kb)"	"18"	712456	712511	56	"*"	"KOS_6h_peak_18"	190	"."	13.25266	26.31465	19.09991	41	"Promoter (<=1kb)"	18	674161	712523	38363	2	"ENST00000585128"	12	"ENOSF1"	"Promoter (<=1kb)"
"9"	"ENSG00000132199"	"18"	712243	712366	124	"*"	"KOS_4h_peak_684"	79	"."	7.28338	12.96905	7.99772	56	"Promoter (<=1kb)"	18	674161	712523	38363	2	"ENST00000585128"	157	"ENOSF1"	"Promoter (<=1kb)"	"18"	712456	712511	56	"*"	"KOS_6h_peak_18"	190	"."	13.25266	26.31465	19.09991	41	"Promoter (<=1kb)"	18	674161	712523	38363	2	"ENST00000585128"	12	"ENOSF1"	"Promoter (<=1kb)"
"10"	"ENSG00000140937"	"16"	65124761	65124816	56	"*"	"KOS_4h_peak_508"	142	"."	10.51614	19.65618	14.27127	31	"Promoter (<=1kb)"	16	65004642	65124292	119651	2	"ENST00000569624"	-469	"CDH11"	"Promoter (<=1kb)"	"16"	65124761	65124824	64	"*"	"KOS_6h_peak_13"	302	"."	17.90192	37.81309	30.25639	28	"Promoter (<=1kb)"	16	65004642	65124292	119651	2	"ENST00000569624"	-469	"CDH11"	"Promoter (<=1kb)"
"11"	"ENSG00000142002"	"19"	4724536	4724718	183	"*"	"KOS_4h_peak_739"	173	"."	8.72371	22.90363	17.33562	104	"Promoter (<=1kb)"	19	4714106	4724673	10568	2	"ENST00000598041"	0	"DPP9"	"Promoter (<=1kb)"	"19"	4724611	4724665	55	"*"	"KOS_6h_peak_21"	48	"."	5.56603	10.8073	4.85051	20	"Promoter (<=1kb)"	19	4714106	4724673	10568	2	"ENST00000598041"	8	"DPP9"	"Promoter (<=1kb)"
"12"	"ENSG00000145113"	"3"	195767309	195767364	56	"*"	"KOS_4h_peak_1081"	79	"."	7.28338	12.96905	7.99772	30	"Promoter (2-3kb)"	3	195766662	195769688	3027	2	"ENST00000486425"	2324	"MUC4"	"Promoter (2-3kb)"	"3"	195767743	195767860	118	"*"	"KOS_6h_peak_29"	52	"."	7.20413	11.3461	5.29612	96	"Promoter (1-2kb)"	3	195766662	195769688	3027	2	"ENST00000486425"	1828	"MUC4"	"Promoter (1-2kb)"
